"Date","Open","High","Low","Close","Volume"
#2014-04-07#,62.04,62.17,58.3,59.51,6170281
#2014-04-08#,59.78,60.01,58.57,59.67,2924503
#2014-04-09#,59.81,60.96,59.52,60.83,2383614
#2014-04-10#,60.73,61.2096,58.6,58.78,2326843
#2014-04-11#,58.37,59.22,57.36,57.49,2917250
#2014-04-14#,58.05,58.96,57.11,57.89,2747896
#2014-04-15#,57.81,58.53,56.85,57.7,1895879
#2014-04-16#,58.01,59.23,57.51,58.98,3430650
#2014-04-17#,58.76,59.967,58.3,59.47,3137707
#2014-04-18#,58.76,59.967,58.3,59.47,3137707
#2014-04-21#,59.21,60.16,58.98,59.97,1172155
#2014-04-22#,59.84,60.2,59.39,59.42,1612310
#2014-04-23#,59.62,60.36,59.43,59.74,1476593
#2014-04-24#,60.04,60.32,59.31,59.71,1119625
#2014-04-25#,59.63,59.63,57.07,57.98,2796175
#2014-04-28#,58.31,58.7,55.45,56.23,4086749
#2014-04-29#,56.46,56.66,55.84,56.38,2278111
#2014-04-30#,56.08,57.02,55.51,56.86,1701825
#2014-05-01#,59.14,61.55,58.17,60.21,8884580
#2014-05-02#,60.55,62,60.2,61.82,3609093
#2014-05-05#,61.34,62.97,60.61,62.8,2354375
#2014-05-06#,62.86,62.95,61.87,62.45,2366157
#2014-05-07#,62.6,62.91,61.73,62.66,3384975
#2014-05-08#,60.03,63.35,58.9,60.14,6059253
#2014-05-09#,60.57,60.95,58.831,60.63,3086162
#2014-05-12#,60.52,61.56,60.44,60.97,2468540
#2014-05-13#,59.8,61.145,58.46,61.05,4840118
#2014-05-14#,61.07,61.19,59.89,60.18,2219504
#2014-05-15#,60.03,60.37,58.9,60.27,2301560
#2014-05-16#,60.2,60.27,59.07,59.95,2272167
#2014-05-19#,58.92,61.28,57.87,59.36,7503157
#2014-05-20#,58,58.51,57.19,57.53,4507092
#2014-05-21#,57.85,58.22,57.46,57.64,1806717
#2014-05-22#,58.07,58.19,57.21,57.95,2307461
#2014-05-23#,58.24,60.19,57.89,59.87,4228599
#2014-05-26#,58.24,60.19,57.89,59.87,4228599
#2014-05-27#,60,60.4,59.51,59.86,3090156
#2014-05-28#,59.73,59.98,58.75,59.19,3938115
#2014-05-29#,59.49,59.71,59.19,59.55,1616830
#2014-05-30#,59.82,59.85,58.36,58.66,2758027
#2014-06-02#,58.63,59.28,58.59,59.1,2521461
#2014-06-03#,59.2,59.45,58.98,59.25,2056865
#2014-06-04#,58.99,59.22,58.75,58.95,1628845
#2014-06-05#,59.35,59.35,57.86,58.45,2639151
#2014-06-06#,58.51,59.04,58.09,58.51,1383420
#2014-06-09#,58.41,58.99,57.96,58.95,1478746
#2014-06-10#,58.84,59.51,58.33,59.4,1730365
#2014-06-11#,59.2,59.77,58.96,59.5,1589997
#2014-06-12#,59.37,59.65,58.75,59.04,1143864
#2014-06-13#,59.19,59.19,58.54,58.96,1193251
#2014-06-16#,59.89,59.8995,58.97,59.2,1726229
#2014-06-17#,59.18,59.5824,58.92,59.07,1989299
#2014-06-18#,59.25,59.75,58.92,59.62,1403809
#2014-06-19#,60,60,59.61,59.81,1794568
#2014-06-20#,60.3,62.17,60.25,61.29,5135277
#2014-06-23#,62.5,62.685,61.32,62.49,2694908
#2014-06-24#,62.63,63.19,61.84,62.19,1691136
#2014-06-25#,62,63.25,61.76,63.13,1678772
#2014-06-26#,63.34,64.16,62.265,63.76,1986140
#2014-06-27#,63.76,65.75,63.47,65.64,4628803
#2014-06-30#,65.16,65.49,64.56,65.08,1907801
#2014-07-01#,65.35,65.93,65.2,65.61,1672957
#2014-07-02#,65.61,66.65,65.49,66.22,1099094
#2014-07-03#,66.3,66.49,65.74,66.37,678864
#2014-07-04#,66.3,66.49,65.74,66.37,678864
#2014-07-07#,67.5,67.5,65.46,65.96,2404759
#2014-07-08#,65.78,66.11,64.35,65.16,2446324
#2014-07-09#,65.57,66.05,64.8,65.96,1381088
#2014-07-10#,64.95,65.705,64.86,65.15,1179521
#2014-07-11#,65.43,65.95,65.14,65.84,853573
#2014-07-14#,65.79,66.35,65.022,66.24,1086711
#2014-07-15#,66.08,66.24,65.03,65.33,916746
#2014-07-16#,65.59,66.75,65.31,65.51,1052179
#2014-07-17#,65.42,65.86,64.42,64.83,1366975
#2014-07-18#,65.33,65.33,64.78,64.85,1216356
#2014-07-21#,64.79,64.8999,64.11,64.35,1002394
#2014-07-22#,64.73,65.28,63.62,63.63,2142791
#2014-07-23#,63.92,64,63.25,63.65,1880927
#2014-07-24#,63.74,63.92,63.04,63.41,1786723
#2014-07-25#,63.34,63.74,62.9,63.02,879185
#2014-07-28#,62.94,63.09,62.15,62.92,1040645
#2014-07-29#,63.2,63.38,62.46,62.58,951167
#2014-07-30#,62.82,63.31,62.44,62.69,748354
#2014-07-31#,62.58,63.2,60.91,61.87,2745109
#2014-08-01#,61.83,62.32,61,62.14,1575624
#2014-08-04#,62.2,62.77,61.85,62.43,1177013
#2014-08-05#,62.15,63.94,61.36,62.15,2477021
#2014-08-06#,63.14,64.68,62.04,63.21,3007521
#2014-08-07#,63.1,63.37,62.12,62.36,2278392
#2014-08-08#,62.37,62.72,62,62.6,1730020
#2014-08-11#,62.75,63.15,62.66,62.9,1637167
#2014-08-12#,63,63.3,62.25,62.53,1960424
#2014-08-13#,62.69,63.385,62.65,63.18,1824970
#2014-08-14#,63.31,64.37,63.13,64.36,1235510
#2014-08-15#,64.77,64.92,64.195,64.77,1607952
#2014-08-18#,65.28,65.39,64.41,65.04,1048889
#2014-08-19#,65.03,65.38,64.35,64.55,1330621
#2014-08-20#,64.3,64.64,64.04,64.31,1320346
#2014-08-21#,64.41,65.37,63.86,65.35,1685530
#2014-08-22#,65.31,65.465,64.56,64.82,1276971
#2014-08-25#,65.02,65.13,64.41,64.42,1036365
#2014-08-26#,64.38,64.39,63.89,64.1,998555
#2014-08-27#,64.09,64.78,64.06,64.58,821914
#2014-08-28#,64.53,66.63,64.14,64.73,1272085
#2014-08-29#,64.87,64.96,64.01,64.81,642957
#2014-09-01#,64.87,64.96,64.01,64.81,642957
#2014-09-02#,65.32,66.14,65.23,66,1649525
#2014-09-03#,66.21,66.415,65.55,65.88,1070764
#2014-09-04#,65.71,66.23,65.39,65.84,1283885
#2014-09-05#,65.47,66.71,65.41,66.44,1248800
#2014-09-08#,66.48,66.8499,65.88,66.1,1135789
#2014-09-09#,65.87,66.23,65.59,65.88,757574
#2014-09-10#,65.76,65.95,65.17,65.76,866505
#2014-09-11#,65.64,66.52,65.2501,66.3,1216441
#2014-09-12#,66.35,66.36,65.67,65.96,743023
#2014-09-15#,66.06,66.4,65.59,65.74,983780
#2014-09-16#,65.41,65.9,65.03,65.54,1094576
#2014-09-17#,65.83,67.055,65.83,66.71,1502777
#2014-09-18#,66.62,66.8394,65.06,65.54,2021413
#2014-09-19#,65.97,66.07,64.81,64.98,2040022
#2014-09-22#,64.99,64.99,63.17,63.47,1660358
#2014-09-23#,63.03,63.67,62.78,63,1319480
#2014-09-24#,63.26,64.08,63.01,63.97,1147244
#2014-09-25#,63.7,63.725,63.02,63.47,1424222
#2014-09-26#,63.53,64.93,63.49,64.92,1426261
#2014-09-29#,64.65,65.26,64.12,65.01,1535504
#2014-09-30#,64.81,65.69,63.96,64.58,1748057
#2014-10-01#,64.69,64.69,62.64,63.6,2523358
#2014-10-02#,63.43,63.71,62.09,63.58,2768551
#2014-10-03#,64.12,65.54,63.75,65.16,1856977
#2014-10-06#,65.22,65.495,64.57,64.65,1228783
#2014-10-07#,64.15,64.49,63.4,63.71,2029450
#2014-10-08#,63.67,64.36,63.04,64.22,1510877
#2014-10-09#,63.96,64.38,63.06,63.45,1255997
#2014-10-10#,63.31,63.9,61.54,61.63,1992525
#2014-10-13#,61.26,61.62,59.56,59.61,2997316
#2014-10-14#,60.22,60.62,57.42,58.86,3406831
#2014-10-15#,57.39,59.45,56.17,58.86,4329361
#2014-10-16#,57.94,58.1,56.99,57.96,4015639
#2014-10-17#,58.38,59.83,58.22,58.53,2648818
#2014-10-20#,58.76,58.91,58.13,58.7,1275715
#2014-10-21#,59.14,61,58.93,60.66,1808591
#2014-10-22#,60.88,61.35,59.67,59.73,1472967
#2014-10-23#,60.41,61.555,60.04,61,1531805
#2014-10-24#,61.21,62.88,60.81,62.2,1733838
#2014-10-27#,62.21,62.25,60.93,61.35,1082611
#2014-10-28#,61.71,62.09,61.23,61.43,1657862
#2014-10-29#,61.53,62.19,61.26,61.95,939097
#2014-10-30#,61.77,62.46,61.29,62.29,1178263
#2014-10-31#,64,64,62.4512,63.65,2364477
#2014-11-03#,63.36,64.49,63.03,63.81,2605316
#2014-11-04#,60.72,63.91,60.5,63.26,3620962
#2014-11-05#,63,64.26,62.37,63.05,2517382
#2014-11-06#,63.43,64.11,62.79,63.66,1888316
#2014-11-07#,63.76,63.82,63.14,63.705,779421
#2014-11-10#,63.68,64.27,62.802,63.67,1180266
#2014-11-11#,63.66,63.99,63.05,63.79,1619779
#2014-11-12#,63.4,63.99,62.72,63.82,1077511
#2014-11-13#,64.08,64.91,63.56,64.67,1212528
#2014-11-14#,65.07,65.07,64.0911,64.9,890645
#2014-11-17#,64.57,65.31,64.0201,65.28,855802
#2014-11-18#,65.2,67.94,65.05,67.85,3049300
#2014-11-19#,69,75.26,69,74.66,15299203
#2014-11-20#,73.87,74.18,72.002,72.22,5039464
#2014-11-21#,74.26,75.29,72.85,73.7,3844112
#2014-11-24#,74.16,76.29,73.77,76.05,4790135
#2014-11-25#,76.52,77.55,76,76.34,2723064
#2014-11-26#,76.57,78.24,75.79,78.24,2043551
#2014-11-27#,76.57,78.24,75.79,78.24,2043551
#2014-11-28#,77.91,79.57,77.6,79.41,1320131
#2014-12-01#,79,79.28,76.9,77.14,2277319
#2014-12-02#,76.64,77.37,75.12,75.27,4087075
#2014-12-03#,74.15,75.53,72.81,74.42,4007207
#2014-12-04#,72.93,73.28,72.13,72.93,3216070
#2014-12-05#,73.63,74.09,72.9,73.2,1776715
#2014-12-08#,73.56,73.86,71.75,71.79,1805419
#2014-12-09#,71.12,71.94,69.4,71.44,2729819
#2014-12-10#,71.95,72,70.43,70.56,999911
#2014-12-11#,70.72,71.89,70.31,70.61,1582034
#2014-12-12#,69.87,71.339,69.83,70.83,1109885
#2014-12-15#,70.85,71.09,69.42,70.05,2292490
#2014-12-16#,69.45,70.65,68.45,68.485,2799100
#2014-12-17#,68.85,69.94,68.45,69.72,1254335
#2014-12-18#,70.96,73.6,70.96,72.39,2938578
#2014-12-19#,72.31,73.31,71.45,72.61,3260142
#2014-12-22#,72.54,72.75,71.325,71.94,1152923
#2014-12-23#,71.94,72.7,71.63,72.09,963491
#2014-12-24#,71.93,72.89,71.01,72.63,366061
#2014-12-25#,71.93,72.89,71.01,72.63,366061
#2014-12-26#,72.93,73,72.05,72.71,437791
#2014-12-29#,72.42,73.26,72.42,73.07,582221
#2014-12-30#,72.65,73.38,72.16,73.3,705192
#2014-12-31#,73.17,73.83,72.71,72.89,1459575
#2015-01-01#,73.17,73.83,72.71,72.89,1459575
