"Date","Open","High","Low","Close","Volume"
#2006-04-04#,1319.837,1330.105,1315.331,1329.798,3703110000
#2006-04-05#,1330.561,1341.504,1326.533,1340.162,3762671000
#2006-04-06#,1341.736,1348.52,1336.138,1339.737,4160100000
#2006-04-07#,1340.646,1345.291,1330.513,1342.965,4057382000
#2006-04-10#,1344.239,1359.408,1339.523,1359.081,4132629000
#2006-04-11#,1360.978,1366.523,1350.323,1362.229,4378083000
#2006-04-12#,1361.741,1364.691,1355.655,1360.132,3708056000
#2006-04-13#,1359.278,1364.316,1331.682,1332.33,4121948000
#2006-04-14#,1330.095,1360.094,1328.435,1359.538,3782388000
#2006-04-17#,1360.644,1383.654,1353.396,1378.614,4217731000
#2006-04-18#,1379.813,1391.378,1370.153,1385.114,3673773000
#2006-04-19#,1389.134,1399.547,1378.796,1396.702,4051050000
#2006-04-20#,1398.098,1404.192,1376.961,1385.9,4320943000
#2006-04-21#,1385.923,1419.891,1383.45,1416.793,4550844000
#2006-04-24#,1423.409,1429.056,1402.269,1409.786,5192495000
#2006-04-25#,1405.898,1409.274,1386.126,1399.767,4315917000
#2006-04-26#,1399.068,1426.626,1397.349,1417.477,4832224000
#2006-04-27#,1418.903,1424.465,1407.141,1416.732,3755154000
#2006-04-28#,1403.523,1444.714,1389.346,1440.223,4447629000
#2006-05-01#,1403.523,1444.714,1389.346,1440.223,4447629000
#2006-05-02#,1403.523,1444.714,1389.346,1440.223,4447629000
#2006-05-03#,1403.523,1444.714,1389.346,1440.223,4447629000
#2006-05-04#,1403.523,1444.714,1389.346,1440.223,4447629000
#2006-05-05#,1403.523,1444.714,1389.346,1440.223,4447629000
#2006-05-08#,1446.992,1497.202,1446.992,1497.104,5154009000
#2006-05-09#,1503.239,1532.754,1497.994,1531.161,6455668000
#2006-05-10#,1537.561,1554.034,1518.335,1545.687,6260358000
#2006-05-11#,1547.556,1583.761,1536.292,1537.377,7305597000
#2006-05-12#,1532.878,1603.211,1531.233,1602.832,6827135000
#2006-05-15#,1616.259,1664.938,1606.57,1664.088,8754798000
#2006-05-16#,1658.692,1678.599,1604.784,1613.251,8812047000
#2006-05-17#,1613.23,1640.695,1592.185,1625.146,7089796000
#2006-05-18#,1611.657,1630.073,1582.962,1617.281,6053256000
#2006-05-19#,1620.213,1664.614,1610.04,1659.545,7697526000
#2006-05-22#,1656.754,1674.221,1646.683,1657.689,7707103000
#2006-05-23#,1647.962,1648.528,1597.102,1604.552,6978126000
#2006-05-24#,1609.742,1634.59,1562.387,1590.924,5716887000
#2006-05-25#,1585.466,1598.559,1563.863,1591.425,4099740000
#2006-05-26#,1596.565,1614.553,1593.093,1613.894,4364075000
#2006-05-29#,1622.108,1648.838,1609.005,1648.538,5166791000
#2006-05-30#,1654.98,1663.929,1634.9,1657.288,5296828000
#2006-05-31#,1656.284,1667.233,1628.679,1641.3,5696895000
#2006-06-01#,1639.673,1684.709,1635.746,1684.195,6763379000
#2006-06-02#,1688.782,1695.58,1659.14,1669.399,7799927000
#2006-06-05#,1669.236,1685.292,1639.68,1684.624,6720131000
#2006-06-06#,1681.22,1692.825,1672.814,1679.126,5834086000
#2006-06-07#,1678.238,1678.238,1588.971,1589.545,6398216000
#2006-06-08#,1576.435,1596.122,1540.934,1591.49,5451472000
#2006-06-09#,1583.956,1594.438,1550.202,1551.384,4695919000
#2006-06-12#,1540.216,1566.447,1529.503,1552.798,3146746000
#2006-06-13#,1552.098,1570.1,1532.059,1548.495,3241340000
#2006-06-14#,1540.635,1540.635,1512.521,1531.327,3241132000
#2006-06-15#,1531.247,1551.3,1528.23,1533.98,2842395000
#2006-06-16#,1540.187,1574.475,1540.187,1574.467,3351437000
#2006-06-19#,1559.985,1591.85,1544.931,1586.286,3550400000
#2006-06-20#,1583.871,1592.832,1572.582,1592.332,3548541000
#2006-06-21#,1590.607,1617.714,1570.083,1598.116,3961391000
#2006-06-22#,1593.097,1605.252,1587.799,1596.066,3244348000
#2006-06-23#,1594.495,1608.108,1582.019,1605.711,3313584000
#2006-06-26#,1607.786,1635.803,1607.786,1633.449,3873116000
#2006-06-27#,1636.703,1642.571,1627.592,1639.551,3597653000
#2006-06-28#,1638.23,1642.354,1627.068,1639.286,3283342000
#2006-06-29#,1641.928,1672.101,1641.928,1671.618,5119660000
#2006-06-30#,1679.724,1690.953,1662.28,1672.211,4943578000
#2006-07-03#,1677.311,1697.83,1670.016,1697.282,4833303000
#2006-07-04#,1700.323,1702.658,1670.13,1681.547,5393252000
#2006-07-05#,1755.222,1757.472,1703.585,1718.555,6042665000
#2006-07-06#,1715.279,1742.204,1711.651,1741.47,4961495000
#2006-07-07#,1746.521,1750.028,1724.675,1730.19,4913392000
#2006-07-10#,1730.698,1737.031,1715.828,1734.329,3876568000
#2006-07-11#,1736.986,1746.724,1725.231,1745.806,3983551000
#2006-07-12#,1745.878,1753.275,1737.999,1740,4829183000
#2006-07-13#,1736.207,1737.595,1654.486,1655.773,6699835000
#2006-07-14#,1641.138,1676.754,1633.898,1665.208,4126915000
#2006-07-17#,1662.047,1684.344,1653.603,1682.887,3196666000
#2006-07-18#,1682.36,1684.672,1666.311,1684.252,3125761000
#2006-07-19#,1681.771,1681.771,1637.486,1645.16,3477306000
#2006-07-20#,1642.624,1658.054,1636.259,1655.122,2851303000
#2006-07-21#,1653.811,1669.288,1653.507,1665.328,2979856000
#2006-07-24#,1648.749,1667.617,1632.687,1665.944,3099325000
#2006-07-25#,1668.138,1690.613,1668.138,1685.461,3405606000
#2006-07-26#,1688.538,1691.429,1675.662,1686.654,3095741000
#2006-07-27#,1685.347,1701.611,1665.386,1675.168,3603759000
#2006-07-28#,1674.43,1678.527,1646.346,1662.031,3313660000
#2006-07-31#,1659.535,1659.535,1611.163,1612.733,3253135000
#2006-08-01#,1619.635,1625.044,1596.658,1600.614,3195454000
#2006-08-02#,1598.758,1608.777,1577.902,1600.872,2747029000
#2006-08-03#,1599.746,1609.425,1587.119,1601.058,2060744000
#2006-08-04#,1601.608,1612.1,1567.251,1570.15,2562678000
#2006-08-07#,1561.801,1570.054,1541.413,1547.436,2387977000
#2006-08-08#,1547.905,1581.753,1547.905,1580.577,2321141000
#2006-08-09#,1581.803,1585.173,1571.709,1578.566,2148728000
#2006-08-10#,1578.354,1606.943,1577.86,1606.065,2617238000
#2006-08-11#,1605.597,1610.763,1596.217,1605.926,2326559000
#2006-08-14#,1605.202,1611.661,1566.722,1570.738,2546192000
#2006-08-15#,1568.267,1596.653,1564.398,1595.657,2005346000
#2006-08-16#,1596.056,1616.453,1591.857,1616.41,2833692000
#2006-08-17#,1612.412,1612.412,1592.846,1603.332,2325639000
#2006-08-18#,1601.567,1614.365,1596.562,1598.018,2101444000
#2006-08-21#,1565.457,1602.13,1558.1,1601.15,2271905000
#2006-08-22#,1601.523,1619.074,1598.776,1613.355,2660330000
#2006-08-23#,1614.393,1621.399,1608.741,1612.396,2684039000
#2006-08-24#,1612.699,1623.169,1601.887,1623.017,2463483000
#2006-08-25#,1622.481,1630.047,1619.735,1623.034,2752454000
#2006-08-28#,1627.123,1651.289,1624.281,1650.438,3886120000
#2006-08-29#,1652.672,1667.53,1649.593,1651.024,4761275000
#2006-08-30#,1648.348,1656.232,1640.281,1655.195,3097807000
#2006-08-31#,1655.903,1661.473,1649.997,1658.638,3460455000
#2006-09-01#,1658.66,1660.518,1634.026,1636.691,3560653000
#2006-09-04#,1635.332,1657.691,1635.122,1657.52,3162723000
#2006-09-05#,1659.737,1669.901,1657.047,1664.078,3983877000
#2006-09-06#,1665.13,1672.26,1656.863,1672.121,3310362000
#2006-09-07#,1683.782,1683.89,1655.408,1661.19,3116731000
#2006-09-08#,1659.702,1671.308,1658.673,1667.984,2610047000
#2006-09-11#,1668.161,1675.094,1653.01,1674.966,3031441000
#2006-09-12#,1675.198,1699.585,1673.441,1695.862,3625651000
#2006-09-13#,1695.351,1713.989,1687.049,1689.389,4226260000
#2006-09-14#,1689.631,1696.622,1672.884,1689.692,3357115000
#2006-09-15#,1689.605,1722.66,1689.51,1721.045,4621250000
#2006-09-18#,1727.915,1733.413,1719.16,1732.987,4360770000
#2006-09-19#,1735.301,1743.021,1728.289,1735.241,4274433000
#2006-09-20#,1733.637,1737.734,1720.835,1732.453,3821341000
#2006-09-21#,1731.585,1743.63,1731.222,1740.901,3908507000
#2006-09-22#,1744.605,1746.615,1724.104,1725.361,4346534000
#2006-09-25#,1722.744,1732.279,1709.771,1722.366,3897381000
#2006-09-26#,1720.781,1721.584,1704.774,1712.637,3283493000
#2006-09-27#,1711.514,1725.501,1709.766,1725.039,2877759000
#2006-09-28#,1725.515,1740.787,1722.219,1736.963,3345446000
#2006-09-29#,1740.059,1755.691,1740.059,1752.424,4051884000
#2006-10-02#,1740.059,1755.691,1740.059,1752.424,4051884000
#2006-10-03#,1740.059,1755.691,1740.059,1752.424,4051884000
#2006-10-04#,1740.059,1755.691,1740.059,1752.424,4051884000
#2006-10-05#,1740.059,1755.691,1740.059,1752.424,4051884000
#2006-10-06#,1740.059,1755.691,1740.059,1752.424,4051884000
#2006-10-09#,1768.144,1786.11,1763.111,1785.385,5221538000
#2006-10-10#,1784.22,1793.141,1771.856,1784.862,5454632000
#2006-10-11#,1784.518,1792.761,1771.016,1790.104,4886667000
#2006-10-12#,1790.631,1792.239,1774.142,1778.181,5270328000
#2006-10-13#,1776.511,1792.868,1773.233,1784.656,4222143000
#2006-10-16#,1787.7,1789.175,1766.308,1771.299,4063481000
#2006-10-17#,1768.628,1777.598,1758.311,1763.901,3539469000
#2006-10-18#,1762.404,1787.743,1760.883,1787.185,3481620000
#2006-10-19#,1788.582,1799.294,1784.345,1792.253,3875655000
#2006-10-20#,1792.6,1801.334,1786.344,1790.364,3993514000
#2006-10-23#,1789.645,1797.427,1753.494,1759.394,4304221000
#2006-10-24#,1756.457,1805.273,1756.457,1805.181,3838280000
#2006-10-25#,1807.03,1825.609,1789.905,1806.646,4282119000
#2006-10-26#,1804.893,1816.762,1791.947,1810.646,4381654000
#2006-10-27#,1836.214,1842.73,1803.215,1807.175,4555152000
#2006-10-30#,1804.367,1815.612,1788.287,1809.656,4022339000
#2006-10-31#,1811.469,1839.318,1811.469,1837.993,4187887000
#2006-11-01#,1838.68,1855.887,1833.201,1855.713,4244228000
#2006-11-02#,1856.921,1857.145,1834.844,1851.314,4495116000
#2006-11-03#,1851.404,1873.664,1850.151,1866.362,4778623000
#2006-11-06#,1853.186,1886.519,1846.011,1886.307,4953040000
#2006-11-07#,1889.534,1897.41,1862.932,1889.53,5483377000
#2006-11-08#,1885.855,1886.256,1865.223,1866.817,3775813000
#2006-11-09#,1860.954,1899.097,1858.595,1896.482,4408444000
#2006-11-10#,1896.929,1920.184,1870.96,1883.347,6278785000
#2006-11-13#,1878.704,1905.897,1852.102,1863.765,5000184000
#2006-11-14#,1868.173,1888.432,1841.823,1888.239,4317804000
#2006-11-15#,1888.539,1923.139,1878.695,1922.935,4667445000
#2006-11-16#,1930.926,1976.046,1926.724,1941.547,6397075000
#2006-11-17#,1934.637,1972.607,1925.149,1971.793,4940147000
#2006-11-20#,1977.529,2018.004,1977.529,2017.279,5913004000
#2006-11-21#,2013.067,2037.738,1988.926,2037.552,5387441000
#2006-11-22#,2031.297,2062.804,2010.792,2041.355,6486622000
#2006-11-23#,2045.081,2071.235,2042.151,2062.363,5886928000
#2006-11-24#,2051.471,2057.911,2022.625,2050.812,6053114000
#2006-11-27#,2042.193,2049.539,2022.378,2047.277,5752316000
#2006-11-28#,2042.379,2051.49,2016.473,2038.721,5503113000
#2006-11-29#,2005.987,2059.728,1992.538,2054.091,5597795000
#2006-11-30#,2058.77,2102.057,2058.77,2099.289,7273316000
#2006-12-01#,2106.295,2112.576,2087.601,2102.049,7179581000
#2006-12-04#,2103.817,2164.585,2100.559,2161.648,8591939000
#2006-12-05#,2167.363,2195.529,2159.323,2173.285,8637281000
#2006-12-06#,2175.379,2192.899,2097.417,2156.604,10208250000
#2006-12-07#,2152.594,2206.512,2145.788,2156.75,9779270000
#2006-12-08#,2133.355,2164.021,2090.403,2093.638,7879325000
#2006-12-11#,2085.058,2181.164,2084.267,2180.496,6122584000
#2006-12-12#,2189.694,2228.643,2182.184,2218.951,6875985000
#2006-12-13#,2224.429,2244.407,2195.639,2223.455,5678654000
#2006-12-14#,2226.001,2250.321,2212.905,2249.11,5775577000
#2006-12-15#,2255.24,2275.49,2241.199,2273.908,5975590000
#2006-12-18#,2277.282,2335.234,2277.282,2332.434,7723922000
#2006-12-19#,2342.18,2381.634,2315.985,2364.177,8613332000
#2006-12-20#,2356.262,2381.132,2332.927,2373.205,7635453000
#2006-12-21#,2372.464,2386.824,2339.909,2342.938,8198953000
#2006-12-22#,2334.273,2366.694,2321.922,2343.668,6275421000
#2006-12-25#,2350.128,2452.429,2350.128,2435.762,7156995000
#2006-12-26#,2437.854,2505.697,2424.936,2479.732,7014267000
#2006-12-27#,2478.063,2488.549,2461.071,2536.39,5372371000
#2006-12-28#,2538.95,2611.79,2530.33,2567.59,7545736000
#2006-12-29#,2585.417,2698.904,2585.417,2675.474,8438748000
#2007-01-01#,2585.417,2698.904,2585.417,2675.474,8438748000
