"Date","Open","High","Low","Close","Volume"
#2017-10-02#,102.64,102.76,99.46,99.77,1615346
#2017-10-03#,99.74,99.77,97.77,98.08,1770112
#2017-10-04#,98.52,100.14,97.91,99.77,2263927
#2017-10-05#,99.73,100.15,98.22,98.32,1713658
#2017-10-06#,97.79,98.25,97.5,98.18,1559648
#2017-10-09#,98.35,98.61,96.81,96.83,1228126
#2017-10-10#,97.21,97.75,96.88,97.45,919690
#2017-10-11#,97.54,98.49,97.54,98.29,694190
#2017-10-12#,98.43,99.24,98.29,99.02,641611
#2017-10-13#,99.13,99.175,98.38,98.51,722285
#2017-10-16#,98.55,99.39,98.5,99.13,520571
#2017-10-17#,99.04,99.385,98.36,99.17,669461
#2017-10-18#,99.29,99.53,98.78,99.14,655130
#2017-10-19#,99.01,99.6,98.4,99.37,909734
#2017-10-20#,99.72,99.77,98.79,99.26,948703
#2017-10-23#,99.15,99.28,98.53,99.22,834284
#2017-10-24#,99.17,99.47,98.66,99.16,747238
#2017-10-25#,98.76,98.955,98.02,98.87,746289
#2017-10-26#,99.44,99.44,98.65,99.04,626035
#2017-10-27#,98.91,99.43,98.46,99.36,669170
#2017-10-30#,99.5,99.57,97.96,97.98,913180
#2017-10-31#,98.67,100.17,98.34,99.53,984882
#2017-11-01#,99.94,100.34,99.115,99.85,1298216
#2017-11-02#,99.73,99.89,97.68,98.05,884636
#2017-11-03#,98.01,98.35,96.74,96.9,1108685
#2017-11-06#,96.9,97,93.93,93.99,1350628
#2017-11-07#,93.83,95.39,93.7,95.18,1491793
#2017-11-08#,95.32,96.57,95.32,96.43,857294
#2017-11-09#,96.44,96.84,95.38,95.51,831928
#2017-11-10#,95.48,97.0772,95.43,96.92,839727
#2017-11-13#,96.98,97.78,96.89,96.96,782106
#2017-11-14#,96.81,98.61,96.55,98.58,1236497
#2017-11-15#,98.34,98.46,96.4,96.49,799133
#2017-11-16#,97.15,99.96,96.99,99.55,1359937
#2017-11-17#,99.06,100.57,99.06,99.33,2322411
#2017-11-20#,99.37,101.28,99.37,100.08,1017928
#2017-11-21#,100.07,101.57,99.81,100.06,869803
#2017-11-22#,99.89,100.14,98.7,99.01,678925
#2017-11-23#,99.89,100.14,98.7,99.01,678925
#2017-11-24#,99.32,99.75,99.06,99.13,214283
#2017-11-27#,99.44,100.26,99.12,100.12,723136
#2017-11-28#,100.26,100.97,99.92,100.81,946121
#2017-11-29#,101.06,103.37,100.48,102.12,1156399
#2017-11-30#,102.56,103.94,101.72,102.18,1551896
#2017-12-01#,102.23,102.99,100.8,102.85,924744
#2017-12-04#,103.29,104.74,102.9,104.48,973998
#2017-12-05#,104.67,104.76,102.69,102.96,1012480
#2017-12-06#,102.95,103.6,102.78,103,696444
#2017-12-07#,103.13,103.16,101.95,102.14,1066525
#2017-12-08#,102.03,102.35,100.89,101.16,1037738
#2017-12-11#,100.91,101.17,99.4105,100.52,1207282
#2017-12-12#,101,101.65,100.25,101.07,975779
#2017-12-13#,101.47,101.47,100.35,100.96,683891
#2017-12-14#,101.02,101.02,100.23,100.24,587239
#2017-12-15#,100.59,101.81,100.5,101.43,1337147
#2017-12-18#,101.75,102.85,101.61,101.69,777535
#2017-12-19#,102.05,102.86,101.57,101.57,673307
#2017-12-20#,101.97,101.97,100.25,101.4,755675
#2017-12-21#,101.63,101.77,100.99,101.15,625853
#2017-12-22#,101.65,102.34,100.975,101.92,478274
#2017-12-25#,101.65,102.34,100.975,101.92,478274
#2017-12-26#,101.98,102.7,101.9,102.01,347504
#2017-12-27#,102.41,102.775,101.81,102.13,435849
#2017-12-28#,101.89,102.32,101.74,102.24,880740
#2017-12-29#,102.47,103.06,101.84,101.91,727332
#2018-01-01#,102.47,103.06,101.84,101.91,727332
