"Date","Open","High","Low","Close","Volume"
#2000-05-04#,31.0625,33.3125,31.0625,31.25,917000
#2000-05-05#,31.375,31.875,31.1875,31.4375,900700
#2000-05-08#,31.3125,32.875,31.1875,32.5625,710000
#2000-05-09#,32.5625,32.8125,32.125,32.25,767700
#2000-05-10#,32.25,32.25,31.5625,31.6875,771800
#2000-05-11#,31.5625,32.25,31.5625,32.25,792500
#2000-05-12#,32.3125,32.625,31.8125,32.0821,1046200
#2000-05-15#,32.375,33.375,32.375,33.375,1025000
#2000-05-16#,33.25,33.375,32.5625,33.3125,1260900
#2000-05-17#,33.0625,33.125,32,32.75,673100
#2000-05-18#,32.8125,33.8125,32.625,33.75,507300
#2000-05-19#,33.5,33.875,33.25,33.6875,309600
#2000-05-22#,33.6875,33.875,33.125,33.1875,432800
#2000-05-23#,33.6875,33.6875,32.1875,32.8125,507800
#2000-05-24#,32.8125,33.8125,32.75,32.9688,799400
#2000-05-25#,32.75,33.875,32,33.875,569600
#2000-05-26#,33.375,34.875,33.3125,34.5625,709900
#2000-05-29#,33.375,34.875,33.3125,34.5625,709900
#2000-05-30#,34.375,35.125,33.9375,34.1875,779300
#2000-05-31#,34.25,34.875,34.125,34.5625,429100
#2000-06-01#,34.5,35.1875,34.5,35.0625,510000
#2000-06-02#,35,35.75,34.125,35.3125,646800
#2000-06-05#,35.375,35.375,34,34,496600
#2000-06-06#,34,35.125,33.75,35,509500
#2000-06-07#,34.75,35.1875,34.5,34.75,364800
#2000-06-08#,34.5625,34.6875,34,34.4375,281300
#2000-06-09#,34.5625,35.4375,34.5625,35.3125,225500
#2000-06-12#,35.5625,35.9375,35.4375,35.5625,272800
#2000-06-13#,35.4375,35.9375,35.3125,35.5625,224000
#2000-06-14#,35.5625,35.625,34.125,34.5,508700
#2000-06-15#,34.3125,35.25,34.3125,35,1498700
#2000-06-16#,34.1875,34.6875,34,34.25,1816600
#2000-06-19#,34.0625,35,33.25,33.375,539400
#2000-06-20#,33.5,33.625,32.875,33.3125,430600
#2000-06-21#,33.375,33.6875,33.125,33.25,207600
#2000-06-22#,33.0625,33.125,32.4375,32.75,296500
#2000-06-23#,32.5,33.1875,32.25,32.5,479200
#2000-06-26#,32.6875,32.875,32.3125,32.6875,237600
#2000-06-27#,32.875,32.9375,31.8125,31.9375,416100
#2000-06-28#,31.9375,32.5,31.25,32.4024,403000
#2000-06-29#,32.125,32.4375,31.625,31.6875,502800
#2000-06-30#,31.4375,32.875,30.3125,30.5625,1005400
#2000-07-03#,30.5625,31.3125,30.5625,31.3125,607700
#2000-07-04#,30.5625,31.3125,30.5625,31.3125,607700
#2000-07-05#,31.5625,32,30.75,30.875,319800
#2000-07-06#,31,31.4375,30.4375,31.25,404500
#2000-07-07#,31.25,31.625,31.125,31.5,219600
#2000-07-10#,31.3125,31.9375,31.1875,31.625,286100
#2000-07-11#,31.6875,31.8125,31.1875,31.75,188400
#2000-07-12#,31.5,31.75,31.375,31.5,170900
#2000-07-13#,31.625,31.875,31.3125,31.8125,218100
#2000-07-14#,31.9375,32.1875,31.5625,31.6875,394100
#2000-07-17#,31.5,31.9375,31.5,31.6875,246200
#2000-07-18#,31.9375,32.25,31.5625,31.875,331700
#2000-07-19#,32.0625,32.625,31.875,32.25,378800
#2000-07-20#,32.375,32.5,32.125,32.5,252200
#2000-07-21#,32.5,32.6875,32.1875,32.25,280100
#2000-07-24#,32.125,32.3125,31.75,32.0625,302300
#2000-07-25#,32.25,32.5,31.75,31.9375,266400
#2000-07-26#,31.75,31.9375,31.3125,31.7109,374700
#2000-07-27#,31.9375,32.625,31.3125,31.5625,494200
#2000-07-28#,31.75,31.9375,31.375,31.625,441700
#2000-07-31#,31.75,32.125,31.125,31.5,363900
#2000-08-01#,31.375,32.6875,31.3125,32.4375,429700
#2000-08-02#,32.1875,32.8125,32.125,32.5625,312400
#2000-08-03#,32.6875,33.25,32.625,32.7031,224400
#2000-08-04#,32.625,33,31.75,32.8125,390900
#2000-08-07#,32.8125,33.875,32.625,33.7656,871800
#2000-08-08#,34,34.0625,33.625,33.9375,632300
#2000-08-09#,33.6875,34.125,33.5,33.8125,573800
#2000-08-10#,34.0625,34.375,33.875,34.3281,542400
#2000-08-11#,34.4375,35,34.3125,34.5781,299200
#2000-08-14#,34.6875,35.0625,33.9375,34.9375,426500
#2000-08-15#,34.8125,35.5,34.625,35.0625,449000
#2000-08-16#,35.4375,36.125,35.3125,35.375,556500
#2000-08-17#,35.625,35.6875,35.125,35.25,187900
#2000-08-18#,35.5,35.875,35.1875,35.5,308200
#2000-08-21#,35.4375,35.4375,34.8125,35.25,151100
#2000-08-22#,35.0625,35.1875,34.625,34.625,205100
#2000-08-23#,34.375,34.625,33.875,33.9375,897100
#2000-08-24#,34.1875,34.25,33.625,33.75,345300
#2000-08-25#,34,34,32.875,33.5625,351900
#2000-08-28#,33.4375,34.4375,33.375,34.3125,428800
#2000-08-29#,34.0625,34.375,33.8125,34.1875,245300
#2000-08-30#,34.125,34.6875,34,34.5,240400
#2000-08-31#,34.5,35,34.5,34.75,258500
#2000-09-01#,34.8125,35,34.4375,34.625,145400
#2000-09-04#,34.8125,35,34.4375,34.625,145400
#2000-09-05#,34.625,35.6875,34.5625,35.6875,559500
#2000-09-06#,35.4375,36.4375,35.4375,36.3125,311400
#2000-09-07#,36.1875,36.75,35.6875,36.6875,979600
#2000-09-08#,36.75,38.1875,36.5625,38.1484,628100
#2000-09-11#,37.9375,39.0625,37.8125,38.4375,559800
#2000-09-12#,38.25,39.125,37.375,39.125,856300
#2000-09-13#,39.125,40.25,39.125,39.125,631500
#2000-09-14#,39,39.1875,37.9375,38.1875,526500
#2000-09-15#,38,39.875,38,39.0821,888500
#2000-09-18#,38.5625,38.9375,38.1875,38.5625,375000
#2000-09-19#,38.3125,38.375,36.25,36.6875,441400
#2000-09-20#,36.9375,36.9375,35.9375,36.6875,2118500
#2000-09-21#,36.125,36.9375,35.875,36.5,1860000
#2000-09-22#,36.375,37.3125,36.0625,36.75,482000
#2000-09-25#,36.1875,37.25,36.125,37.125,295400
#2000-09-26#,37,37.6875,36.875,37.1875,413500
#2000-09-27#,37.375,37.75,36.1875,37.5821,420000
#2000-09-28#,37.3125,38,37.25,37.625,418100
#2000-09-29#,37.375,38.375,37.1875,38.2696,488700
#2000-10-02#,37.625,38.5,36.9375,38.3125,483000
#2000-10-03#,38.3125,38.5625,37.25,37.5,527000
#2000-10-04#,37.5,38.1875,36.125,36.75,596800
#2000-10-05#,36.6875,37.375,35.75,36,339500
#2000-10-06#,36.25,36.875,35.875,36,297900
#2000-10-09#,35.75,36.375,35.5,35.75,306700
#2000-10-10#,36,36.6875,35.75,36.125,357600
#2000-10-11#,36.25,37,35.75,36.4375,376800
#2000-10-12#,36.1875,37.25,35.3125,36.8125,431100
#2000-10-13#,37,37.4375,36.5,36.75,414000
#2000-10-16#,36.8125,37.3125,36.625,36.875,258700
#2000-10-17#,37,37.5,36.4375,36.8125,305600
#2000-10-18#,37.0625,37.375,35.8125,36.0625,611000
#2000-10-19#,35.8125,36.75,35.4375,36.5625,481200
#2000-10-20#,36.8125,37.125,36.25,36.5,544100
#2000-10-23#,36.3125,37.25,36.3125,36.625,590000
#2000-10-24#,36.875,37,35.9375,36.375,348700
#2000-10-25#,36.5,36.8125,35.6875,35.875,233000
#2000-10-26#,36,36,35.125,35.4375,247200
#2000-10-27#,35.4375,36.4375,34.9375,35.875,321200
#2000-10-30#,35.875,36.4375,35.8125,36.3125,470700
#2000-10-31#,36.375,36.5625,35.75,36.125,508100
#2000-11-01#,36.3125,37.3125,36.25,37.0625,818500
#2000-11-02#,37,37.25,36.3125,36.625,350700
#2000-11-03#,36.5,37.375,36.1875,37.375,802100
#2000-11-06#,37.125,37.9375,35.375,35.8125,1051000
#2000-11-07#,35.8125,36.25,35.8125,36.125,466800
#2000-11-08#,36,36.4375,35.75,36.0625,465300
#2000-11-09#,36.0625,36.4375,35.5,36.3125,572000
#2000-11-10#,36.3125,37.125,36.1875,36.5,464100
#2000-11-13#,36.6875,36.9375,36.375,36.875,751900
#2000-11-14#,36.625,36.8125,36,36.0625,517500
#2000-11-15#,36.1875,36.6875,35.875,36.625,492700
#2000-11-16#,36.75,37.25,36.6875,37.1875,435400
#2000-11-17#,37.25,37.625,36.9375,37.375,473300
#2000-11-20#,37.5625,38,37.1875,37.5625,290000
#2000-11-21#,37.625,37.625,36.75,37.3125,292700
#2000-11-22#,37.5625,37.6875,36.9375,37.0625,414100
#2000-11-23#,37.5625,37.6875,36.9375,37.0625,414100
#2000-11-24#,36.875,37.375,36.3125,37.125,150600
#2000-11-27#,36.9375,37.1875,36.0625,37,482300
#2000-11-28#,37,37.6875,37,37.3125,420800
#2000-11-29#,37.3125,38,37.1875,37.75,423400
#2000-11-30#,37.75,38.1875,37.625,37.9375,930000
#2000-12-01#,37.75,38.1875,37.4375,38,290900
#2000-12-04#,38,38.75,37.6875,38.0625,407900
#2000-12-05#,38.25,38.25,37.125,37.375,606700
#2000-12-06#,37.375,37.625,36.75,36.9375,902600
#2000-12-07#,37.1875,37.25,36.625,37,579000
#2000-12-08#,36.8125,36.8125,36,36.1875,323500
#2000-12-11#,36.4375,36.4375,35.625,36.0625,431600
#2000-12-12#,36.1875,36.25,35.6875,35.9375,502500
#2000-12-13#,36.0625,36.75,35.625,36.5625,378000
#2000-12-14#,36.6875,36.75,36.1875,36.4375,344200
#2000-12-15#,36.6875,37.1875,36.3125,36.875,749600
#2000-12-18#,36.875,37.5,36.875,37.5,865900
#2000-12-19#,37.5625,37.9375,37.375,37.5,1576500
#2000-12-20#,36.9375,37.8125,36.75,37.625,1846900
#2000-12-21#,38,38,37.125,37.75,6563400
#2000-12-22#,37.6875,38.4375,37.375,38.4375,524200
#2000-12-25#,37.6875,38.4375,37.375,38.4375,524200
#2000-12-26#,38.4375,39.25,38.25,39.1875,373700
#2000-12-27#,39.25,39.3125,38.625,38.9375,593600
#2000-12-28#,39.0625,39.1875,38.5,38.9375,418800
#2000-12-29#,38.9375,39.25,38.5625,38.9375,451900
#2001-01-01#,38.9375,39.25,38.5625,38.9375,451900
