"Date","Open","High","Low","Close","Volume"
#2000-07-18#,60.9375,61.125,59.75,60.0625,3592100
#2000-07-19#,60.1875,60.5,59.375,60,3736400
#2000-07-20#,59.9375,60.8125,59.5625,60,4986800
#2000-07-21#,60.3125,60.5,59.25,59.6875,3911000
#2000-07-24#,59,59.1875,57.1875,57.4375,5045800
#2000-07-25#,57.5,59.3125,57.3125,59.1875,4122000
#2000-07-26#,58.1875,60.125,58.1875,58.75,7322100
#2000-07-27#,59.375,60.3125,59,60.0625,4744800
#2000-07-28#,59.8125,59.9375,57.25,58.6875,5248100
#2000-07-31#,58.875,58.875,54.25,55.25,7534300
#2000-08-01#,54,54.9375,53,54.5,9055300
#2000-08-02#,54.5,55.0625,53.8125,54.0625,6734800
#2000-08-03#,56.5,56.5,53.4375,53.875,8229100
#2000-08-04#,54.0625,54.0625,52.75,52.9375,5842400
#2000-08-07#,53.125,55.9375,53,55.125,5605200
#2000-08-08#,56.4375,57.625,55.0625,57.625,5859800
#2000-08-09#,54.0625,54.75,52.9375,53.625,17750700
#2000-08-10#,53.125,53.25,50.6875,51,12380600
#2000-08-11#,51.4375,52.375,51.125,52.125,7534100
#2000-08-14#,52.25,53.0625,52.125,52.875,6032800
#2000-08-15#,51.875,52.5625,51.25,51.5625,7953000
#2000-08-16#,50.75,50.875,48.75,49.9375,13811000
#2000-08-17#,49.5625,50.4375,48.625,50,6799800
#2000-08-18#,49.6875,50.875,49.5625,50.875,7349300
#2000-08-21#,49.25,49.75,47.8125,49,14148800
#2000-08-22#,49,50,48.5625,49.125,7610900
#2000-08-23#,49.75,50.1875,49.0625,49.125,6875700
#2000-08-24#,49.75,50.125,49,49.4375,4967300
#2000-08-25#,49.625,50.5,49.25,50.5,4877100
#2000-08-28#,50.0625,50.625,48.625,49.5,7003200
#2000-08-29#,49.5,49.9375,48.875,49.4375,5665100
#2000-08-30#,48.875,49,48,48.4375,8155500
#2000-08-31#,48.3125,48.75,47.125,47.625,12236200
#2000-09-01#,47.5625,49.125,47.375,48.75,7661500
#2000-09-04#,47.5625,49.125,47.375,48.75,7661500
#2000-09-05#,48.9375,50.1875,48.8125,49.75,8031000
#2000-09-06#,50.25,51.125,49.875,50,8310400
#2000-09-07#,51.1875,52.0625,50.5,51,8400600
#2000-09-08#,51.5,52.625,51,52.125,7380600
#2000-09-11#,52.75,54.75,52.6875,54.375,9844600
#2000-09-12#,53.5625,54.625,52.9375,54,6351100
#2000-09-13#,54.25,54.4375,53,53.875,4981600
#2000-09-14#,53.625,53.625,51.875,52.5,4711600
#2000-09-15#,52.3125,52.9375,51.4375,52,8109200
#2000-09-18#,51,52.75,50.625,52.75,5212000
#2000-09-19#,50.625,50.875,49.25,49.875,8574700
#2000-09-20#,49.9375,50,48.0625,48.5,9882700
#2000-09-21#,48.6875,51.375,48.625,50,8645500
#2000-09-22#,51.9375,51.9375,49.5625,50.5,6726300
#2000-09-25#,50.625,50.6875,48.9375,49,5466000
#2000-09-26#,49.4375,49.4375,46.875,47.375,9409100
#2000-09-27#,47.625,48.375,47.125,48.125,7582800
#2000-09-28#,48.4375,49.875,48,48.5625,8137800
#2000-09-29#,48.5,49.5,48,48.125,7532900
#2000-10-02#,48.1875,48.625,45.4375,46.25,11174600
#2000-10-03#,46.1875,46.375,44.125,45.8125,16548400
#2000-10-04#,45.6875,47.875,45.5,46.125,11085200
#2000-10-05#,46.375,46.75,45.75,46.0625,8732500
#2000-10-06#,45.875,45.875,44.625,45.5,11160500
#2000-10-09#,45.6875,46.4375,45.125,45.125,6033800
#2000-10-10#,45.9375,46.6875,45.375,46.375,6683200
#2000-10-11#,46.125,46.375,44.875,45.3125,8429400
#2000-10-12#,42,44.6875,41.4375,44.125,19439900
#2000-10-13#,43.625,45.125,43.625,45,9358200
#2000-10-16#,45.25,47.6875,45.1875,47.3125,7098300
#2000-10-17#,47.5625,47.9375,45.6875,46,6268900
#2000-10-18#,45.9375,47,44.875,46.75,6148400
#2000-10-19#,46.5625,47.9375,46.125,47.8125,6302900
#2000-10-20#,46.875,47.3125,46.0625,46.5625,7153200
#2000-10-23#,46.5625,47.8125,45.5625,47.3125,6031300
#2000-10-24#,47.5625,48.5,47.25,48.375,5913800
#2000-10-25#,48.4375,48.4375,45.625,45.9375,8390700
#2000-10-26#,45.875,45.9375,43.375,43.4375,14962100
#2000-10-27#,43.4375,44.125,43.25,43.25,12554800
#2000-10-30#,43.375,43.9375,43.125,43.75,13205600
#2000-10-31#,44.1875,45.8125,44,45.375,14696600
#2000-11-01#,46.5,48.0625,46.125,46.6875,23272200
#2000-11-02#,46,50,45.5,48.4375,20850500
#2000-11-03#,48.4375,49.125,46.8125,47.375,8258500
#2000-11-06#,48.3125,49.375,47.0625,49,7276500
#2000-11-07#,49,50,48,48.9375,7137500
#2000-11-08#,49,50.875,48.625,48.75,7622900
#2000-11-09#,48.0625,48.125,46.1875,47.125,8060800
#2000-11-10#,45,45,43.1875,43.6875,14914600
#2000-11-13#,43,45.4375,42.5625,45.3125,10993200
#2000-11-14#,47.25,48.4375,46.75,46.875,8533200
#2000-11-15#,46.625,49.375,46.375,49,8646200
#2000-11-16#,48.75,49.1875,48.125,48.25,5529700
#2000-11-17#,48.5,49.5625,47.625,48.5625,6140200
#2000-11-20#,48.625,48.625,47.5625,47.875,4379100
#2000-11-21#,48.125,48.5,46.5,47.125,4389000
#2000-11-22#,47.1875,47.3125,45.875,45.875,4945900
#2000-11-23#,47.1875,47.3125,45.875,45.875,4945900
#2000-11-24#,45.9375,46.1875,44.6875,45.1875,3482500
#2000-11-27#,46.9375,49.8125,46.875,49.3125,10650400
#2000-11-28#,48.75,50.875,48.0625,49,9787100
#2000-11-29#,49.25,51.875,49.1875,51.875,9903000
#2000-11-30#,51.5,52.1875,50.375,52.1875,11607100
#2000-12-01#,52.625,52.75,50.6875,51.1875,10723700
#2000-12-04#,50.9375,53.8125,50.375,53.8125,13404100
#2000-12-05#,53.8125,55.3125,53.25,55.25,10380600
#2000-12-06#,54.625,55.875,53.3125,54.8125,10703100
#2000-12-07#,55.0625,55.9375,54.5625,55,7646200
#2000-12-08#,55.0625,55.375,53.75,54.4375,6877000
#2000-12-11#,53.625,53.8125,50.8125,51.375,11596100
#2000-12-12#,50.5,52.125,49.8125,51.875,8344800
#2000-12-13#,51.9375,52.75,50.0625,50.3125,6558500
#2000-12-14#,50.3125,51.3125,49.9375,51.0625,7246200
#2000-12-15#,49.5,50.875,49.5,49.875,13142700
#2000-12-18#,50.5,51.1875,49.1875,50.5625,6964800
#2000-12-19#,50.625,51.25,47.625,48,9128500
#2000-12-20#,48,49.75,46.9375,48.9375,8283200
#2000-12-21#,49.5,52.25,49.3125,51.75,9380200
#2000-12-22#,51.75,52.75,50.875,52.5,7484300
#2000-12-25#,51.75,52.75,50.875,52.5,7484300
#2000-12-26#,52.25,52.5,49,50.625,6021000
#2000-12-27#,50.6875,53.4375,50.1875,52.5625,8224300
#2000-12-28#,52.5,54,52.5,52.9375,4096300
#2000-12-29#,52.6875,55,52.6875,53.125,6582300
#2001-01-01#,52.6875,55,52.6875,53.125,6582300
