"Date","Open","High","Low","Close","Volume"
#2017-04-20#,143.34,146.63,143.34,145.66,1184202
#2017-04-21#,145.37,145.42,143.03,143.29,839059
#2017-04-24#,144.63,145.15,143.88,144.61,725902
#2017-04-25#,138.87,140.35,134.19,138.89,2698089
#2017-04-26#,138.83,140.17,137.7,138.69,1272879
#2017-04-27#,138.93,140.09,138.69,139.68,691756
#2017-04-28#,139.5,140.455,139.205,140.15,937564
#2017-05-01#,140.56,141.63,140.44,141.01,749600
#2017-05-02#,141.97,142.51,140.78,141.07,811817
#2017-05-03#,141.02,141.24,140.03,140.6,566086
#2017-05-04#,140.55,141.41,140.19,140.9,482650
#2017-05-05#,140.99,142.53,140.22,142.38,716427
#2017-05-08#,142.19,142.87,141.54,142.19,499035
#2017-05-09#,142.19,142.87,141.97,142.03,360587
#2017-05-10#,141.56,142.29,141.21,141.7,697907
#2017-05-11#,141.29,142.43,140.79,141.13,760628
#2017-05-12#,140.56,141.359,138.31,139.32,725219
#2017-05-15#,139.4,141.02,139.16,140.53,594794
#2017-05-16#,140.87,140.87,137.583,138.14,750506
#2017-05-17#,137.23,138.65,136.61,137.51,883430
#2017-05-18#,137.64,139.22,137.17,138.26,712237
#2017-05-19#,138.57,139.68,137.6,139.35,361827
#2017-05-22#,139,140.61,138.872,140.3,526469
#2017-05-23#,140.69,141.1,139.58,139.7,603800
#2017-05-24#,139.96,141.02,139.28,140.68,623462
#2017-05-25#,140.73,141.99,140.41,141.8,446621
#2017-05-26#,142.1,142.28,139.85,140.1,571762
#2017-05-29#,142.1,142.28,139.85,140.1,571762
#2017-05-30#,139.48,140.53,138.22,138.52,589615
#2017-05-31#,138.65,139.43,138,139,810943
#2017-06-01#,139.68,142.9,139,142.07,929674
#2017-06-02#,142.36,142.9,141.29,141.58,611264
#2017-06-05#,141.29,141.51,139.523,139.92,710709
#2017-06-06#,139.69,139.83,138.5,139.29,541130
#2017-06-07#,139.59,140.5,139.32,140.47,739369
#2017-06-08#,140.04,140.5,139.51,139.87,532468
#2017-06-09#,140.07,140.7,139.68,140.61,497772
#2017-06-12#,140.4,140.77,137.825,140.72,762415
#2017-06-13#,140.6,142.24,140.55,141.64,431623
#2017-06-14#,142.25,142.36,140.385,141.11,468629
#2017-06-15#,140.83,141.64,140.17,140.4,552127
#2017-06-16#,140.4,141.16,140.03,140.77,764011
#2017-06-19#,140.99,141.9,140.47,141.89,612559
#2017-06-20#,142.27,146.13,142.27,144.45,1247944
#2017-06-21#,144.29,146.24,144.29,146.21,875905
#2017-06-22#,146.11,152.47,145.89,150.34,1484126
#2017-06-23#,150.71,152.35,149.45,151.62,1824400
#2017-06-26#,151.61,153.93,151.61,152.3,883831
#2017-06-27#,151.41,152.65,150.3,150.3,923737
#2017-06-28#,151.29,153.29,150.62,152.97,801725
#2017-06-29#,153.05,153.62,151.49,152.05,769721
#2017-06-30#,152.55,154.82,152.55,154.14,961476
#2017-07-03#,154.14,154.5,151.6,151.6,526200
#2017-07-04#,154.14,154.5,151.6,151.6,526200
#2017-07-05#,151.97,153.42,150.75,153.33,687658
#2017-07-06#,152.54,152.54,150.74,150.99,590938
#2017-07-07#,151.16,151.7,150.221,151.45,524215
#2017-07-10#,151.61,152.05,150.61,151.52,447555
#2017-07-11#,151.26,151.95,149.84,151.47,320039
#2017-07-12#,152.33,153.3,152.17,152.45,444184
#2017-07-13#,152.56,153.145,151.73,152.42,316134
#2017-07-14#,152.42,153.91,151.95,153.3,412998
#2017-07-17#,153.37,154.27,153.11,153.68,291570
#2017-07-18#,153.5,153.56,152.51,153.31,522329
#2017-07-19#,153.56,155.02,153.39,155.01,388779
#2017-07-20#,155.27,157.23,154.85,156.12,677032
#2017-07-21#,155.9,157.11,154.95,156.55,499307
#2017-07-24#,156.53,158.09,156.36,157.89,1046387
#2017-07-25#,157.79,157.79,154.47,156.93,1033708
#2017-07-26#,157.19,164.22,156.95,161.17,1499478
#2017-07-27#,161.5,162.33,159.41,160.1,943224
#2017-07-28#,159.65,160.47,158.54,160.07,622938
#2017-07-31#,160.23,160.45,158.82,158.91,687182
#2017-08-01#,159.91,160.92,159,160.46,674549
#2017-08-02#,160.17,160.36,158.64,159.85,562790
#2017-08-03#,159.91,161.11,159.412,160.56,673761
#2017-08-04#,161,161.15,158.05,158.65,631861
#2017-08-07#,158.55,158.57,156.685,158.21,509403
#2017-08-08#,157.83,158.91,157.17,157.43,452523
#2017-08-09#,157.33,158.255,156.4,157.75,423384
#2017-08-10#,157.26,157.6,156.25,156.4,597838
#2017-08-11#,156.52,157.23,155.75,156.21,441945
#2017-08-14#,157.43,157.43,156.23,156.5,398607
#2017-08-15#,156.69,157.46,156.33,156.76,379744
#2017-08-16#,157.02,157.99,155.97,156.44,524216
#2017-08-17#,156.16,157.07,154.425,154.56,441927
#2017-08-18#,154.22,154.62,153.5,153.91,460530
#2017-08-21#,154.02,154.51,153.3,153.74,375991
#2017-08-22#,153.74,155.6,153.22,155.4,447974
#2017-08-23#,154.84,155.563,152.83,153.66,808535
#2017-08-24#,153.93,154.89,153.33,154.42,892822
#2017-08-25#,154.92,156.449,154.44,154.77,729120
#2017-08-28#,155.41,155.94,153.15,153.22,654561
#2017-08-29#,152.57,153.24,150.71,152.88,610305
#2017-08-30#,152.67,154.52,152.28,153.84,598109
#2017-08-31#,154.52,157.05,154.28,156.87,656504
#2017-09-01#,157.12,158.413,156.48,157.61,553480
#2017-09-04#,157.12,158.413,156.48,157.61,553480
#2017-09-05#,157.32,157.5,156.26,157,546588
#2017-09-06#,157.86,158.62,156.18,158.48,597844
#2017-09-07#,158.89,159.28,157.45,158.04,558021
#2017-09-08#,157.77,158.36,156.9,157.55,398630
#2017-09-11#,158.88,159.567,157.83,159.21,768987
#2017-09-12#,159.16,159.16,157.78,158.67,552639
#2017-09-13#,159.18,159.18,154.95,155.21,849571
#2017-09-14#,155.03,155.07,153.11,154.09,756368
#2017-09-15#,154.08,154.48,152.89,153.6,797858
#2017-09-18#,153.92,154.44,153,153.75,497791
#2017-09-19#,153.77,154.31,152.43,152.85,607734
#2017-09-20#,152.94,154.97,152.28,154.15,979432
#2017-09-21#,154.45,154.63,152.66,153.89,597933
#2017-09-22#,154.34,155.47,153.98,155.07,510718
#2017-09-25#,149.63,150.58,146.68,150.32,2110179
#2017-09-26#,150.24,152.69,149.94,150.82,919848
#2017-09-27#,150.82,151.66,148.88,149.47,913815
#2017-09-28#,149.26,149.78,148.045,149.75,743983
#2017-09-29#,149.39,151.66,148.95,150.97,477591
#2017-10-02#,151.11,152.03,150.43,151.38,592123
#2017-10-03#,151.48,151.95,150,150.92,423254
#2017-10-04#,150.9,152.48,150.69,152.18,524318
#2017-10-05#,152.37,152.89,150.8,151.68,457519
#2017-10-06#,151.74,153.5,151.48,151.65,420825
#2017-10-09#,151.46,151.8,148.971,149.27,372295
#2017-10-10#,149.63,150.43,148.85,149.48,385737
#2017-10-11#,149.31,150.07,148.77,149.28,709032
#2017-10-12#,149.56,150.63,148.9,150.26,646850
#2017-10-13#,150.16,150.36,148.85,149.6,235835
#2017-10-16#,149.58,150.35,149.02,149.67,352537
#2017-10-17#,149.46,150.47,148.6,149.73,527769
#2017-10-18#,149.95,150.24,147.53,147.99,697414
#2017-10-19#,148.29,152.045,147.275,151.32,1508958
#2017-10-20#,151.6,152.26,150.81,151.72,692597
#2017-10-23#,152.24,152.24,151.09,151.77,537706
#2017-10-24#,151.3,151.87,149.73,150.86,704489
#2017-10-25#,150.75,154.77,150.75,152.71,1262836
#2017-10-26#,153.36,154.24,152.01,153.39,1266192
#2017-10-27#,154.04,156.44,153.5,155.4,910744
#2017-10-30#,155.07,155.4,152.72,154.17,724095
#2017-10-31#,153.85,154.54,152.09,153.71,591610
#2017-11-01#,153.63,154.99,151.01,151.31,656099
#2017-11-02#,151.66,152.41,150.91,151.81,578410
#2017-11-03#,152.25,153.89,152.25,153.74,462849
#2017-11-06#,153.21,154.59,151.475,151.74,467081
#2017-11-07#,152.23,152.7,150.33,152.39,603615
#2017-11-08#,151.87,153.12,150,151.79,482949
#2017-11-09#,151.16,152.14,149.375,152.09,699663
#2017-11-10#,151.55,151.79,149.84,150.46,466279
#2017-11-13#,149.75,150.55,149.49,149.87,461790
#2017-11-14#,149.68,150.523,148.44,149.91,591957
#2017-11-15#,149.41,149.85,148.02,149.37,452774
#2017-11-16#,150.27,152,149.73,151.02,590644
#2017-11-17#,150.44,151.19,149.69,150.36,468509
#2017-11-20#,149.25,151.19,147.7,150.72,1371768
#2017-11-21#,151.38,153.29,150.88,152.84,621306
#2017-11-22#,152.82,153.85,151.87,151.91,554759
#2017-11-23#,152.82,153.85,151.87,151.91,554759
#2017-11-24#,151.72,152.25,149.39,151.09,389412
#2017-11-27#,150.78,151.67,150.28,151.55,597399
#2017-11-28#,151.91,151.91,149.94,151.22,1120811
#2017-11-29#,151.24,157.32,150.725,157.02,1036387
#2017-11-30#,156.98,159.545,155.28,158.27,1029696
#2017-12-01#,158.35,158.69,154.95,156.49,657889
#2017-12-04#,156.62,160.12,156.51,157.91,812265
#2017-12-05#,158.3,158.48,154.693,155.22,573412
#2017-12-06#,155.45,156.44,153.41,155.51,619618
#2017-12-07#,155.45,156.48,154.67,155.26,371166
#2017-12-08#,155.35,157,155.25,156.26,672327
#2017-12-11#,155.68,157.54,155.25,155.79,527350
#2017-12-12#,156.4,156.91,155.25,156.02,481834
#2017-12-13#,155.36,156.77,154.59,156.26,456046
#2017-12-14#,156.67,157.9,155.6,155.84,505464
#2017-12-15#,156.53,159.76,156.23,159.06,1028883
#2017-12-18#,159.85,162.09,159.665,161.46,755166
#2017-12-19#,162,164.86,161.555,163.95,656394
#2017-12-20#,163.66,165.18,162.79,163.03,506379
#2017-12-21#,163.4,163.572,160.725,161.38,556328
#2017-12-22#,161.02,161.02,159.63,160.72,297570
#2017-12-25#,161.02,161.02,159.63,160.72,297570
#2017-12-26#,161.1,161.82,160.765,161.04,230555
#2017-12-27#,161.24,161.515,160.06,160.75,306979
#2017-12-28#,161.37,161.37,159.991,160.85,334653
#2017-12-29#,161.36,161.36,159.49,159.51,352657
#2018-01-01#,161.36,161.36,159.49,159.51,352657
