"Date","Open","High","Low","Close","Volume"
#2001-04-10#,21.055,21.5,21.025,21.345,798800
#2001-04-11#,21.245,21.325,20.945,21.025,447000
#2001-04-12#,20.95,21.3,20.81,21.08,370000
#2001-04-13#,20.95,21.3,20.81,21.08,370000
#2001-04-16#,21.325,22.05,21.325,22,641800
#2001-04-17#,21.875,22.27,21.8,22.25,950400
#2001-04-18#,22.175,22.725,22.175,22.62,1656400
#2001-04-19#,22.625,22.665,22.32,22.5,452000
#2001-04-20#,22.625,22.745,22.45,22.565,642800
#2001-04-23#,21.875,22.775,21.875,22.775,825600
#2001-04-24#,22.9,24.47,22.9,24.1,2779800
#2001-04-25#,23.75,25.85,23.75,25.85,3340000
#2001-04-26#,26,27.25,25.98,27.125,3440400
#2001-04-27#,27.1,27.615,26.5,27.575,1273400
#2001-04-30#,27.45,27.455,26.13,26.355,2507000
#2001-05-01#,26.4,27.4,25.75,27.325,1269200
#2001-05-02#,27,27.25,25.73,25.85,2498000
#2001-05-03#,25.8,25.8,25.15,25.5,1657200
#2001-05-04#,24.975,26.2,24.5,26.2,1734200
#2001-05-07#,26.2,26.625,25.905,25.99,1192000
#2001-05-08#,26.1,26.375,25.9,26.045,1081600
#2001-05-09#,26.1,26.225,25.605,25.84,718600
#2001-05-10#,25.965,27.445,25.94,27.175,1858000
#2001-05-11#,27.175,27.4,26.675,26.88,817400
#2001-05-14#,26.755,27.05,26.75,26.99,635200
#2001-05-15#,26.7,26.95,26.69,26.855,573800
#2001-05-16#,26.97,28.5,26.83,28.45,3878000
#2001-05-17#,28.5,29.925,28.5,29.5,3602800
#2001-05-18#,29.4,29.52,28.855,29.25,1690000
#2001-05-21#,29.1,29.445,28.95,29.405,1559600
#2001-05-22#,29.405,31.6,29.4,31.325,2849200
#2001-05-23#,31.32,31.32,30.135,30.27,1443000
#2001-05-24#,30.325,30.53,28.855,30.275,1561200
#2001-05-25#,30.25,30.35,29.075,29.125,792400
#2001-05-28#,30.25,30.35,29.075,29.125,792400
#2001-05-29#,29.125,29.5,28.7,29.105,711600
#2001-05-30#,28.98,29.365,28.25,29.135,1076400
#2001-05-31#,29.2,29.75,29.095,29.16,1059800
#2001-06-01#,29.27,29.4,28.475,28.855,929400
#2001-06-04#,28.98,29.275,28.655,28.7,777400
#2001-06-05#,28.75,28.835,27.25,27.38,1387800
#2001-06-06#,27.38,27.38,26.25,26.4,1088600
#2001-06-07#,26.125,26.605,26,26.375,1591200
#2001-06-08#,26.5,26.925,26.29,26.575,851200
#2001-06-11#,26.65,26.745,25.88,26.055,686600
#2001-06-12#,25.93,26.245,25.725,26.07,923000
#2001-06-13#,26.15,27.36,26.15,27.06,1151000
#2001-06-14#,27.185,27.185,26.55,26.86,1173000
#2001-06-15#,26.3,26.875,26.03,26.5,1998200
#2001-06-18#,26.325,26.87,26.255,26.59,855000
#2001-06-19#,26.8,27.425,26.035,26.035,832600
#2001-06-20#,26.1,26.5475,22.48,22.5,3979800
#2001-06-21#,22.5,24.42,22.43,24.39,4742000
#2001-06-22#,22,22.75,21.64,22.52,7063200
#2001-06-25#,22.645,23.1,21.74,21.85,1358800
#2001-06-26#,21.25,22.25,21.25,21.925,1171600
#2001-06-27#,21.8,22.2,21.53,21.84,697400
#2001-06-28#,21.84,22.55,21.525,22.03,1080400
#2001-06-29#,22,23.075,22,22.575,1578200
#2001-07-02#,22.7,22.775,22.645,22.725,1079000
#2001-07-03#,22.7,22.8,22.545,22.745,753200
#2001-07-04#,22.7,22.8,22.545,22.745,753200
#2001-07-05#,22.5,22.5,19.85,19.98,2851400
#2001-07-06#,20.5,21.35,20.125,21.145,2830800
#2001-07-09#,21.115,21.145,20.125,20.505,1673400
#2001-07-10#,20.75,20.9,20.4,20.52,544200
#2001-07-11#,20.45,20.53,19.56,19.655,1098400
#2001-07-12#,20.2,20.64,19.85,20,1540800
#2001-07-13#,20,20.27,19.8,19.99,893000
#2001-07-16#,20.05,20.22,18.4,18.785,1478000
#2001-07-17#,18.785,18.9,17.575,17.65,3543200
#2001-07-18#,17.8,19.775,17.8,19.7,1278000
#2001-07-19#,19.65,20.595,19.65,20.05,1107000
#2001-07-20#,20,20.075,19.775,19.89,507000
#2001-07-23#,19.875,20.15,19,19.2,713000
#2001-07-24#,19.2,19.35,18.3,18.63,1432200
#2001-07-25#,18.625,18.865,18.325,18.58,760800
#2001-07-26#,18.55,18.8,18.1,18.75,842200
#2001-07-27#,18.875,19.45,18.63,19.29,704200
#2001-07-30#,19.285,19.53,19.285,19.395,969600
#2001-07-31#,19.39,20.15,19.375,19.765,651200
#2001-08-01#,19.75,19.9,18.725,18.82,2857600
#2001-08-02#,19.05,19.665,18.75,19.58,1342000
#2001-08-03#,19.65,19.9,19.3,19.64,1529000
#2001-08-06#,19.4,19.575,18.9,19.25,687600
#2001-08-07#,19.175,19.35,18.82,18.83,476000
#2001-08-08#,18.5,18.99,18.14,18.755,1411000
#2001-08-09#,18.655,19.2,18.56,18.99,553600
#2001-08-10#,18.95,19.37,18.605,19.06,252000
#2001-08-13#,19.025,19.2,18.76,18.99,608000
#2001-08-14#,19.1,19.34,19.02,19.29,953200
#2001-08-15#,19.275,19.3,18.425,19.03,831000
#2001-08-16#,19,19.695,18.68,19.68,341600
#2001-08-17#,19.63,19.63,18.95,19.255,548800
#2001-08-20#,19.31,19.875,19.25,19.72,432800
#2001-08-21#,19.9,20.875,19.9,20.4,734600
#2001-08-22#,20.42,20.815,19.845,20.8,880800
#2001-08-23#,20.8,21.3,20.55,21.2,1036600
#2001-08-24#,21.205,21.75,21.065,21.66,599800
#2001-08-27#,21.66,22.415,21.555,22.2,550200
#2001-08-28#,22.2,22.2,21.425,21.88,835000
#2001-08-29#,22.425,22.905,22.29,22.525,1007000
#2001-08-30#,22.385,22.87,22.16,22.255,789200
#2001-08-31#,22.275,22.775,22.18,22.665,601600
#2001-09-03#,22.275,22.775,22.18,22.665,601600
#2001-09-04#,22.715,22.855,21.95,22,810800
#2001-09-05#,22,22.7,21.625,22.4,1518400
#2001-09-06#,22.125,22.245,21.815,21.875,329400
#2001-09-07#,21.5,21.58,20.865,20.88,375200
#2001-09-10#,20.775,21.5,20.63,21.25,312800
#2001-09-11#,20.775,21.5,20.63,21.25,312800
#2001-09-12#,20.775,21.5,20.63,21.25,312800
#2001-09-13#,20.775,21.5,20.63,21.25,312800
#2001-09-14#,20.775,21.5,20.63,21.25,312800
#2001-09-17#,20.25,21.45,20,21.16,586800
#2001-09-18#,21,21.05,20.07,20.325,362000
#2001-09-19#,20.45,20.5,18.05,18.655,911400
#2001-09-20#,18.155,18.495,17.595,18.085,954000
#2001-09-21#,17.8,18.45,17.525,18.03,711600
#2001-09-24#,18.625,19.45,18.25,18.475,902000
#2001-09-25#,18.475,18.475,17.985,18.285,810000
#2001-09-26#,18.31,19.1,18.155,18.75,771600
#2001-09-27#,18.875,19,18.44,18.83,460000
#2001-09-28#,18.855,19.525,18.7,19.25,508800
#2001-10-01#,19.255,19.95,19.25,19.5,676400
#2001-10-02#,19.6,20.115,19.025,19.58,620800
#2001-10-03#,19.595,21.605,19.595,21.52,761200
#2001-10-04#,21.52,22.9,21.25,22.085,1101600
#2001-10-05#,21.9,21.9,20.5,21.08,876200
#2001-10-08#,21.08,21.15,20.65,21.145,297600
#2001-10-09#,21.475,22.7,21.3,22.545,863200
#2001-10-10#,22.5,22.85,22.35,22.575,795400
#2001-10-11#,22.9,23.725,22.58,23.49,1026400
#2001-10-12#,23.495,23.9,22.5,22.75,677800
#2001-10-15#,22.85,22.96,22.475,22.85,256600
#2001-10-16#,22.975,23.455,22.88,23.14,186600
#2001-10-17#,23.2,23.625,22.175,22.305,469200
#2001-10-18#,22.25,22.365,21.625,21.735,321000
#2001-10-19#,21.65,21.735,21.05,21.49,453800
#2001-10-22#,21.7,22.5,21.7,22.385,383000
#2001-10-23#,22.39,22.545,21.53,21.7,366400
#2001-10-24#,21.725,21.745,21.325,21.66,224800
#2001-10-25#,21.55,22.96,21.175,22.9,345200
#2001-10-26#,22.625,23.175,22.105,22.825,422600
#2001-10-29#,22.825,22.825,22.31,22.435,331000
#2001-10-30#,21.625,21.625,20.25,20.34,913200
#2001-10-31#,19.25,20.45,18.175,18.61,3814400
#2001-11-01#,19,19.065,18.075,18.825,1293400
#2001-11-02#,18.825,19.485,18.675,19.315,1141800
#2001-11-05#,19.415,19.75,19.325,19.66,991200
#2001-11-06#,19.7,19.79,19.3,19.785,413800
#2001-11-07#,19.8,21.075,19.52,21.025,573200
#2001-11-08#,21.025,21.075,20.19,20.375,688000
#2001-11-09#,20.375,20.375,19.25,19.51,784400
#2001-11-12#,19.575,20.45,19.35,20.325,276600
#2001-11-13#,20.5,21.715,20,21.255,1002200
#2001-11-14#,21.26,21.495,19.25,19.735,994800
#2001-11-15#,19.775,20,19.1,19.3,556400
#2001-11-16#,18.875,19.04,17.915,18.405,1992600
#2001-11-19#,18.5,18.845,18.175,18.77,455400
#2001-11-20#,18.525,19.345,18.525,19.3,513400
#2001-11-21#,19.305,19.38,18.45,18.9,313000
#2001-11-22#,19.305,19.38,18.45,18.9,313000
#2001-11-23#,18.875,19.025,18.52,18.955,80000
#2001-11-26#,19.05,19.45,18.53,19.36,426800
#2001-11-27#,19.485,19.775,18.97,19.67,362600
#2001-11-28#,19.375,19.5,19.1,19.395,632600
#2001-11-29#,19.5,20.055,18.75,18.855,1221400
#2001-11-30#,18.875,19.5,18.875,18.925,401800
#2001-12-03#,18.875,19.105,18.685,19.05,566400
#2001-12-04#,19.05,19.7,19.05,19.67,214800
#2001-12-05#,19.72,20.125,19.72,19.975,475800
#2001-12-06#,19.975,20.2,19.625,19.725,450400
#2001-12-07#,19.725,19.75,19.25,19.465,639400
#2001-12-10#,19.465,19.625,19.175,19.32,343800
#2001-12-11#,19.32,19.83,19.295,19.755,441400
#2001-12-12#,19.76,19.975,17.41,17.985,3139200
#2001-12-13#,17.8,18.475,17.65,18.1,1443400
#2001-12-14#,17.9,18.2,17.425,18.15,1567200
#2001-12-17#,17.875,18.24,17.67,18.08,751200
#2001-12-18#,18.2,18.595,18.11,18.21,466800
#2001-12-19#,18.2,19.475,18.125,18.85,870600
#2001-12-20#,18.725,19.24,18.525,18.955,560000
#2001-12-21#,19.075,19.1,17.57,17.7,2173800
#2001-12-24#,17.7,18.32,17.695,17.915,532200
#2001-12-25#,17.7,18.32,17.695,17.915,532200
#2001-12-26#,17.875,18.325,17.875,18.205,281200
#2001-12-27#,18.255,18.46,17.865,18.015,483800
#2001-12-28#,18.5,18.625,18.37,18.575,434200
#2001-12-31#,18.875,18.875,18.125,18.7,596600
#2002-01-01#,18.875,18.875,18.125,18.7,596600
