"Date","Open","High","Low","Close","Volume"
#2007-03-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-29#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-03-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-24#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-04-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-24#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-29#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-05-31#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-07#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-08#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-14#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-15#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-21#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-22#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-28#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-06-29#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-02#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-03#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-04#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-05#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-06#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-09#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-10#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-11#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-12#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-13#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-16#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-17#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-18#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-19#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-20#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-23#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-24#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-25#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-26#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-27#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-30#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-07-31#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-08-01#,"#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A","#N/A N/A"
#2007-08-02#,11.5,11.5,11.5,11.5,"#N/A N/A"
#2007-08-03#,11.61,13.39,11.6,12.9,6608700
#2007-08-06#,13,13.23,12.07,12.7,796500
#2007-08-07#,12.64,12.9,12.37,12.6,450100
#2007-08-08#,12.65,13,12.52,12.88,225500
#2007-08-09#,12.45,13.1,12.27,12.94,131900
#2007-08-10#,12.72,13.2,12.61,12.81,236000
#2007-08-13#,12.91,13.206,12.9,13.07,240400
#2007-08-14#,13.45,13.49,12.81,13.01,45600
#2007-08-15#,12.99,13.1,12.6,12.88,298900
#2007-08-16#,12.6,12.732,12.5,12.7,78900
#2007-08-17#,12.49,13,12.49,13,297300
#2007-08-20#,12.89,12.89,12.45,12.75,88600
#2007-08-21#,12.7,13,12.56,12.9,280800
#2007-08-22#,12.99,12.99,12.5,12.63,158900
#2007-08-23#,12.51,12.99,12.5,12.9,351400
#2007-08-24#,12.83,13,12.77,12.99,40200
#2007-08-27#,12.99,13.1,12.6,13.1,104900
#2007-08-28#,13.16,13.2,12.76,12.76,17800
#2007-08-29#,12.76,13.2,12.76,12.77,47400
#2007-08-30#,12.61,12.85,12.54,12.54,38100
#2007-08-31#,12.69,12.82,12.53,12.69,22600
#2007-09-03#,12.69,12.82,12.53,12.69,22600
#2007-09-04#,12.68,13.8,12.5,13.75,154200
#2007-09-05#,13.77,15,13.1,14.55,451200
#2007-09-06#,14.53,14.78,13.95,14.5,73600
#2007-09-07#,14.5,14.7,14.25,14.5,93800
#2007-09-10#,14.53,15.29,14.5,14.83,358900
#2007-09-11#,14.84,15.95,14.84,15.2,126600
#2007-09-12#,15.29,15.5,15.1,15.22,216000
#2007-09-13#,15.34,15.56,15.22,15.55,459700
#2007-09-14#,15.55,16,15.47,15.89,210200
#2007-09-17#,15.84,15.9,15.65,15.7,517600
#2007-09-18#,15.59,15.91,15.25,15.4,391600
#2007-09-19#,15.3,15.7,15,15.7,72100
#2007-09-20#,15.74,15.91,15.65,15.85,44200
#2007-09-21#,15.94,16.32,15.75,16.13,489600
#2007-09-24#,16.23,16.44,16.02,16.17,214700
#2007-09-25#,16.14,16.14,15.65,15.65,67900
#2007-09-26#,16,16.39,16,16.1,301100
#2007-09-27#,16.17,16.38,15.15,15.42,203200
#2007-09-28#,15.3,15.5,14.81,14.81,1450900
#2007-10-01#,14.79,16.21,14.3,15.8,298900
#2007-10-02#,15.71,16.34,15.71,16.03,130600
#2007-10-03#,16,16.55,16,16.42,220100
#2007-10-04#,16.51,17.24,16.26,16.95,210800
#2007-10-05#,17.15,17.31,16.71,17.25,154600
#2007-10-08#,17.24,17.43,16.7,16.7,160600
#2007-10-09#,16.8,17.18,16.01,17.07,156500
#2007-10-10#,17,17.55,16.51,17.54,366300
#2007-10-11#,17.55,18.69,17.44,18.6,713200
#2007-10-12#,18.65,18.83,18.35,18.46,216600
#2007-10-15#,18.46,18.5,17.77,18.03,100000
#2007-10-16#,18.2,18.94,18.1,18.82,409000
#2007-10-17#,19.01,19.37,18.7,18.86,1175200
#2007-10-18#,19.06,19.74,18.945,19.73,117000
#2007-10-19#,19.68,20.07,19.31,19.65,242800
#2007-10-22#,19.58,20.5,19.33,19.56,165300
#2007-10-23#,19.75,20,19.11,19.95,374600
#2007-10-24#,20,20.18,19.31,20.16,103600
#2007-10-25#,19.51,19.98,19.5,19.74,242200
#2007-10-26#,20.03,21.75,19.71,21.37,149100
#2007-10-29#,21.8,22.3,20.87,21.99,196600
#2007-10-30#,21.65,22.17,20.35,20.46,146900
#2007-10-31#,20.8,20.8,19.23,19.49,201500
#2007-11-01#,19.45,20.08,19,19.92,196200
#2007-11-02#,19.98,20,19.28,19.94,120300
#2007-11-05#,19.97,20.22,19.74,19.78,274410
#2007-11-06#,19.78,19.78,18.65,19.4,91500
#2007-11-07#,19.25,19.99,18.775,19.01,246700
#2007-11-08#,19.1,19.1,18.67,18.89,140800
#2007-11-09#,18.82,18.82,18.3,18.56,155200
#2007-11-12#,18.43,18.47,17.12,18.12,163100
#2007-11-13#,18.13,18.4,17.31,18.4,122000
#2007-11-14#,18.9,18.95,17.46,17.6,239300
#2007-11-15#,17.56,18.56,17.541,18.5,280200
#2007-11-16#,18.38,18.92,18,18.54,190600
#2007-11-19#,18.36,18.78,17.98,18.07,61600
#2007-11-20#,18.01,19.68,17.9,19.65,198200
#2007-11-21#,19.69,21.3,19.66,20.57,293200
#2007-11-22#,19.69,21.3,19.66,20.57,293200
#2007-11-23#,20.53,21.8692,20.53,21.24,121870
#2007-11-26#,21.53,21.53,19.82,19.93,152500
#2007-11-27#,20.23,21.45,18.79,19.09,258900
#2007-11-28#,18.52,19.27,18,18.76,293046
#2007-11-29#,19.15,19.17,18.73,18.79,53700
#2007-11-30#,19.19,19.19,18.5,18.86,99400
#2007-12-03#,19.1,19.1,18.44,18.55,72100
#2007-12-04#,18.62,18.62,18.1,18.13,85753
#2007-12-05#,18.6,18.6,17.72,17.79,277800
#2007-12-06#,17.61,19.29,17.26,19.27,345909
#2007-12-07#,18.6,18.6,17.34,17.41,212000
#2007-12-10#,17.55,17.63,16.7,17.61,247900
#2007-12-11#,17.6,18.22,17.52,17.88,235900
#2007-12-12#,18.28,18.6,17.79,18.54,272800
#2007-12-13#,18.24,18.42,18,18.19,348500
#2007-12-14#,18.05,19.27,18.02,19,3688100
#2007-12-17#,18.81,19.4799,18.54,18.98,725400
#2007-12-18#,19.1,20.46,19.03,20.34,370500
#2007-12-19#,20.38,20.57,19.61,20.08,264300
#2007-12-20#,20.25,20.65,20.1,20.41,208300
#2007-12-21#,20.75,20.86,20.3,20.58,844800
#2007-12-24#,20.48,20.86,20.26,20.84,243900
#2007-12-25#,20.48,20.86,20.26,20.84,243900
#2007-12-26#,20.7,21.5,20.52,21.25,240570
#2007-12-27#,21.04,21.58,20.64,20.75,158100
#2007-12-28#,21.05,21.28,20.42,20.55,132600
#2007-12-31#,20.38,20.61,19.8,20.61,167000
#2008-01-01#,20.38,20.61,19.8,20.61,167000
