"Date","Open","High","Low","Close","Volume"
#2015-05-08#,42.45,42.68,41.835,42.06,3851572
#2015-05-11#,42,42.48,41.91,42.05,3863118
#2015-05-12#,41.82,41.965,41.47,41.89,2733944
#2015-05-13#,42,42.2,41.45,41.68,2726197
#2015-05-14#,41.95,42.31,41.85,42.28,3172347
#2015-05-15#,42.46,42.83,42.27,42.54,3518837
#2015-05-18#,42.34,42.68,42.23,42.63,2422256
#2015-05-19#,42.41,43.09,42.24,43.03,3019882
#2015-05-20#,43.05,43.52,42.83,43.33,3496123
#2015-05-21#,43.32,43.78,43.15,43.76,3021110
#2015-05-22#,43.62,43.97,43.39,43.86,3076563
#2015-05-25#,43.62,43.97,43.39,43.86,3076563
#2015-05-26#,43.74,43.74,42.99,43.12,2896209
#2015-05-27#,43.3,43.39,43.05,43.25,3912685
#2015-05-28#,43.16,43.38,42.82,43.05,3190437
#2015-05-29#,43.06,43.14,42.505,42.63,5332994
#2015-06-01#,42.77,43.21,42.53,42.91,2781026
#2015-06-02#,42.66,42.75,42.04,42.29,2812345
#2015-06-03#,42.28,42.36,41.05,41.34,3373609
#2015-06-04#,41.2,41.5,40.82,40.91,2952614
#2015-06-05#,40.37,40.47,40.07,40.41,4170842
#2015-06-08#,40.32,40.47,40.14,40.14,3397121
#2015-06-09#,40.1,40.39,40.0168,40.14,2624480
#2015-06-10#,40.37,40.73,40.22,40.24,3471846
#2015-06-11#,40.45,40.64,40.17,40.4,3673115
#2015-06-12#,40.18,40.34,39.67,39.7,1877941
#2015-06-15#,39.68,40.22,39.51,40.01,2691263
#2015-06-16#,39.88,40.22,39.61,40.19,1933192
#2015-06-17#,40.33,40.52,40.01,40.49,2746607
#2015-06-18#,40.44,41.29,40.42,41.18,3438058
#2015-06-19#,41.13,41.42,40.98,40.99,3640549
#2015-06-22#,41.1,41.2,40.62,40.72,2506497
#2015-06-23#,40.95,41.05,40.1,40.17,2207609
#2015-06-24#,40.18,40.31,39.61,39.61,3326792
#2015-06-25#,39.81,39.97,39.035,39.14,3999301
#2015-06-26#,39.1,39.62,38.93,39.59,4075161
#2015-06-29#,39.49,40.2025,39.19,39.22,4046834
#2015-06-30#,39.49,39.5,39.11,39.28,3943649
#2015-07-01#,39.34,39.53,39.2,39.45,2580142
#2015-07-02#,39.7,40.2,39.7,39.94,2732308
#2015-07-03#,39.7,40.2,39.7,39.94,2732308
#2015-07-06#,39.78,40.38,39.72,40.33,2647194
#2015-07-07#,40.58,41.78,40.52,41.64,3834845
#2015-07-08#,41.52,41.82,41.25,41.38,4249330
#2015-07-09#,41.5,41.82,40.99,41.2,3298133
#2015-07-10#,41.18,41.64,41,41.26,3189984
#2015-07-13#,41.44,41.44,40.66,40.98,1955269
#2015-07-14#,40.97,41.34,40.75,40.88,2456990
#2015-07-15#,40.89,41.05,40.64,41.05,2335678
#2015-07-16#,41.08,41.92,41.05,41.89,1813138
#2015-07-17#,41.9,41.9,41.3,41.41,2521148
#2015-07-20#,41.38,41.47,41.09,41.34,2926184
#2015-07-21#,41.23,41.32,40.29,40.49,2835055
#2015-07-22#,40.59,41.01,40.5,40.76,3167015
#2015-07-23#,40.73,40.73,39.41,39.76,3137540
#2015-07-24#,39.8,39.94,39.65,39.78,2228180
#2015-07-27#,39.79,40.37,39.78,40.19,2535513
#2015-07-28#,40.19,40.45,39.98,40.3,3304775
#2015-07-29#,40.21,40.715,39.95,40.68,3356978
#2015-07-30#,40.47,41.31,40.39,41.26,3429343
#2015-07-31#,41.43,42.115,41.04,41.67,4065658
#2015-08-03#,41.83,41.97,41.395,41.63,2616675
#2015-08-04#,41.51,41.51,40.57,40.64,2449802
#2015-08-05#,40.87,41.29,40.75,41.19,3598400
#2015-08-06#,41.15,41.65,40.72,41.6,3792356
#2015-08-07#,41.52,42.51,41.28,42.44,3227176
#2015-08-10#,42.39,42.49,41.73,41.92,2802314
#2015-08-11#,41.91,42.79,41.86,42.47,3947839
#2015-08-12#,42.35,43.1,42.25,42.5,5387843
#2015-08-13#,42.3,42.53,41.8,42.31,4100115
#2015-08-14#,42.27,42.94,42.15,42.91,2044644
#2015-08-17#,42.85,43.35,42.77,43.15,2531218
#2015-08-18#,43,43.07,42.7,43.03,2152468
#2015-08-19#,42.87,43.67,42.61,43.48,2368848
#2015-08-20#,43.16,43.91,42.9,43.2,3200376
#2015-08-21#,42.96,43.18,42.02,42.04,4782734
#2015-08-24#,41,41.83,40.38,40.65,6306653
#2015-08-25#,41.42,41.9,39.695,39.89,6200864
#2015-08-26#,40.24,40.441,39.57,40.27,4789308
#2015-08-27#,40.51,40.95,40.23,40.94,2767437
#2015-08-28#,40.81,40.88,39.74,40.52,3941112
#2015-08-31#,40.36,40.49,39.64,40.25,4389119
#2015-09-01#,39.73,39.94,38.66,38.98,5049783
#2015-09-02#,39.32,39.42,38.595,38.95,4058243
#2015-09-03#,39.16,39.58,39,39.36,2744174
#2015-09-04#,38.64,38.815,38.16,38.36,2544981
#2015-09-07#,38.64,38.815,38.16,38.36,2544981
#2015-09-08#,38.87,39.19,38.62,39.1,2799623
#2015-09-09#,39.42,39.42,38.5549,38.64,2847876
#2015-09-10#,38.64,39.28,38.58,38.88,2914123
#2015-09-11#,38.7,39.33,38.57,39.32,3015002
#2015-09-14#,39.32,39.71,39.16,39.3,1871474
#2015-09-15#,39.36,39.63,39.06,39.59,2438534
#2015-09-16#,39.57,40.3,39.45,40.15,2211789
#2015-09-17#,40.12,41.16,39.81,40.6,2867240
#2015-09-18#,40.6,40.88,40.26,40.34,4978703
#2015-09-21#,40.59,40.85,40.33,40.61,4032282
#2015-09-22#,40.45,40.74,39.54,39.67,5109883
#2015-09-23#,39.73,40.15,39.51,39.94,3038735
#2015-09-24#,39.77,40.28,39.68,40.15,4995458
#2015-09-25#,40.39,41.38,40.08,40.89,4223442
#2015-09-28#,40.81,41.05,40.31,40.59,4409779
#2015-09-29#,40.58,41.14,40.56,40.91,3642789
#2015-09-30#,41.12,42.18,40.98,42.16,4321957
#2015-10-01#,42.16,42.29,41.125,41.34,3751682
#2015-10-02#,41.62,42.35,41.31,42.35,3113897
#2015-10-05#,42.49,42.84,42.27,42.73,2713236
#2015-10-06#,42.68,42.94,42.18,42.88,3332074
#2015-10-07#,42.92,43,42.23,42.33,3428942
#2015-10-08#,42.2,42.95,42.03,42.9,3222005
#2015-10-09#,42.9,43,42.13,42.3,2434464
#2015-10-12#,42.39,42.86,42.36,42.7,1977034
#2015-10-13#,42.7,42.98,42.41,42.53,2422323
#2015-10-14#,42.6,42.98,42.46,42.67,2139141
#2015-10-15#,42.7,43.42,42.55,43.34,2375433
#2015-10-16#,43.57,43.775,43.28,43.47,2250023
#2015-10-19#,43.46,43.94,43.2,43.89,3079957
#2015-10-20#,43.74,44.18,43.42,43.56,4403064
#2015-10-21#,43.73,44.09,43.105,43.18,2709022
#2015-10-22#,43.38,43.84,43.3,43.62,3987891
#2015-10-23#,43.47,43.61,42.55,42.66,3281272
#2015-10-26#,42.81,42.85,41.75,41.84,5431211
#2015-10-27#,41.84,42.05,41.57,41.78,2769021
#2015-10-28#,41.92,42.06,40.91,41.39,2282607
#2015-10-29#,41.2,41.48,40.52,41.44,4601903
#2015-10-30#,40.84,41.52,40.5,41.29,5091235
#2015-11-02#,41.24,41.79,40.465,40.62,6400017
#2015-11-03#,40.56,41.14,40.4,41.02,2794357
#2015-11-04#,40.86,41.21,40.79,41.09,2396901
#2015-11-05#,41.01,41.29,40.67,40.69,2634865
#2015-11-06#,40.22,40.22,38.52,38.66,4890799
#2015-11-09#,38.63,39.009,38.19,38.77,4190520
#2015-11-10#,38.82,39.23,38.74,38.91,2145788
#2015-11-11#,39.1,39.29,38.93,39.15,2201711
#2015-11-12#,39.07,39.53,38.78,38.98,2549561
#2015-11-13#,39.11,39.36,38.86,39.06,3239815
#2015-11-16#,39.09,39.88,38.95,39.88,2416328
#2015-11-17#,39.78,40.03,38.82,39.01,2739756
#2015-11-18#,38.99,39.05,38.14,38.98,5575157
#2015-11-19#,39.08,39.65,38.9,39.52,2946898
#2015-11-20#,39.66,40.1,39.55,39.67,2872532
#2015-11-23#,39.67,39.93,39.41,39.5,1786204
#2015-11-24#,39.2,39.33,38.88,39.19,2589544
#2015-11-25#,39.12,39.17,38.69,38.98,2357846
#2015-11-26#,39.12,39.17,38.69,38.98,2357846
#2015-11-27#,39.01,39.35,39,39.12,930339
#2015-11-30#,39.14,39.49,39.06,39.1,2899185
#2015-12-01#,39.31,39.65,39.17,39.62,2697722
#2015-12-02#,39.48,39.64,38.41,38.46,3018761
#2015-12-03#,38.24,38.6,37.92,38.16,3417451
#2015-12-04#,38.25,38.85,38.24,38.63,3372290
#2015-12-07#,38.29,38.51,37.665,38.07,3588707
#2015-12-08#,37.99,38.17,37.595,37.98,4134756
#2015-12-09#,37.91,38.605,37.68,38.2,3057890
#2015-12-10#,38.19,38.265,37.41,37.43,3483439
#2015-12-11#,37.38,37.74,36.98,37.02,3619763
#2015-12-14#,37.16,37.51,36.8,37.46,4068347
#2015-12-15#,37.5,37.56,36.97,37.11,4000617
#2015-12-16#,37.38,38.47,37.26,38.3,3735183
#2015-12-17#,38.27,38.435,37.84,38.11,2902447
#2015-12-18#,37.95,38.04,37.34,37.48,4648212
#2015-12-21#,37.68,37.95,37.52,37.73,2161496
#2015-12-22#,37.83,38.06,37.29,37.94,1792822
#2015-12-23#,38.01,38.8,38.01,38.66,1855915
#2015-12-24#,38.535,38.72,38.53,38.6,840973
#2015-12-25#,38.535,38.72,38.53,38.6,840973
#2015-12-28#,38.59,38.8,38.36,38.71,1723675
#2015-12-29#,38.84,39.09,38.59,39.05,2084613
#2015-12-30#,39.03,39.19,38.915,38.99,1573871
#2015-12-31#,38.91,38.95,38.18,38.69,2711218
#2016-01-01#,38.91,38.95,38.18,38.69,2711218
