"Date","Open","High","Low","Close","Volume"
#2017-04-21#,143.9,144.17,142.27,143.68,12382002
#2017-04-24#,144.96,145.674,144.34,145.47,14407175
#2017-04-25#,145.79,147.15,145.79,146.49,17767523
#2017-04-26#,147.09,147.59,146.09,146.56,12394959
#2017-04-27#,146.67,147.75,146.14,147.7,11275112
#2017-04-28#,149.5,151.53,149.07,150.25,30652248
#2017-05-01#,151.74,152.57,151.42,152.46,25218300
#2017-05-02#,153.34,153.44,151.66,152.78,21870380
#2017-05-03#,153.6,153.6,151.34,151.8,29782492
#2017-05-04#,150.17,151.52,148.72,150.85,36225452
#2017-05-05#,151.45,151.63,149.79,150.24,17148543
#2017-05-08#,150.71,151.08,149.74,151.06,15827488
#2017-05-09#,151.49,152.59,150.21,150.48,17453859
#2017-05-10#,150.23,150.52,148.86,150.29,12080650
#2017-05-11#,150.31,150.65,149.41,150.04,11841864
#2017-05-12#,150.4,150.46,149.63,150.33,9598229
#2017-05-15#,150.17,151.48,149.77,150.19,15064664
#2017-05-16#,150.11,150.21,149.03,149.78,14550830
#2017-05-17#,148,148.67,144.422,144.85,28300050
#2017-05-18#,144.72,148.15,144.51,147.66,23031566
#2017-05-19#,148.445,149.39,147.96,148.06,16187892
#2017-05-22#,148.08,148.59,147.69,148.24,12586712
#2017-05-23#,148.52,148.81,147.25,148.07,12817837
#2017-05-24#,148.51,150.23,148.42,150.04,17940668
#2017-05-25#,150.3,152.59,149.95,151.96,19891352
#2017-05-26#,152.23,152.25,151.15,152.13,14996185
#2017-05-29#,152.23,152.25,151.15,152.13,14996185
#2017-05-30#,151.97,152.9,151.64,152.38,13226007
#2017-05-31#,152.7,153.35,151.09,151.46,18023917
#2017-06-01#,151.75,152.29,150.3,151.53,14530600
#2017-06-02#,151.85,153.63,151.3,153.61,16854365
#2017-06-05#,153.64,154.709,153.41,153.63,12520387
#2017-06-06#,153.41,154.52,152.48,152.81,13457119
#2017-06-07#,153.27,153.75,152.34,153.12,12066657
#2017-06-08#,154.08,154.73,153.1,154.71,17799449
#2017-06-09#,154.77,155.59,146.61,149.6,35577676
#2017-06-12#,148.17,149.195,144.56,148.44,33170180
#2017-06-13#,150.15,151.18,148.9,150.68,20483350
#2017-06-14#,151.26,152.4,149.05,150.25,20808759
#2017-06-15#,147.67,150.037,146.375,149.8,18994152
#2017-06-16#,149.59,150.83,148.6,150.64,22882417
#2017-06-19#,151.71,153.57,151.71,152.87,19026462
#2017-06-20#,152.88,153.84,152.21,152.25,14743853
#2017-06-21#,152.36,154.08,151.88,153.91,15039834
#2017-06-22#,153.01,154.55,152.91,153.4,13005535
#2017-06-23#,152.72,155.2,152.65,155.07,18026977
#2017-06-26#,156.25,156.5,153.195,153.59,18049651
#2017-06-27#,152.84,153.31,150.39,150.58,19360766
#2017-06-28#,150.92,153.47,149.86,153.24,16719104
#2017-06-29#,152.28,152.5,148.917,151.04,23973482
#2017-06-30#,151.9,151.92,150.06,150.98,17666022
#2017-07-03#,151.72,152.15,147.8,148.43,13862735
#2017-07-04#,151.72,152.15,147.8,148.43,13862735
#2017-07-05#,149,150.85,148.13,150.34,14334290
#2017-07-06#,149.03,150.04,148,148.82,14951802
#2017-07-07#,149.25,151.99,149.19,151.44,13615931
#2017-07-10#,151.69,153.98,151.51,153.5,13378672
#2017-07-11#,153.37,155.423,152.91,155.27,13667744
#2017-07-12#,156.49,159.16,156.2,158.9,22739388
#2017-07-13#,158.74,159.78,158.423,159.26,13929236
#2017-07-14#,160.13,160.32,159.325,159.97,16371207
#2017-07-17#,160.25,160.78,158.81,159.73,12858836
#2017-07-18#,159.66,163.73,159.42,162.86,23722910
#2017-07-19#,163.59,165.7,163.17,164.14,26273642
#2017-07-20#,164.8,165,162.81,164.53,18523107
#2017-07-21#,164.16,165.05,163.75,164.43,14744002
#2017-07-24#,164.64,166.17,164.31,166,17366971
#2017-07-25#,165.01,165.54,163.862,165.28,15383241
#2017-07-26#,166.01,166.01,164.1,165.61,35236867
#2017-07-27#,174.7,175.49,167.5,170.44,68910708
#2017-07-28#,169.07,173.43,169.05,172.45,24557553
#2017-07-31#,172,172.72,168.55,169.25,25478945
#2017-08-01#,169.82,170.47,169.05,169.86,14384957
#2017-08-02#,170.3,170.55,166.91,169.3,17433774
#2017-08-03#,169.3,169.7,168.25,168.59,10793841
#2017-08-04#,168.97,170.06,168.69,169.62,10777727
#2017-08-07#,169.95,172.06,169.66,171.98,12787844
#2017-08-08#,171.88,173.05,170.62,171.23,14393524
#2017-08-09#,169.98,171.45,169.56,171.18,10814984
#2017-08-10#,170.06,170.59,166.85,167.4,20832746
#2017-08-11#,167.95,168.82,166.85,168.08,13791153
#2017-08-14#,170.09,171.08,169.29,170.75,12954231
#2017-08-15#,171.49,171.5,170.01,171,8729172
#2017-08-16#,171.25,171.38,169.24,170,15779924
#2017-08-17#,169.34,169.86,166.85,166.91,17216030
#2017-08-18#,166.84,168.67,166.21,167.41,15093638
#2017-08-21#,167.16,168,165.82,167.78,11907488
#2017-08-22#,168.28,169.87,167.15,169.64,11390975
#2017-08-23#,168.84,169.36,168.2,168.71,9856473
#2017-08-24#,168.88,169.29,166.41,167.74,14030420
#2017-08-25#,167.86,168.38,166.18,166.32,12614477
#2017-08-28#,166.91,167.7,166.33,167.24,8553741
#2017-08-29#,165.25,168.425,165,168.05,11120986
#2017-08-30#,168.17,170.18,167.63,169.92,11138293
#2017-08-31#,170.4,172.145,170.06,171.97,17226465
#2017-09-01#,172.4,172.915,171.31,172.02,11677589
#2017-09-04#,172.4,172.915,171.31,172.02,11677589
#2017-09-05#,171.27,172.387,169.55,170.72,13221127
#2017-09-06#,170.91,172.48,169.57,172.09,13906342
#2017-09-07#,171.94,173.307,170.27,173.21,18049527
#2017-09-08#,173.09,173.49,170.8,170.95,10998459
#2017-09-11#,172.4,173.89,172.2,173.51,12372040
#2017-09-12#,173.76,174,171.75,172.96,11186328
#2017-09-13#,173.01,173.17,172.06,173.05,9119295
#2017-09-14#,172.26,172.28,170.5,170.96,15615654
#2017-09-15#,170.88,172.34,170.26,171.64,15660539
#2017-09-18#,171.99,172.07,169.34,170.01,12954013
#2017-09-19#,170.62,172.56,170.36,172.52,13168595
#2017-09-20#,172.5,173.05,170.7,172.17,12264125
#2017-09-21#,171.69,172.27,170.01,171.11,11161412
#2017-09-22#,170.21,171.73,169.22,170.54,12097138
#2017-09-25#,169.24,169.3,161.56,162.87,41251583
#2017-09-26#,164.5,165.5,162.78,164.21,23363335
#2017-09-27#,165.9,168.34,165.57,167.68,19242548
#2017-09-28#,167.94,169.07,167.16,168.73,12178747
#2017-09-29#,168.83,171.66,168.81,170.87,15340366
#2017-10-02#,171.39,171.87,168.75,169.47,13392280
#2017-10-03#,169.3,170.73,169.2,169.96,8190273
#2017-10-04#,169.83,170.67,168.29,168.42,12127887
#2017-10-05#,169.18,171.31,168.6,171.24,14580628
#2017-10-06#,170.25,172.37,169.75,172.23,13124473
#2017-10-09#,172.7,174.88,172,172.5,14570413
#2017-10-10#,173,173.2,170.8,171.59,11341081
#2017-10-11#,171.95,172.78,171.4,172.74,11283663
#2017-10-12#,172.61,173.85,172.29,172.55,10351044
#2017-10-13#,173.45,174.65,173.2,173.74,13658307
#2017-10-16#,174.49,175,174.06,174.52,11498752
#2017-10-17#,174.71,176.13,174.36,176.11,15990079
#2017-10-18#,176.65,176.74,175.75,176.03,12752351
#2017-10-19#,174.93,176.03,172.63,174.56,14048350
#2017-10-20#,175.5,175.88,174.63,174.98,12602238
#2017-10-23#,175.2,175.34,171.25,171.27,13852658
#2017-10-24#,172.3,173.24,171.5,171.8,12267913
#2017-10-25#,171.9,172.25,168.89,170.6,15868197
#2017-10-26#,171.38,172.285,170.39,170.63,11833141
#2017-10-27#,174.15,178.21,173.9,177.88,30285281
#2017-10-30#,179.26,180.69,177.61,179.87,24353160
#2017-10-31#,180.57,180.8,178.94,180.06,20174231
#2017-11-01#,182.36,182.9,180.57,182.66,40918341
#2017-11-02#,180.63,181.94,177.34,178.92,35529893
#2017-11-03#,179.29,179.86,176.71,178.92,17822131
#2017-11-06#,178.56,180.45,178.31,180.17,13312741
#2017-11-07#,180.5,180.748,178.96,180.25,12928182
#2017-11-08#,179.79,180.35,179.11,179.56,10494149
#2017-11-09#,178.31,179.4,177.09,179.3,12610335
#2017-11-10#,178.35,179.1,177.96,178.46,11070189
#2017-11-13#,177.5,179.04,177.3,178.77,9523447
#2017-11-14#,178.13,178.97,177.18,178.07,9585868
#2017-11-15#,176.66,178.57,176.4,177.95,10253667
#2017-11-16#,178.76,179.83,178.5,179.59,15607582
#2017-11-17#,179.3,179.98,178.9,179,13017980
#2017-11-20#,178.87,179.5,178.1,178.74,10052391
#2017-11-21#,179.15,181.89,178.99,181.86,14503990
#2017-11-22#,181.3,181.73,180.44,180.87,10376329
#2017-11-23#,181.3,181.73,180.44,180.87,10376329
#2017-11-24#,180.4,183.15,180.29,182.78,9426283
#2017-11-27#,182.56,183.73,181.99,183.03,12344516
#2017-11-28#,183.51,184.25,182.09,182.42,14379674
#2017-11-29#,181.89,181.97,174,175.13,41933484
#2017-11-30#,176.85,178.275,175.2,177.18,25307601
#2017-12-01#,176.03,177.48,172.34,175.1,20182523
#2017-12-04#,176.29,176.57,170.79,171.47,24459422
#2017-12-05#,170.45,175.38,169.01,172.83,20184908
#2017-12-06#,172.5,176.77,171.9,176.06,20255846
#2017-12-07#,175.8,180.39,175.8,180.14,20404533
#2017-12-08#,181.53,182.28,178.74,179,19883764
#2017-12-11#,179.3,180.22,178.8,179.04,13168575
#2017-12-12#,178.6,179.18,176.6,176.96,16854098
#2017-12-13#,177.3,179.16,177.25,178.3,14615718
#2017-12-14#,178.29,180.36,177.68,178.39,13590999
#2017-12-15#,179.02,180.493,178.36,180.18,28463101
#2017-12-18#,181.01,181.3,179.75,180.82,17265376
#2017-12-19#,179.95,180.08,178.22,179.51,14920582
#2017-12-20#,179.81,179.81,177.36,177.89,11860497
#2017-12-21#,177.94,178.68,177.05,177.45,11600700
#2017-12-22#,177.14,177.53,176.23,177.2,8509451
#2017-12-25#,177.14,177.53,176.23,177.2,8509451
#2017-12-26#,176.63,177,174.67,175.99,8897286
#2017-12-27#,176.55,178.44,176.26,177.62,9496071
#2017-12-28#,177.95,178.937,177.68,177.92,12220760
#2017-12-29#,178,178.85,176.46,176.46,10261456
#2018-01-01#,178,178.85,176.46,176.46,10261456
