"Date","Open","High","Low","Close","Volume"
#2015-03-25#,49.63,50.07,49.055,49.09,1051543
#2015-03-26#,48.99,49.37,48.63,48.87,1611256
#2015-03-27#,48.88,49.7999,48.78,49.45,1753453
#2015-03-30#,49.56,49.9701,49.3,49.73,1075547
#2015-03-31#,49.64,50.08,49.18,49.5,2133040
#2015-04-01#,49.49,50.03,48.88,49.93,1373552
#2015-04-02#,50.01,50.13,49.74,49.79,1258080
#2015-04-03#,50.01,50.13,49.74,49.79,1258080
#2015-04-06#,50,50.655,49.93,50.23,1262789
#2015-04-07#,50.21,50.26,49.51,49.54,934880
#2015-04-08#,49.52,49.67,49.0564,49.36,1287675
#2015-04-09#,49.41,49.41,48.77,49.05,976234
#2015-04-10#,49.22,49.96,49.17,49.65,1317399
#2015-04-13#,49.64,50.04,49.41,49.43,1145095
#2015-04-14#,49.68,50.09,49.38,49.78,1172555
#2015-04-15#,49.82,50.39,49.66,49.7,1082984
#2015-04-16#,49.7,49.78,48.94,49.45,1149144
#2015-04-17#,49.22,49.96,49.22,49.54,1117140
#2015-04-20#,49.73,50.8,49.68,50.33,1178142
#2015-04-21#,50.39,50.91,49.85,50.17,1724929
#2015-04-22#,50.32,50.46,49.83,50.28,967354
#2015-04-23#,50.29,50.95,50.19,50.66,1326429
#2015-04-24#,50.57,51.54,50.3501,51.11,1667911
#2015-04-27#,51.15,51.2,49.92,50.21,1466859
#2015-04-28#,49.89,50.49,49.69,50.34,1129600
#2015-04-29#,49.96,50.07,49.375,49.9,1101570
#2015-04-30#,49.77,49.83,48.59,49.12,2045474
#2015-05-01#,49.04,49.66,48.93,49.6,1700774
#2015-05-04#,49.56,50.31,49.47,49.85,1491401
#2015-05-05#,49.54,50.245,47.835,47.97,2771588
#2015-05-06#,47.91,48.365,47.08,47.65,1848334
#2015-05-07#,47.75,48.28,47.74,47.8,1234287
#2015-05-08#,48.63,48.83,47.96,48.09,1367200
#2015-05-11#,48,48.66,47.82,47.89,1044227
#2015-05-12#,47.21,47.54,46.84,47.31,1455266
#2015-05-13#,47.49,47.85,46.64,46.84,1020362
#2015-05-14#,47.21,47.57,47.07,47.55,804347
#2015-05-15#,47.59,48.145,47.57,48,984579
#2015-05-18#,47.84,48.36,47.82,48.26,1126067
#2015-05-19#,47.98,48.47,47.8,48.23,862207
#2015-05-20#,48.19,49.1299,48.11,48.73,1488637
#2015-05-21#,48.7,48.87,48.36,48.7,952431
#2015-05-22#,48.59,48.59,48.06,48.34,894879
#2015-05-25#,48.59,48.59,48.06,48.34,894879
#2015-05-26#,48.29,48.43,47.84,48.24,1497901
#2015-05-27#,47.9,48.54,47.9,48.3,1579085
#2015-05-28#,48.2,48.46,48.03,48.33,1484175
#2015-05-29#,48.42,48.56,48.04,48.28,2379042
#2015-06-01#,48.34,48.7,48.06,48.35,1481772
#2015-06-02#,48.03,48.03,47.04,47.45,1625612
#2015-06-03#,47.32,47.33,46.47,46.72,1321626
#2015-06-04#,46.55,46.84,46.09,46.28,2502252
#2015-06-05#,45.67,45.82,45.26,45.51,2268747
#2015-06-08#,45.45,45.53,45.1,45.21,1885928
#2015-06-09#,45.19,45.58,45.151,45.2,1036810
#2015-06-10#,45.43,45.73,45.11,45.28,1397864
#2015-06-11#,45.6,45.945,45.45,45.87,1265804
#2015-06-12#,45.65,45.92,45.51,45.57,1311253
#2015-06-15#,45.86,46.06,45.42,45.53,1914651
#2015-06-16#,45.51,46.08,45.36,46.05,1375966
#2015-06-17#,46.06,46.61,45.86,46.35,1759088
#2015-06-18#,46.9,47.305,46.7,47,2082132
#2015-06-19#,47.06,47.28,46.54,46.58,2608408
#2015-06-22#,46.02,46.75,46.02,46.28,1422913
#2015-06-23#,46.06,46.2,45.52,45.89,1643284
#2015-06-24#,45.85,46.05,45.65,45.78,2174751
#2015-06-25#,45.88,45.88,45.71,45.79,2579794
#2015-06-26#,45.69,46.23,45.35,46.21,1988659
#2015-06-29#,45.69,46.85,45.14,45.16,6870580
#2015-06-30#,45.63,45.7999,44.93,44.97,10635560
#2015-07-01#,45.13,46.09,44.97,45.93,4529516
#2015-07-02#,46.35,47.1,46.265,46.65,3216267
#2015-07-03#,46.35,47.1,46.265,46.65,3216267
#2015-07-06#,46.52,46.872,46.19,46.74,2803744
#2015-07-07#,46.76,48.08,46.76,47.87,2831765
#2015-07-08#,47.68,47.98,47.345,47.42,1920077
#2015-07-09#,47.57,47.92,46.585,46.81,2261446
#2015-07-10#,46.87,47.53,46.6,47.26,1963847
#2015-07-13#,47.36,47.77,46.87,47.21,1997880
#2015-07-14#,47.28,47.6,46.931,47.22,2551255
#2015-07-15#,47.32,47.48,47.03,47.39,1749773
#2015-07-16#,47.94,48.65,47.9,48.42,2662779
#2015-07-17#,48.2,48.4,47.78,47.86,1677452
#2015-07-20#,47.85,48.04,47.3649,47.6,1309684
#2015-07-21#,47.54,47.71,47.17,47.52,1907428
#2015-07-22#,47.52,48.2,47.47,48.03,2722842
#2015-07-23#,47.81,47.86,46.83,47.1,1891409
#2015-07-24#,47.12,47.37,46.96,47.12,1356826
#2015-07-27#,47.13,47.96,47.08,47.68,1791832
#2015-07-28#,47.97,48.16,47.63,48.06,2222474
#2015-07-29#,46,48.31,46,48.16,2675097
#2015-07-30#,48.23,49.31,47.8,48.77,2082209
#2015-07-31#,49.12,49.47,48.92,49,2133223
#2015-08-03#,49.04,49.561,48.9,49.37,1870070
#2015-08-04#,49.24,49.41,48.55,48.64,1844906
#2015-08-05#,48.85,49.06,48.43,48.67,1526147
#2015-08-06#,48.67,49.3,48.25,49.25,1860737
#2015-08-07#,49.11,50.13,48.88,50.04,2500173
#2015-08-10#,49.99,50.2,49.54,49.74,2098208
#2015-08-11#,49.71,51.15,49.69,50.49,4007034
#2015-08-12#,50.19,51.31,49.96,50.96,2659695
#2015-08-13#,50.68,51.04,50.27,50.96,1921030
#2015-08-14#,50.82,51.35,50.51,51.34,1827448
#2015-08-17#,51.27,51.75,51.03,51.29,2074745
#2015-08-18#,51.24,51.54,50.94,51.27,1722312
#2015-08-19#,51.08,51.75,50.78,51.53,1592536
#2015-08-20#,51.21,51.99,51.05,51.47,2106363
#2015-08-21#,51.19,51.85,51.0701,51.3,3199706
#2015-08-24#,50.86,50.88,48.54,48.77,3743206
#2015-08-25#,49.44,49.62,47.02,47.08,3265073
#2015-08-26#,47.55,47.83,46.66,47.72,2577358
#2015-08-27#,48.15,48.23,47.45,48.19,1895701
#2015-08-28#,48.18,48.74,47.51,48.2,1759307
#2015-08-31#,48.27,48.32,47.34,47.65,3378862
#2015-09-01#,47.44,49.37,46.45,46.76,3440707
#2015-09-02#,47.22,47.23,46.23,46.7,2270669
#2015-09-03#,46.83,47.24,46.67,47.02,1935909
#2015-09-04#,46.64,46.87,46.25,46.57,2591833
#2015-09-07#,46.64,46.87,46.25,46.57,2591833
#2015-09-08#,47.17,47.4,46.9,47.27,2013093
#2015-09-09#,47.31,47.81,46.805,46.87,2062715
#2015-09-10#,46.8,47.71,46.78,47.24,3366868
#2015-09-11#,47.03,47.88,46.86,47.88,1739570
#2015-09-14#,48.07,48.5,47.95,48.23,2132339
#2015-09-15#,48.25,48.46,47.64,48.27,1719478
#2015-09-16#,48.18,48.65,48.08,48.42,2018369
#2015-09-17#,48.33,49.77,48.26,49.19,2158865
#2015-09-18#,48.69,49.63,48.68,49.33,4115146
#2015-09-21#,49.36,49.73,49.24,49.51,1547631
#2015-09-22#,49.15,49.59,48.99,49.25,1382215
#2015-09-23#,49.28,49.54,48.94,49.48,1920853
#2015-09-24#,49.32,50.34,49.18,50.19,2195738
#2015-09-25#,50.3,51.31,50.03,51.01,2223419
#2015-09-28#,50.85,51.495,50.82,50.98,2121371
#2015-09-29#,50.97,51.39,50.79,51.12,2572354
#2015-09-30#,51.3,52.29,51.15,52.22,1870734
#2015-10-01#,52.35,52.48,51.52,52.08,2358773
#2015-10-02#,52.39,52.85,51.67,52.62,2124977
#2015-10-05#,52.88,52.98,52.0707,52.75,1850714
#2015-10-06#,52.56,52.56,51.65,52.13,2381958
#2015-10-07#,52.31,52.31,51.46,51.66,2764737
#2015-10-08#,51.52,52.46,51.4,52.45,1818159
#2015-10-09#,52.48,52.7,51.97,52.36,2270341
#2015-10-12#,52.36,52.9983,52.36,52.77,1414562
#2015-10-13#,52.71,52.94,52.25,52.44,1683619
#2015-10-14#,52.48,52.64,52.12,52.25,1502067
#2015-10-15#,52.44,53.055,52.17,53,1649136
#2015-10-16#,53.25,53.52,53.02,53.3,1899282
#2015-10-19#,53.21,53.48,52.82,53.47,2164669
#2015-10-20#,53.3,53.65,53.15,53.37,1426310
#2015-10-21#,53.65,53.83,53.07,53.16,1681771
#2015-10-22#,53.25,53.88,53.05,53.73,1648984
#2015-10-23#,53.49,53.54,52.67,52.81,1685634
#2015-10-26#,52.65,52.86,52.26,52.85,1442530
#2015-10-27#,52.71,52.93,52.4,52.68,1277065
#2015-10-28#,52.69,52.9,51.29,51.9,1747642
#2015-10-29#,51.66,51.81,50.615,51.3,1922189
#2015-10-30#,51.48,51.84,51.31,51.56,1587465
#2015-11-02#,51.56,51.8499,51.22,51.71,1607661
#2015-11-03#,51.64,51.93,51.22,51.88,1658516
#2015-11-04#,51.42,53.21,51.22,51.99,2126161
#2015-11-05#,51.97,52.21,51.64,51.68,1501150
#2015-11-06#,50.91,51.14,48.95,49.51,3223359
#2015-11-09#,49.34,49.48,48.85,49.19,2611839
#2015-11-10#,48.92,49.58,48.83,49.57,2088676
#2015-11-11#,49.66,50.14,49.43,49.99,1309557
#2015-11-12#,49.83,50.5,49.44,49.49,1426843
#2015-11-13#,49.5,49.9,48.94,49.02,1225837
#2015-11-16#,48.99,50.4,48.8,50.37,1782106
#2015-11-17#,50.21,50.65,49.42,49.54,2228611
#2015-11-18#,49.61,50.15,49.2,50.07,1908643
#2015-11-19#,50.21,50.56,49.82,50.26,2069821
#2015-11-20#,50.48,50.89,50.3,50.51,1313313
#2015-11-23#,50.39,50.67,49.82,49.92,1555161
#2015-11-24#,49.75,49.89,49.015,49.38,2098104
#2015-11-25#,49.5,49.51,48.88,49.07,2007490
#2015-11-26#,49.5,49.51,48.88,49.07,2007490
#2015-11-27#,49.19,49.82,49.07,49.54,813952
#2015-11-30#,49.67,49.89,49.3,49.32,2510286
#2015-12-01#,49.69,49.94,49.25,49.91,2404664
#2015-12-02#,49.7,49.97,48.64,48.69,1892257
#2015-12-03#,48.38,48.65,47.98,48.12,1664098
#2015-12-04#,48.34,49.5,48.25,49.45,2108055
#2015-12-07#,49.28,50.19,49.28,50.08,3495111
#2015-12-08#,50,50.58,49.92,50.5,2315719
#2015-12-09#,50.28,50.77,49.83,49.94,2294924
#2015-12-10#,49.9,49.9,48.52,48.56,2507434
#2015-12-11#,48.45,49.03,48.053,48.56,1781591
#2015-12-14#,48.89,49.62,48.71,49.54,2505708
#2015-12-15#,49.78,50.46,49.65,49.92,1692996
#2015-12-16#,50.11,51.37,50.11,51.22,2249376
#2015-12-17#,51.25,51.58,50.315,51.26,2682054
#2015-12-18#,51.01,51.09,49.98,50.24,2564882
#2015-12-21#,50.48,50.86,50.035,50.39,1517439
#2015-12-22#,50.44,50.93,49.9,50.74,1328053
#2015-12-23#,50.93,51.64,50.79,51.54,1334918
#2015-12-24#,51.56,51.68,51.43,51.57,799168
#2015-12-25#,51.56,51.68,51.43,51.57,799168
#2015-12-28#,51.39,52,51.28,51.89,1170576
#2015-12-29#,52,52.54,51.98,52.3,1226809
#2015-12-30#,52.35,52.88,52.12,52.23,1062674
#2015-12-31#,51.98,52.1,51.01,51.31,1113920
#2016-01-01#,51.98,52.1,51.01,51.31,1113920
