"Date","Open","High","Low","Close","Volume"
#2013-04-05#,20.085,20.105,19.845,20.045,2244560
#2013-04-08#,20.045,20.15,19.865,20.15,1185576
#2013-04-09#,20.165,20.22,19.99,20.09,1473724
#2013-04-10#,20.135,20.39,20.1,20.32,1736668
#2013-04-11#,20.35,20.44,20.285,20.38,1435414
#2013-04-12#,20.325,20.485,20.285,20.465,1578508
#2013-04-15#,20.45,20.535,20.195,20.195,2124678
#2013-04-16#,20.315,20.555,20.205,20.53,1687258
#2013-04-17#,20.46,20.5,20.24,20.455,1499546
#2013-04-18#,20.405,20.49,20.33,20.37,2297462
#2013-04-19#,20.42,20.8475,20.355,20.605,4703276
#2013-04-22#,20.58,20.7,20.525,20.575,1670398
#2013-04-23#,20.615,20.935,20.615,20.925,1724716
#2013-04-24#,21.02,21.045,20.585,20.62,1403074
#2013-04-25#,20.67,20.77,20.535,20.7,1372448
#2013-04-26#,20.705,20.78,20.57,20.605,972286
#2013-04-29#,20.6,20.6429,20.5075,20.62,1153432
#2013-04-30#,20.585,20.645,20.44,20.635,2104964
#2013-05-01#,20.615,20.755,20.54,20.585,1155376
#2013-05-02#,20.69,21.13,20.59,21.01,3109454
#2013-05-03#,21.105,21.195,20.8325,20.87,2003472
#2013-05-06#,20.815,20.815,20.495,20.705,1167920
#2013-05-07#,20.715,20.905,20.655,20.845,1437248
#2013-05-08#,20.855,20.905,20.645,20.695,1364976
#2013-05-09#,20.67,20.765,20.53,20.63,1684088
#2013-05-10#,20.66,20.81,20.565,20.74,2073742
#2013-05-13#,20.76,21.03,20.7,21.03,1448476
#2013-05-14#,21.04,21.46,21.02,21.445,1277556
#2013-05-15#,21.45,21.585,21.315,21.515,1132448
#2013-05-16#,21.455,21.585,21.31,21.315,1102360
#2013-05-17#,21.31,21.42,21.24,21.35,2128404
#2013-05-20#,21.375,21.455,21.225,21.26,1423986
#2013-05-21#,21.255,21.44,21.1,21.305,1618784
#2013-05-22#,21.295,21.485,21.135,21.2,1721476
#2013-05-23#,20.935,20.995,20.595,20.63,2630524
#2013-05-24#,20.58,20.925,20.5151,20.765,1621928
#2013-05-27#,20.58,20.925,20.5151,20.765,1621928
#2013-05-28#,20.91,21.14,20.835,20.84,1623166
#2013-05-29#,20.93,21.025,20.39,20.415,2013774
#2013-05-30#,20.42,20.51,20.265,20.265,2212360
#2013-05-31#,20.19,20.255,19.905,19.91,3897032
#2013-06-03#,19.865,19.975,19.51,19.89,2968376
#2013-06-04#,19.89,20.08,19.8,19.9,1917532
#2013-06-05#,19.83,19.86,19.52,19.53,1791538
#2013-06-06#,19.49,19.52,19.225,19.44,2916844
#2013-06-07#,19.6,19.82,19.585,19.8,1899782
#2013-06-10#,19.815,19.865,19.655,19.805,1091698
#2013-06-11#,19.685,19.925,19.6,19.82,1355058
#2013-06-12#,19.94,19.94,19.72,19.75,1175510
#2013-06-13#,19.725,19.95,19.6,19.91,974176
#2013-06-14#,19.79,20.1,19.79,20.065,2141622
#2013-06-17#,20.155,20.465,20.135,20.325,1464322
#2013-06-18#,19.405,19.705,19.255,19.595,5688996
#2013-06-19#,19.615,19.88,19.425,19.435,2924182
#2013-06-20#,19.39,19.39,18.77,18.81,2772058
#2013-06-21#,18.955,19.0575,18.73,18.95,2580076
#2013-06-24#,18.79,19.2,18.77,18.99,1992430
#2013-06-25#,19.135,19.23,18.97,19.05,2380636
#2013-06-26#,19.195,19.415,19.15,19.265,1436792
#2013-06-27#,19.38,19.54,19.29,19.32,873106
#2013-06-28#,19.295,19.465,19.26,19.29,2129580
#2013-07-01#,19.39,19.72,19.39,19.645,1918746
#2013-07-02#,19.62,19.66,19.4225,19.505,1580016
#2013-07-03#,19.43,19.53,19.285,19.285,1993278
#2013-07-04#,19.43,19.53,19.285,19.285,1993278
#2013-07-05#,19.42,19.56,19.26,19.555,1007976
#2013-07-08#,19.65,19.84,19.595,19.785,1082234
#2013-07-09#,19.875,19.935,19.735,19.885,1498924
#2013-07-10#,19.905,20.045,19.78,19.895,1694734
#2013-07-11#,20.105,20.32,20.09,20.305,1088744
#2013-07-12#,20.41,20.555,20.28,20.49,2046408
#2013-07-15#,20.53,20.685,20.525,20.605,1278826
#2013-07-16#,20.64,20.95,20.61,20.705,2424568
#2013-07-17#,20.73,20.8,20.57,20.58,1387328
#2013-07-18#,20.57,20.63,20.465,20.56,1055592
#2013-07-19#,20.565,20.72,20.42,20.685,2644158
#2013-07-22#,20.595,20.74,20.565,20.64,961364
#2013-07-23#,20.725,20.745,20.535,20.705,971738
#2013-07-24#,20.795,20.795,20.505,20.58,862076
#2013-07-25#,20.485,20.7095,20.45,20.655,649820
#2013-07-26#,20.555,20.74,20.435,20.72,740208
#2013-07-29#,21.03,21.325,20.97,21.12,1728202
#2013-07-30#,21.12,21.265,21.02,21.035,1398480
#2013-07-31#,21.09,21.265,20.99,21.175,1078508
#2013-08-01#,21.35,21.505,21.305,21.485,1007158
#2013-08-02#,21.445,21.515,21.235,21.515,1015970
#2013-08-05#,21.51,21.62,21.375,21.6,821826
#2013-08-06#,21.555,21.76,21.505,21.69,1144798
#2013-08-07#,21.675,21.675,21.415,21.555,980362
#2013-08-08#,21.6,21.795,21.49,21.6,834256
#2013-08-09#,21.555,21.71,21.405,21.595,1030328
#2013-08-12#,21.505,21.7,21.4,21.695,631500
#2013-08-13#,21.745,21.945,21.6878,21.905,826678
#2013-08-14#,21.955,21.995,21.71,21.71,1044568
#2013-08-15#,21.59,21.59,21.335,21.365,1187448
#2013-08-16#,21.4,21.465,21.245,21.395,1324440
#2013-08-19#,21.36,21.411,21.23,21.24,1210616
#2013-08-20#,21.295,21.495,21.295,21.39,887392
#2013-08-21#,21.41,21.445,20.97,21.055,1990542
#2013-08-22#,21.05,21.56,21.035,21.375,2169540
#2013-08-23#,21.37,21.435,21.1875,21.355,1488696
#2013-08-26#,21.395,21.425,20.9675,20.985,1290840
#2013-08-27#,20.825,20.91,20.635,20.655,2169880
#2013-08-28#,20.64,20.66,20.445,20.465,2206782
#2013-08-29#,20.415,20.745,20.3,20.665,1000202
#2013-08-30#,20.72,20.74,20.525,20.715,1051846
#2013-09-02#,20.72,20.74,20.525,20.715,1051846
#2013-09-03#,20.935,21.01,20.535,20.63,871000
#2013-09-04#,20.625,20.9775,20.58,20.965,1391938
#2013-09-05#,20.945,21.015,20.865,20.905,937492
#2013-09-06#,20.93,21.205,20.73,21.105,1196802
#2013-09-09#,21.105,21.145,21.045,21.125,769558
#2013-09-10#,21.17,21.27,21,21.22,1488754
#2013-09-11#,21.23,21.415,21.21,21.395,1097018
#2013-09-12#,21.39,21.465,21.2975,21.35,848636
#2013-09-13#,21.345,21.445,21.32,21.385,722684
#2013-09-16#,21.545,21.66,21.5,21.555,952308
#2013-09-17#,21.555,21.6625,21.51,21.62,472252
#2013-09-18#,21.59,22.065,21.53,22.06,1243908
#2013-09-19#,22.11,22.11,21.85,21.975,831720
#2013-09-20#,21.985,22.085,21.885,21.9,1409570
#2013-09-23#,21.905,21.9725,21.655,21.73,742572
#2013-09-24#,21.635,21.77,21.5151,21.57,1597476
#2013-09-25#,21.575,21.65,21.32,21.32,1410736
#2013-09-26#,21.35,21.49,21.235,21.34,1109442
#2013-09-27#,21.2,21.26,21.06,21.145,1211798
#2013-09-30#,21.015,21.11,20.9,21.06,870454
#2013-10-01#,21,21.225,20.985,21.205,929070
#2013-10-02#,21.2,21.2,20.835,21.105,1157796
#2013-10-03#,21.05,21.05,20.71,20.87,982726
#2013-10-04#,20.825,21.08,20.785,21.015,614652
#2013-10-07#,20.88,21.0375,20.8064,20.89,804984
#2013-10-08#,20.89,21.045,20.78,20.785,1115414
#2013-10-09#,20.83,20.98,20.7,20.9,1430244
#2013-10-10#,21.055,21.43,21.045,21.43,1027244
#2013-10-11#,21.355,21.615,21.265,21.55,1013980
#2013-10-14#,21.44,21.52,21.305,21.485,741490
#2013-10-15#,21.395,21.53,21.305,21.305,961800
#2013-10-16#,21.505,21.76,21.49,21.62,1272824
#2013-10-17#,21.515,21.695,21.48,21.69,911930
#2013-10-18#,21.73,21.77,21.485,21.53,1928798
#2013-10-21#,21.365,21.445,21.205,21.445,982348
#2013-10-22#,21.52,21.785,21.43,21.74,964286
#2013-10-23#,21.56,21.99,21.56,21.86,865388
#2013-10-24#,21.91,21.945,21.765,21.88,939848
#2013-10-25#,21.885,21.9,21.735,21.81,1273630
#2013-10-28#,21.81,22,21.695,21.775,2420526
#2013-10-29#,21.795,22.065,21.675,22.055,1291186
#2013-10-30#,22.055,22.11,21.82,21.845,616098
#2013-10-31#,21.81,21.81,21.575,21.73,1036266
#2013-11-01#,21.7,21.82,21.59,21.675,1136106
#2013-11-04#,21.785,21.83,21.55,21.59,1311152
#2013-11-05#,21.57,21.795,21.515,21.76,1312562
#2013-11-06#,21.79,21.96,21.71,21.935,771926
#2013-11-07#,21.995,21.995,21.46,21.475,1079440
#2013-11-08#,21.435,21.6425,21.315,21.6,1404186
#2013-11-11#,21.64,21.69,21.3675,21.465,1229708
#2013-11-12#,21.37,21.475,21.255,21.475,1398982
#2013-11-13#,21.35,21.72,21.35,21.715,969712
#2013-11-14#,21.71,21.895,21.655,21.88,925990
#2013-11-15#,21.985,22,21.6955,21.955,942696
#2013-11-18#,22.03,22.0775,21.795,21.88,1333564
#2013-11-19#,21.8,21.8,21.67,21.7,1417472
#2013-11-20#,21.665,21.705,20.965,21.115,2607584
#2013-11-21#,21.215,21.43,21.095,21.405,1935754
#2013-11-22#,21.39,21.725,21.36,21.45,2039338
#2013-11-25#,21.51,21.585,21.165,21.22,2360114
#2013-11-26#,22.01,22.765,22.005,22.475,4554666
#2013-11-27#,22.495,22.585,22.385,22.515,2383084
#2013-11-28#,22.495,22.585,22.385,22.515,2383084
#2013-11-29#,22.565,22.605,22.465,22.51,1182280
#2013-12-02#,22.51,23.06,22.49,22.9,2552972
#2013-12-03#,22.905,23.035,22.81,22.99,2007706
#2013-12-04#,22.865,23.08,22.73,22.945,1400296
#2013-12-05#,22.905,22.91,22.4958,22.54,1811568
#2013-12-06#,22.79,22.9675,22.715,22.905,1473156
#2013-12-09#,22.975,23.09,22.9132,23,1161016
#2013-12-10#,22.95,22.96,22.535,22.615,1174772
#2013-12-11#,22.67,22.69,22.455,22.495,1655094
#2013-12-12#,22.505,22.565,22.22,22.3,999682
#2013-12-13#,22.325,22.325,22.04,22.09,821330
#2013-12-16#,22.155,22.285,22.08,22.14,1016992
#2013-12-17#,22.18,22.18,22.02,22.08,1037398
#2013-12-18#,22.1,22.445,21.875,22.425,1429268
#2013-12-19#,22.435,22.505,22.27,22.49,1308606
#2013-12-20#,22.48,22.57,22.345,22.365,2437750
#2013-12-23#,22.495,22.545,22.285,22.4,843074
#2013-12-24#,22.38,22.485,22.3275,22.43,344444
#2013-12-25#,22.38,22.485,22.3275,22.43,344444
#2013-12-26#,22.44,22.465,22.31,22.415,696714
#2013-12-27#,22.435,22.48,22.325,22.41,507680
#2013-12-30#,22.435,22.575,22.41,22.565,666030
#2013-12-31#,22.635,22.725,22.485,22.585,1048600
#2014-01-01#,22.635,22.725,22.485,22.585,1048600
