"Date","Open","High","Low","Close","Volume"
#2018-03-26#,72.43,73.31,71.75,73.14,625222
#2018-03-27#,73.35,74.16,72.72,73.13,504017
#2018-03-28#,73.28,74.42,72.89,73.86,549414
#2018-03-29#,74.43,74.95,73.16,74.26,434564
#2018-03-30#,74.43,74.95,73.16,74.26,434564
#2018-04-02#,74.06,74.28,71.21,72.37,500491
#2018-04-03#,72.81,73.9,72.68,73.49,504777
#2018-04-04#,72.81,74.08,72.48,73.9,530395
#2018-04-05#,74.16,74.73,73.835,74.35,543286
#2018-04-06#,73.82,74.68,72.64,73,743838
#2018-04-09#,73.23,73.83,72.49,72.77,481842
#2018-04-10#,73.37,74.08,73.19,73.41,412568
#2018-04-11#,73.05,75,72.89,73.41,329103
#2018-04-12#,73.91,74.39,73.74,73.98,246806
#2018-04-13#,74.47,74.52,73.16,73.53,358748
#2018-04-16#,74.09,75.06,73.32,74.74,537800
#2018-04-17#,75.39,75.63,74.39,74.49,406057
#2018-04-18#,74.73,75.18,74.25,74.56,351798
#2018-04-19#,74.54,75.37,73.78,75.04,299880
#2018-04-20#,75.33,75.66,74.77,75.27,390590
#2018-04-23#,75.59,75.75,74.79,75.72,394462
#2018-04-24#,75.93,75.96,74.47,74.95,433685
#2018-04-25#,75.03,75.2436,73.96,74.82,450252
#2018-04-26#,72.58,74.5673,70.29,71.44,1479387
#2018-04-27#,71.24,71.85,70.78,71.45,722432
#2018-04-30#,71.61,71.94,70.33,70.34,1135701
#2018-05-01#,70.22,71.28,70.01,71.18,652940
#2018-05-02#,70.9876,71.13,69.58,69.71,881928
#2018-05-03#,69.45,70.045,68.33,69.35,744275
#2018-05-04#,68.94,70.669,68.62,70.01,606388
#2018-05-07#,70.16,70.809,69.59,69.8,486438
#2018-05-08#,69.82,70.26,69.55,70.18,544453
#2018-05-09#,70.51,71.41,70.23,71.21,546565
#2018-05-10#,71.35,72.19,70.95,71.89,570835
#2018-05-11#,71.92,72.33,71.225,71.88,353237
#2018-05-14#,72.06,72.06,70.46,70.56,514888
#2018-05-15#,70.4,71.17,70.37,70.89,457282
#2018-05-16#,70.99,71.3199,70.6,70.76,390451
#2018-05-17#,70.85,70.99,70.51,70.89,303968
#2018-05-18#,70.93,71.105,70.5,70.73,324534
#2018-05-21#,71.07,71.4519,70.7,71.29,574981
#2018-05-22#,71.42,71.89,71.22,71.45,259659
#2018-05-23#,71.23,71.45,70.48,70.88,292497
#2018-05-24#,70.68,70.759,70.01,70.43,661127
#2018-05-25#,70.45,70.72,70.14,70.42,309030
#2018-05-28#,70.45,70.72,70.14,70.42,309030
#2018-05-29#,69.91,69.93,68.281,68.51,606272
#2018-05-30#,68.95,70.49,68.86,70.1,442677
#2018-05-31#,70.06,70.06,68.65,69.37,973290
#2018-06-01#,69.97,70.77,69.895,70.18,572473
#2018-06-04#,70.2,70.65,70.14,70.24,392680
#2018-06-05#,70.21,70.22,69.12,70,516436
#2018-06-06#,70.18,70.61,69.69,70.39,344314
#2018-06-07#,70.63,70.85,69.94,70.77,291254
#2018-06-08#,70.78,71.36,70.55,71.28,527919
#2018-06-11#,71.47,71.47,70.26,70.53,281650
#2018-06-12#,70.45,70.64,69.415,70.06,494059
#2018-06-13#,70.29,70.53,69.47,69.67,430450
#2018-06-14#,69.93,69.93,68.88,68.92,406788
#2018-06-15#,68.65,69.11,68.15,68.99,1111164
#2018-06-18#,68.83,69.05,68.11,69,524729
#2018-06-19#,68.28,68.96,68.28,68.76,483375
#2018-06-20#,68.99,68.99,68.43,68.49,530743
#2018-06-21#,68.47,68.6333,67.59,67.77,371119
#2018-06-22#,68.22,68.6,67.93,68.34,837768
#2018-06-25#,68.25,68.85,67.82,68.22,452423
#2018-06-26#,68.35,68.505,67.055,67.14,671783
#2018-06-27#,67.16,67.65,66.33,66.33,483901
#2018-06-28#,66.37,67.4,66.33,67.16,272241
#2018-06-29#,67.44,68.01,66.59,66.86,612560
#2018-07-02#,66.58,67.94,66.56,66.98,377979
#2018-07-03#,67.15,67.88,67.15,67.36,199591
#2018-07-04#,67.15,67.88,67.15,67.36,199591
#2018-07-05#,67.61,67.61,67,67.5,378566
#2018-07-06#,67.53,68.68,67.41,68.34,441215
#2018-07-09#,68.6,69.85,68.6,69.79,606813
#2018-07-10#,69.87,69.98,69.09,69.88,575326
#2018-07-11#,68.39,70.1,68.39,69.79,314445
#2018-07-12#,70.31,70.31,69.531,69.64,355821
#2018-07-13#,69.26,69.83,69.05,69.61,377806
#2018-07-16#,69.75,70.56,69.68,70.54,357936
#2018-07-17#,70.71,70.83,70.363,70.55,324345
#2018-07-18#,70.59,71.47,70.52,71.3,404072
#2018-07-19#,71.18,71.32,70.15,70.26,499269
#2018-07-20#,69.97,70.82,69.83,70.7,419442
#2018-07-23#,70.85,71.07,70.37,70.89,381966
#2018-07-24#,71.14,71.25,70.4,70.74,506345
#2018-07-25#,70.74,71.48,70.08,71.3,616390
#2018-07-26#,71.44,72.55,70.55,72.3,638545
#2018-07-27#,75,77.01,73.84,74.44,1305102
#2018-07-30#,74.56,76.1,74.475,75.4,722709
#2018-07-31#,75.79,76,74.8661,75.63,2398552
#2018-08-01#,75.59,76.08,74.9,75.25,598843
#2018-08-02#,75,75.61,74.28,75.25,431579
#2018-08-03#,75.29,75.6,74.9,75.54,333060
#2018-08-06#,75.53,76.26,75.4,75.96,370222
#2018-08-07#,75,75.61,74.885,75.05,595463
#2018-08-08#,75.1,75.27,74.38,75.08,286553
#2018-08-09#,75.21,75.5,74.85,75,365699
#2018-08-10#,74.43,74.71,73.89,74.39,422088
#2018-08-13#,74.43,74.64,73.59,73.69,386743
#2018-08-14#,73.82,74.59,73.64,74.31,350484
#2018-08-15#,73.9,74.67,73.72,74.44,245691
#2018-08-16#,74.68,75.77,74.68,75.29,287281
#2018-08-17#,75.38,75.91,75.31,75.75,305521
#2018-08-20#,75.95,76.47,75.74,76.14,413575
#2018-08-21#,76.15,76.53,76.03,76.43,286921
#2018-08-22#,76.42,76.49,75.87,76.02,275285
#2018-08-23#,75.5,76.18,75.5,76.15,325348
#2018-08-24#,76.53,76.57,76.1101,76.49,259114
#2018-08-27#,76.8,77.21,76.42,76.85,333899
#2018-08-28#,76.96,77.18,76.585,76.79,428571
#2018-08-29#,76.82,77.27,76.42,76.71,306909
#2018-08-30#,76.79,76.815,76.155,76.32,318295
#2018-08-31#,76.31,76.88,75.99,76.67,453097
#2018-09-03#,76.31,76.88,75.99,76.67,453097
#2018-09-04#,76.49,77.31,76.4,77.18,285400
#2018-09-05#,76.82,77.83,76.82,77.45,389477
#2018-09-06#,77.53,77.99,77.19,77.64,304838
#2018-09-07#,77.71,77.8887,77.03,77.16,413407
#2018-09-10#,77.51,77.58,76.965,77.03,373122
#2018-09-11#,76.98,77.19,76.38,76.8,381772
#2018-09-12#,76.8,76.935,75.85,75.97,330105
#2018-09-13#,76.32,76.94,76.1,76.9,358359
#2018-09-14#,76.97,77.82,76.83,77.77,283507
#2018-09-17#,77.9,77.9,77.22,77.84,311824
#2018-09-18#,77.47,78.05,76.94,77.98,429782
#2018-09-19#,78.18,78.97,77.68,78.58,467004
#2018-09-20#,78.9,79.24,78.39,78.97,452118
#2018-09-21#,79.25,79.6719,78.8,79.03,1432466
#2018-09-24#,78.79,78.86,77.37,77.41,526004
#2018-09-25#,77.77,77.82,77.06,77.23,341292
#2018-09-26#,77.43,77.43,76.48,76.6,350163
#2018-09-27#,76.79,77.01,76.415,76.52,341517
#2018-09-28#,76.26,76.9,76.0892,76.81,542369
#2018-10-01#,77.11,77.22,75.13,75.37,509758
#2018-10-02#,75.38,76.12,75.03,76.08,413349
#2018-10-03#,76.47,76.47,75.58,75.85,717409
#2018-10-04#,75.93,76.585,75.75,76.5,396412
#2018-10-05#,76.65,77.08,76.3149,76.68,338684
#2018-10-08#,76.59,77.96,76.57,77.61,349440
#2018-10-09#,77.58,78.26,77.18,78.03,305732
#2018-10-10#,78.03,78.38,76.24,76.33,634976
#2018-10-11#,76.28,76.31,72.93,72.96,907058
#2018-10-12#,74.09,74.09,71.3,72.33,927976
#2018-10-15#,72.36,73.22,72.03,72.16,578575
#2018-10-16#,73,74.4,72.285,74.29,768293
#2018-10-17#,74.11,75.9,74.04,75.75,745216
#2018-10-18#,75.63,76.35,75.34,75.68,554448
#2018-10-19#,75.56,76.72,75.3037,76.31,530709
#2018-10-22#,76.59,76.85,74.86,75.09,463718
#2018-10-23#,74.47,74.6799,73.39,73.91,898084
#2018-10-24#,73.99,73.99,71.26,71.39,807698
#2018-10-25#,71.65,72.37,71.01,71.75,1121594
#2018-10-26#,74.01,77.04,71.78,76.5,1545196
#2018-10-29#,77.42,79.16,76.12,76.8,1097618
#2018-10-30#,77.21,78.47,76.395,78.37,692269
#2018-10-31#,78.52,79.7,78.24,78.64,1649406
#2018-11-01#,78.47,79.01,77.58,78.43,906176
#2018-11-02#,78.94,79.69,77.42,78.05,582714
#2018-11-05#,78.43,79.62,78.08,79.18,640863
#2018-11-06#,79.22,80.27,78.98,80.16,588956
#2018-11-07#,80.46,80.82,79.58,80.78,553608
#2018-11-08#,80.69,81.45,80.42,81.4,447466
#2018-11-09#,81.3,81.92,80.99,81.32,510230
#2018-11-12#,81.43,81.96,80.1,80.27,382219
#2018-11-13#,80.72,81.68,80.37,80.96,439690
#2018-11-14#,81.19,81.39,78.65,78.99,650782
#2018-11-15#,78.73,79.76,77.85,79.45,1072899
#2018-11-16#,79.07,80.35,78.32,80.25,2359537
#2018-11-19#,80.15,81.05,80.08,80.71,908137
#2018-11-20#,80.41,80.5,79.43,79.79,824536
#2018-11-21#,80.02,80.5,79.31,79.54,355254
#2018-11-22#,80.02,80.5,79.31,79.54,355254
#2018-11-23#,79.23,79.73,78.72,78.81,170234
#2018-11-26#,79.35,80.085,79.35,79.96,514364
#2018-11-27#,79.7,80.1,79.23,79.97,619604
#2018-11-28#,80.27,81.7,79.79,81.55,824587
#2018-11-29#,81.19,82.08,81,81.48,346207
#2018-11-30#,81.54,82.14,81.12,81.73,723945
#2018-12-03#,82.51,82.86,81.07,82.64,723419
#2018-12-04#,82.41,82.74,81.24,81.51,955045
#2018-12-05#,82.41,82.74,81.24,81.51,955045
#2018-12-06#,80.56,80.8,78.61,80.55,744875
#2018-12-07#,80.68,81.36,79.61,80.14,473994
#2018-12-10#,80.16,80.24,77.94,79.39,499129
#2018-12-11#,80.25,80.4165,78.84,79.14,376552
#2018-12-12#,79.82,80.52,79.32,79.71,362884
#2018-12-13#,79.78,80.55,78.93,79.7,469755
#2018-12-14#,79.34,79.76,78.93,79.41,462343
#2018-12-17#,79.21,79.4,76.98,77.26,869382
#2018-12-18#,77.3,77.54,75.85,76.56,661535
#2018-12-19#,76.71,78.45,76.22,76.39,779478
#2018-12-20#,76.23,76.52,75.2,75.84,501233
#2018-12-21#,75.46,77.88,75.37,75.63,1998751
#2018-12-24#,75.57,75.57,72.11,72.15,446258
#2018-12-25#,75.57,75.57,72.11,72.15,446258
#2018-12-26#,72.49,75.43,71.21,75.39,837747
#2018-12-27#,74.47,76.6,73.8,76.54,627237
#2018-12-28#,77.05,77.5,76.1803,76.61,575661
#2018-12-31#,77.04,77.45,76.5,77.42,582285
#2019-01-01#,77.04,77.45,76.5,77.42,582285
