"Date","Open","High","Low","Close","Volume"
#2015-06-08#,35.485,35.91,35.41,35.81,3521804
#2015-06-09#,35.725,35.8,35.605,35.65,2619156
#2015-06-10#,35.71,36.01,35.655,35.89,1879442
#2015-06-11#,36.005,36.4625,36.005,36.38,1653132
#2015-06-12#,36.275,36.39,35.675,36.05,2743432
#2015-06-15#,35.74,35.965,35.4851,35.77,1787022
#2015-06-16#,35.65,35.795,35.585,35.645,1282918
#2015-06-17#,35.8,35.835,35.38,35.735,1703020
#2015-06-18#,35.91,36.14,35.59,36.045,1054006
#2015-06-19#,35.99,36.54,35.945,36.195,1439236
#2015-06-22#,36.285,36.335,35.96,36.235,1079002
#2015-06-23#,36.285,36.455,36.1,36.235,1164034
#2015-06-24#,36.15,36.27,36.011,36.12,2389984
#2015-06-25#,36.285,36.33,35.995,36.275,1480544
#2015-06-26#,36.27,36.4,35.605,36.3,4241682
#2015-06-29#,36.03,36.255,35.495,35.56,1636090
#2015-06-30#,35.695,35.915,35.06,35.075,1569540
#2015-07-01#,35.51,36.04,35.445,35.82,1406444
#2015-07-02#,36.035,36.08,35.57,35.825,1137544
#2015-07-03#,36.035,36.08,35.57,35.825,1137544
#2015-07-06#,35.48,35.885,35.36,35.625,1465400
#2015-07-07#,35.385,35.955,35.245,35.74,1588228
#2015-07-08#,35.535,35.725,34.8,34.815,2889044
#2015-07-09#,35.095,35.255,34.77,34.835,2741962
#2015-07-10#,35.31,35.365,35.055,35.075,1586362
#2015-07-13#,35.26,35.355,35.06,35.25,2225430
#2015-07-14#,35.29,35.42,35.078,35.315,1767076
#2015-07-15#,35.34,35.9175,35.09,35.79,1685952
#2015-07-16#,35.945,36.08,35.83,36.03,1058926
#2015-07-17#,36.015,36.14,35.6475,35.755,1332116
#2015-07-20#,35.635,35.835,35.015,35.055,1803382
#2015-07-21#,34.89,34.9,34.32,34.375,1581748
#2015-07-22#,34.365,34.79,34.14,34.225,1723000
#2015-07-23#,34.34,34.34,33.685,33.735,1439786
#2015-07-24#,33.675,34.08,33.375,33.505,1852390
#2015-07-27#,33.455,33.485,33.1075,33.32,1319914
#2015-07-28#,33.565,33.975,33.385,33.825,1319696
#2015-07-29#,33.855,34.455,33.68,34.37,1490462
#2015-07-30#,34.215,34.9,33.595,34.77,2764404
#2015-07-31#,34.87,35.095,33.8875,33.92,2702860
#2015-08-03#,33.665,34.485,33.535,33.65,3193802
#2015-08-04#,33.65,34.03,33.6,33.895,1861456
#2015-08-05#,34.255,34.295,33.7152,34.13,4400322
#2015-08-06#,34.16,34.805,34.135,34.66,2730424
#2015-08-07#,34.645,34.725,34.305,34.66,2377368
#2015-08-10#,34.835,35.46,34.685,35.43,2102404
#2015-08-11#,35.025,35.305,34.96,35.075,1102678
#2015-08-12#,34.86,34.965,34.465,34.845,1419026
#2015-08-13#,36.68,36.68,34.715,35.18,1297240
#2015-08-14#,35.18,35.955,35.13,35.855,1458620
#2015-08-17#,35.65,35.835,35.28,35.83,1031916
#2015-08-18#,35.545,35.9,35.545,35.805,826614
#2015-08-19#,35.56,35.605,35.015,35.325,1125084
#2015-08-20#,35.04,35.04,34.42,34.46,1592204
#2015-08-21#,34.04,34.25,33.5625,33.58,2439664
#2015-08-24#,30.55,33.078,28.975,32.4,3922502
#2015-08-25#,33.15,33.15,31.795,31.795,2791410
#2015-08-26#,32.5,32.59,31.515,31.925,4192588
#2015-08-27#,32.265,33.1,32.095,32.94,4716594
#2015-08-28#,32.765,33.275,32.535,33.26,2131966
#2015-08-31#,33.105,33.205,32.82,32.955,1726284
#2015-09-01#,32.245,32.64,32.055,32.195,2778432
#2015-09-02#,32.6,32.64,31.935,32.45,1883320
#2015-09-03#,32.665,33.235,32.46,33.105,2349318
#2015-09-04#,32.66,32.77,31.88,32.005,2975606
#2015-09-07#,32.66,32.77,31.88,32.005,2975606
#2015-09-08#,32.53,33.47,32.34,33.44,2234746
#2015-09-09#,33.725,33.95,33.34,33.4,1889172
#2015-09-10#,33.435,33.885,33.29,33.425,2137280
#2015-09-11#,33.185,33.42,32.985,33.305,1543052
#2015-09-14#,33.26,33.26,32.865,32.93,1464188
#2015-09-15#,33.02,33.7,32.81,33.655,1398326
#2015-09-16#,33.56,34.0175,33.35,33.915,1440082
#2015-09-17#,33.875,34.115,33.545,33.6,1207914
#2015-09-18#,33.285,33.69,33.055,33.48,3144476
#2015-09-21#,33.67,34.105,33.345,33.525,1958282
#2015-09-22#,33.08,33.25,32.4,32.44,2998684
#2015-09-23#,32.52,32.52,31.55,31.685,1938740
#2015-09-24#,31.505,31.665,31.095,31.39,2687322
#2015-09-25#,31.655,31.675,31.085,31.48,3075844
#2015-09-28#,31.33,31.33,30.28,30.375,2240736
#2015-09-29#,30.35,30.57,30.15,30.25,1998234
#2015-09-30#,30.6,31.16,30.6,31.1,2075308
#2015-10-01#,31.205,31.7,31.02,31.57,2245252
#2015-10-02#,31.195,32.045,31.015,32.03,1813842
#2015-10-05#,32.28,32.49,32.0325,32.35,1668322
#2015-10-06#,32.475,32.495,31.65,31.705,1945588
#2015-10-07#,31.535,32.365,31.535,32.28,1973484
#2015-10-08#,32.19,33.14,32.015,33.05,1309358
#2015-10-09#,33.59,33.6,32.985,33.27,1399228
#2015-10-12#,33.19,33.535,32.965,33.39,1118204
#2015-10-13#,33.15,33.48,32.94,33.01,1594320
#2015-10-14#,33.005,33.33,32.825,33.14,2496806
#2015-10-15#,33.19,33.37,32.535,33.26,2353162
#2015-10-16#,33.325,33.48,33.07,33.47,2290428
#2015-10-19#,33.295,33.465,33.125,33.3,1509176
#2015-10-20#,33.305,33.815,33.2175,33.53,2503714
#2015-10-21#,33.5,33.71,33.035,33.06,2290888
#2015-10-22#,33.34,34.23,33.155,34.21,3120978
#2015-10-23#,34.355,34.54,33.89,33.915,2521150
#2015-10-26#,33.815,34.1525,33.805,33.87,2042296
#2015-10-27#,33.625,33.84,33.295,33.745,1552054
#2015-10-28#,33.765,34.055,33.535,33.98,1762088
#2015-10-29#,33.545,34.06,33.173,33.66,1750340
#2015-10-30#,33.82,34.675,33.665,34.25,2921088
#2015-11-02#,34.275,35.245,34.255,35.12,2558832
#2015-11-03#,35.03,35.095,33.88,33.91,2000842
#2015-11-04#,33.935,34.095,33.575,33.71,1776466
#2015-11-05#,33.765,33.99,33.52,33.895,1407490
#2015-11-06#,33.71,34.035,33.305,33.89,1185514
#2015-11-09#,33.905,33.905,33.095,33.17,2359486
#2015-11-10#,33.43,33.895,33.04,33.885,1665104
#2015-11-11#,33.97,34.155,33.785,34.09,1065246
#2015-11-12#,33.84,33.905,32.695,32.71,1862234
#2015-11-13#,32.755,33.125,32.46,32.96,1320808
#2015-11-16#,32.9,33.26,32.695,33.14,1377292
#2015-11-17#,33.23,33.44,32.865,33.065,1250006
#2015-11-18#,33.175,34.22,33.1125,34.18,1738358
#2015-11-19#,34.155,34.27,33.8,34.205,1441826
#2015-11-20#,34.4,34.89,34.325,34.72,1919890
#2015-11-23#,34.7,35.02,34.33,34.39,1697250
#2015-11-24#,34.24,34.69,33.965,34.66,2067576
#2015-11-25#,34.675,34.7225,34.195,34.4,2034152
#2015-11-26#,34.675,34.7225,34.195,34.4,2034152
#2015-11-27#,34.345,34.6,34.025,34.505,639698
#2015-11-30#,34.48,34.7625,34.265,34.71,3009280
#2015-12-01#,34.71,35,34.37,34.42,3783852
#2015-12-02#,34.37,34.8,33.675,33.75,1995472
#2015-12-03#,34.225,34.51,33.74,33.95,3569900
#2015-12-04#,33.96,34.925,33.92,34.885,2759570
#2015-12-07#,34.58,34.8125,34.07,34.4,4061810
#2015-12-08#,34.01,34.13,33.255,33.72,2559880
#2015-12-09#,34.07,34.965,33.79,34.42,4567800
#2015-12-10#,34.825,36.235,34.665,35.945,4869050
#2015-12-11#,35.38,36.085,35.135,35.67,4832824
#2015-12-14#,35.625,35.76,35.14,35.425,2979714
#2015-12-15#,35.67,35.7475,35.275,35.57,2542750
#2015-12-16#,35.815,35.945,35.25,35.815,2929046
#2015-12-17#,35.89,36,35.165,35.26,2260220
#2015-12-18#,35.135,35.36,34.77,34.905,3849088
#2015-12-21#,35.09,35.29,34.595,35.165,1866216
#2015-12-22#,35.24,35.63,34.835,35.47,1491760
#2015-12-23#,35.795,36.355,35.57,36.29,2226406
#2015-12-24#,36.25,36.44,36.06,36.27,1052330
#2015-12-25#,36.25,36.44,36.06,36.27,1052330
#2015-12-28#,36.14,36.465,35.995,36.375,1453596
#2015-12-29#,36.52,36.9325,36.305,36.91,1910666
#2015-12-30#,36.805,37.12,36.645,36.665,1705148
#2015-12-31#,36.445,36.675,36.22,36.365,1510094
#2016-01-01#,36.445,36.675,36.22,36.365,1510094
