"Date","Open","High","Low","Close","Volume"
#2017-05-16#,54.86,54.99,54.39,54.83,1958773
#2017-05-17#,54.64,55.64,54.6015,55.33,3152661
#2017-05-18#,55.21,55.3,54.16,54.77,3005291
#2017-05-19#,54.85,55.76,54.6,55.24,3047779
#2017-05-22#,55.27,55.59,55.17,55.41,1789106
#2017-05-23#,55.62,55.89,55.39,55.69,1695613
#2017-05-24#,55.83,55.98,55.69,55.87,2791238
#2017-05-25#,56.03,56.1,55.695,55.9,1589083
#2017-05-26#,56,56,55.43,55.79,1283315
#2017-05-29#,56,56,55.43,55.79,1283315
#2017-05-30#,55.76,56.15,55.68,55.83,2290885
#2017-05-31#,55.91,56.01,55.24,55.54,3606652
#2017-06-01#,55.51,56.005,55.21,55.91,3213540
#2017-06-02#,56.14,57.05,56.01,56.88,7702545
#2017-06-05#,56.91,56.91,56.36,56.41,2048015
#2017-06-06#,56.36,56.74,56.12,56.48,2169170
#2017-06-07#,56.57,56.76,56.25,56.76,3281282
#2017-06-08#,56.66,56.8,55.7,56.46,2623698
#2017-06-09#,56.44,57.14,56.33,57.13,2165500
#2017-06-12#,56.79,57.47,56.72,57.33,2684585
#2017-06-13#,57.23,57.32,56.96,57.19,1779035
#2017-06-14#,57.63,57.92,57.36,57.83,2763886
#2017-06-15#,57.42,58.72,57.405,58.51,4389524
#2017-06-16#,58.58,58.72,57.89,58.13,4335059
#2017-06-19#,58.07,58.65,57.94,58.59,2912537
#2017-06-20#,58.62,58.7,57.37,57.67,2200559
#2017-06-21#,57.71,58.065,57.615,58.05,2639419
#2017-06-22#,57.84,57.89,57.5,57.64,1850801
#2017-06-23#,58.21,59.07,58.1,58.52,3165446
#2017-06-26#,58.74,59.105,58.54,59.06,2390288
#2017-06-27#,59.39,59.49,58.705,58.72,5484503
#2017-06-28#,58.92,59.23,58.54,59.19,3740241
#2017-06-29#,59.26,59.4,58.63,58.69,3400226
#2017-06-30#,58.77,59.02,58.585,58.64,2594005
#2017-07-03#,58.92,59.31,58.55,59.19,1009471
#2017-07-04#,58.92,59.31,58.55,59.19,1009471
#2017-07-05#,59.26,59.32,58.245,58.53,2244151
#2017-07-06#,58.29,58.42,57.21,57.28,2529467
#2017-07-07#,57.52,57.875,57.28,57.75,2305136
#2017-07-10#,57.84,58.07,57.19,57.28,1955310
#2017-07-11#,57.27,57.41,56.59,56.94,2615083
#2017-07-12#,57.48,57.88,57.4,57.79,1829583
#2017-07-13#,57.89,57.89,57.37,57.55,1514552
#2017-07-14#,57.76,58.22,57.76,58.08,1754859
#2017-07-17#,58.07,58.83,57.86,58.52,2019446
#2017-07-18#,58.53,60.47,58.53,60.12,3501899
#2017-07-19#,60.14,60.29,59.77,60.12,3074940
#2017-07-20#,60.14,60.25,59.17,59.17,2345203
#2017-07-21#,59.04,59.33,58.78,58.99,2643033
#2017-07-24#,58.96,60.44,58.65,60.3,2848905
#2017-07-25#,60.51,60.51,59.74,60.27,2487712
#2017-07-26#,60.32,61.45,60.17,61.14,2026014
#2017-07-27#,60.92,61.54,60.4,61.16,1508809
#2017-07-28#,61.22,61.64,60.99,61.55,1591918
#2017-07-31#,61.8,61.81,60.7,60.81,3289941
#2017-08-01#,61.07,61.47,60.75,61.34,2091081
#2017-08-02#,61.37,61.5796,60.9,61.2,1380827
#2017-08-03#,61.19,61.46,60.81,61.12,1751498
#2017-08-04#,61.23,61.6,61.12,61.36,1631473
#2017-08-07#,61.31,61.31,60.435,60.65,1577098
#2017-08-08#,60.53,61.17,60.35,60.78,1929739
#2017-08-09#,60.78,60.905,60.46,60.74,1675785
#2017-08-10#,60.42,60.61,59.69,59.94,1769257
#2017-08-11#,60.04,60.04,59.355,59.71,1746987
#2017-08-14#,60.12,61.42,60.12,61.33,2134374
#2017-08-15#,61.24,61.93,60.96,61.89,1585824
#2017-08-16#,61.94,62.87,61.93,62.25,2393830
#2017-08-17#,62.17,62.4625,61.3,61.3,1588051
#2017-08-18#,61.09,61.42,60.61,61.23,1993934
#2017-08-21#,61.34,62.17,61.11,62.09,1779425
#2017-08-22#,62.2,62.3,61.43,61.7,1317785
#2017-08-23#,61.68,62.98,61.55,62.81,1415752
#2017-08-24#,63,63.079,62.2,62.27,1889521
#2017-08-25#,62.6,62.9,62.26,62.58,1303269
#2017-08-28#,62.7,62.84,62.06,62.43,1348051
#2017-08-29#,62.32,62.75,62.03,62.18,1398511
#2017-08-30#,62.1,62.49,61.84,62.46,1822173
#2017-08-31#,62.74,63.58,62.65,63.36,2991075
#2017-09-01#,63.43,64.14,63.36,63.78,1757782
#2017-09-04#,63.43,64.14,63.36,63.78,1757782
#2017-09-05#,64.25,64.3,63.425,63.51,2263474
#2017-09-06#,63.8,63.9699,63.06,63.14,1799619
#2017-09-07#,63.36,64.06,63.17,63.71,2314851
#2017-09-08#,63.54,64.24,63.2691,63.97,1410233
#2017-09-11#,64.21,65.13,64.17,65.13,1828452
#2017-09-12#,65.09,65.36,64.21,64.66,1596497
#2017-09-13#,64.54,64.54,63.75,64.01,1864242
#2017-09-14#,64.26,65.49,63.92,65.29,2548676
#2017-09-15#,64.95,65.43,64.09,65.2,4188973
#2017-09-18#,65.1,65.44,64.4,65.03,3528783
#2017-09-19#,65.11,65.26,64.55,64.75,2334381
#2017-09-20#,64.7,64.95,64.185,64.62,2540099
#2017-09-21#,64.57,65.01,64.31,64.36,1673509
#2017-09-22#,64.32,64.7,63.59,63.68,1807350
#2017-09-25#,63.38,64.18,63.26,64.02,2035809
#2017-09-26#,63.7,64.01,63.47,63.66,1633861
#2017-09-27#,63.5,63.67,62.11,62.91,2549432
#2017-09-28#,63.04,63.81,62.91,63.55,1830712
#2017-09-29#,63.31,63.7,62.86,63.46,2514990
#2017-10-02#,63.68,63.99,63.15,63.59,1669162
#2017-10-03#,63.63,63.875,63.27,63.69,1395290
#2017-10-04#,63.71,64.13,63.48,64.08,1358026
#2017-10-05#,64.21,64.71,64.04,64.57,1665452
#2017-10-06#,64.34,64.54,63.57,64.52,1201776
#2017-10-09#,64.47,64.87,64.47,64.83,941073
#2017-10-10#,64.98,65.54,64.62,64.72,1527547
#2017-10-11#,64.54,64.81,64.13,64.5,2123671
#2017-10-12#,64.43,65.08,64.33,65.08,2671579
#2017-10-13#,65.37,65.63,64.945,65.21,1696805
#2017-10-16#,65.25,65.46,64.655,65,1949539
#2017-10-17#,64.97,64.97,63.742,64.31,2389301
#2017-10-18#,64.35,65.4,64.27,65.31,3551667
#2017-10-19#,65.3,65.45,64.225,64.55,2404105
#2017-10-20#,64.55,64.71,64.1088,64.44,2558476
#2017-10-23#,64.68,64.68,64.11,64.46,1579509
#2017-10-24#,64.37,64.75,63.55,64.04,2649448
#2017-10-25#,64.01,64.78,63.75,64.03,2062637
#2017-10-26#,64.31,64.44,63.61,64.27,2267051
#2017-10-27#,64.21,64.81,63.88,64.69,1304435
#2017-10-30#,64.63,64.66,63.99,64.08,1852698
#2017-10-31#,64.2,64.63,63.78,64.58,1906399
#2017-11-01#,64.6,65.05,64.32,65,1727433
#2017-11-02#,65.22,66.25,64.9505,65.94,2383431
#2017-11-03#,65.59,66.83,65.44,66.27,2415032
#2017-11-06#,66.38,66.75,66.255,66.54,1491512
#2017-11-07#,66.68,67.1,66.23,66.53,2267679
#2017-11-08#,66.49,67.05,66.4,66.72,1714235
#2017-11-09#,66.25,66.86,65.91,66.48,1599615
#2017-11-10#,66.03,66.89,66,66.22,1587602
#2017-11-13#,66.28,67.22,66.05,67.07,1613674
#2017-11-14#,67.02,67.25,66.6876,67.19,1869822
#2017-11-15#,66.93,67.08,65.51,65.59,2068159
#2017-11-16#,65.69,67.19,65.5,67.05,2509390
#2017-11-17#,66.52,66.84,66.19,66.3,1304300
#2017-11-20#,66.48,66.86,66.19,66.44,1401994
#2017-11-21#,66.7,67.53,66.67,67.4,1437172
#2017-11-22#,67.29,67.4,66.83,66.89,1269644
#2017-11-23#,67.29,67.4,66.83,66.89,1269644
#2017-11-24#,67.04,67.34,67.02,67.06,451327
#2017-11-27#,67.24,67.25,66.72,66.87,1211690
#2017-11-28#,66.9,66.95,66.28,66.69,1812780
#2017-11-29#,66.66,66.7427,65.6,66.13,1872591
#2017-11-30#,66.46,66.55,65.83,66.23,3133544
#2017-12-01#,66.4,67.05,65.13,66.19,1679571
#2017-12-04#,66.86,66.98,65.93,65.94,2027769
#2017-12-05#,65.85,65.86,64.3,64.44,2242447
#2017-12-06#,64.37,64.73,64.05,64.72,1415520
#2017-12-07#,64.71,65.84,64.61,65.82,1808148
#2017-12-08#,66,66.4,65.91,66.16,1518806
#2017-12-11#,66.05,66.3,65.47,65.73,1282147
#2017-12-12#,65.9,66.39,65.41,66.17,1761270
#2017-12-13#,66.19,66.58,65.685,65.76,2232994
#2017-12-14#,65.9,66.27,65.5,65.91,2029904
#2017-12-15#,66.62,66.87,65.25,65.98,4537900
#2017-12-18#,65.97,66.67,65.67,65.86,2353021
#2017-12-19#,65.78,65.99,63.3,63.38,3145655
#2017-12-20#,63.61,64.1598,63,63.05,2446106
#2017-12-21#,63.24,63.63,62.99,63.01,1823813
#2017-12-22#,63.22,63.9444,63.02,63.83,1670903
#2017-12-25#,63.22,63.9444,63.02,63.83,1670903
#2017-12-26#,63.94,63.98,63.48,63.82,905304
#2017-12-27#,64.09,64.4,63.79,64.28,1227210
#2017-12-28#,64.25,64.795,64.05,64.76,1269675
#2017-12-29#,64.89,64.94,64.4,64.51,1541486
#2018-01-01#,64.89,64.94,64.4,64.51,1541486
