"Date","Open","High","Low","Close","Volume"
#2011-03-04#,45.98,46.035,45.1,45.52,27733362
#2011-03-07#,45.62,45.65,44.76,45.19,28122077
#2011-03-08#,45.38,46.69,45.3,46.4,32949342
#2011-03-09#,46.33,47.1,46.02,46.56,25179569
#2011-03-10#,46.08,46.25,45.26,45.53,33815387
#2011-03-11#,45.28,45.84,45.25,45.74,20347910
#2011-03-14#,45.42,45.54,44.63,45.3,24513339
#2011-03-15#,44.55,44.99,43.85,44.61,35632163
#2011-03-16#,44.64,44.78,43.66,43.81,41999205
#2011-03-17#,44.46,44.61,43.4,44.56,46752306
#2011-03-18#,45.245,46.18,44.75,45.74,77445705
#2011-03-21#,46.28,46.32,45.32,45.63,28998804
#2011-03-22#,45.66,45.71,45.35,45.47,19773155
#2011-03-23#,45.29,45.69,44.77,45.6,26695103
#2011-03-24#,45.7,45.84,45.09,45.73,21763428
#2011-03-25#,45.7,46.38,45.67,45.86,20728953
#2011-03-28#,46.1,46.5,45.95,45.96,19047618
#2011-03-29#,45.83,46.035,45.515,46.02,17916404
#2011-03-30#,46.53,46.85,46.215,46.45,26850725
#2011-03-31#,46.05,46.34,45.955,46.1,23491762
#2011-04-01#,46.55,46.88,46.18,46.35,25395781
#2011-04-04#,46.12,46.52,46.05,46.34,15710209
#2011-04-05#,46.17,46.77,46.05,46.58,21199013
#2011-04-06#,46.81,47.73,46.63,47.64,31212869
#2011-04-07#,47.64,47.8,46.96,47.4,29988334
#2011-04-08#,47.52,47.66,46.63,46.84,23827177
#2011-04-11#,47,47.27,46.75,46.86,25643410
#2011-04-12#,46.55,47.11,46.25,46.64,27275621
#2011-04-13#,47.24,47.37,45.88,46.25,55395689
#2011-04-14#,45.68,45.75,44.91,44.97,45218921
#2011-04-15#,45.24,45.37,44.83,44.89,32483879
#2011-04-18#,44.27,44.35,43.53,43.96,50974276
#2011-04-19#,44.26,44.71,43.76,44.6501,26720104
#2011-04-20#,44.9,44.97,43.94,44.56,35566808
#2011-04-21#,44.68,44.84,44.12,44.68,24386589
#2011-04-22#,44.68,44.84,44.12,44.68,24386589
#2011-04-25#,44.65,45.02,44.38,44.61,17360519
#2011-04-26#,44.85,45.43,44.61,45.12,25893126
#2011-04-27#,45.3,45.63,45.05,45.5,20852690
#2011-04-28#,45.61,45.93,45.41,45.85,19862755
#2011-04-29#,45.81,46.02,45.4,45.63,23363095
#2011-05-02#,45.94,45.99,45.11,45.18,25913966
#2011-05-03#,44.95,46.07,44.86,45.92,30039119
#2011-05-04#,45.98,46.04,45.28,45.5,22739271
#2011-05-05#,45.24,45.71,44.99,45.17,26165514
#2011-05-06#,45.47,45.71,44.76,45.04,26356067
#2011-05-09#,44.75,45.11,44.32,44.96,22475423
#2011-05-10#,45.06,45.5,44.98,45.16,20541125
#2011-05-11#,45.015,45.035,44.11,44.23,31528851
#2011-05-12#,44.1,44.33,43.55,44.09,29589929
#2011-05-13#,44.06,44.1001,42.98,43.15,32878376
#2011-05-16#,42.97,43.48,42.72,42.88,34907303
#2011-05-17#,42.68,44.02,42.65,43.81,36333561
#2011-05-18#,43.72,44.24,43.41,44.08,24382933
#2011-05-19#,44.32,44.35,43.75,44,19539524
#2011-05-20#,43.83,44.09,43.09,43.13,29951525
#2011-05-23#,42.4,42.9,42.3,42.55,32316785
#2011-05-24#,42.77,42.92,41.69,42.34,39341319
#2011-05-25#,42.11,42.75,42.1,42.27,26510052
#2011-05-26#,42.12,42.59,42.1,42.45,21660730
#2011-05-27#,42.7,43.15,42.54,42.79,24748707
#2011-05-30#,42.7,43.15,42.54,42.79,24748707
#2011-05-31#,43.24,43.38,42.77,43.24,28746221
#2011-06-01#,42.87,42.99,41.73,41.76,38634790
#2011-06-02#,41.93,42.2,40.83,41.61,45969424
#2011-06-03#,41.09,42.25,41.015,41.57,31837491
#2011-06-06#,41.1,41.24,40.37,40.53,40895852
#2011-06-07#,40.92,41.31,40.65,40.72,36342388
#2011-06-08#,40.58,41.07,40.2,40.39,38895183
#2011-06-09#,40.59,41.24,40.54,40.98,30084305
#2011-06-10#,40.59,41.5,40.1,41.05,48547057
#2011-06-13#,41.29,41.82,40.72,41.67,31768310
#2011-06-14#,42.13,42.44,41.48,41.605,32110148
#2011-06-15#,41.02,41.4,40.25,40.68,37337308
#2011-06-16#,40.63,40.71,39.7,40.36,50321135
#2011-06-17#,40.85,41.06,40.54,40.8,32023979
#2011-06-20#,40.5,40.81,40.12,40.48,21568823
#2011-06-21#,40.68,41.23,40.25,40.91,34244084
#2011-06-22#,40.67,41.53,40.48,40.69,27317060
#2011-06-23#,40.12,40.25,39.62,40.07,48316522
#2011-06-24#,40.05,40.18,39.44,39.49,36143032
#2011-06-27#,39.4,40.11,39.33,39.88,30639635
#2011-06-28#,40.07,40.07,39.24,39.54,41558662
#2011-06-29#,40.04,40.56,39.92,40.45,44783465
#2011-06-30#,40.72,41.07,40.37,40.94,28002025
#2011-07-01#,40.81,41.72,40.77,41.58,32136736
#2011-07-04#,40.81,41.72,40.77,41.58,32136736
#2011-07-05#,41.51,41.51,40.97,41.03,23811209
#2011-07-06#,40.59,40.65,40.18,40.56,23868334
#2011-07-07#,41.19,41.79,41.1,41.32,28554303
#2011-07-08#,40.7,40.97,40.56,40.74,20682965
#2011-07-11#,40.19,40.215,39.29,39.43,38327919
#2011-07-12#,39.24,40.12,39.24,39.39,33808210
#2011-07-13#,39.67,40.37,39.41,39.62,34020567
#2011-07-14#,41.18,41.24,40.29,40.35,65336261
#2011-07-15#,40.61,40.75,39.5,39.98,46553295
#2011-07-18#,39.79,40,38.93,39.83,47604249
#2011-07-19#,39.92,40.49,39.71,40.39,34844494
#2011-07-20#,40.69,41.355,40.62,40.96,31250813
#2011-07-21#,41.57,42.55,41.23,42.29,45554055
#2011-07-22#,42.27,42.32,41.76,42.19,19986046
#2011-07-25#,41.52,41.91,41.29,41.69,22531003
#2011-07-26#,41.5,41.79,41.29,41.44,24354927
#2011-07-27#,41.2,41.4,40.59,40.67,32364601
#2011-07-28#,40.69,41.24,40.62,40.68,23370785
#2011-07-29#,40.24,40.75,39.9,40.45,37795986
#2011-08-01#,41.16,41.37,39.96,40.44,34042409
#2011-08-02#,40.1,40.38,39.84,39.84,42118933
#2011-08-03#,39.76,40.02,39.345,39.9,41110031
#2011-08-04#,39.31,39.59,37.82,37.92,59938092
#2011-08-05#,38.3,38.75,36.72,37.6,85512270
#2011-08-08#,36.23,37.72,33.69,34.06,107650301
#2011-08-09#,35.38,36.5901,33.69,36.4,78985631
#2011-08-10#,35.52,35.85,33.9846,34.37,83975624
#2011-08-11#,34.63,37.3,34.63,36.69,69583435
#2011-08-12#,37.13,37.85,35.58,35.91,44082499
#2011-08-15#,36.53,37.14,36.39,36.88,34830097
#2011-08-16#,36.27,36.57,35.77,36.03,42272563
#2011-08-17#,36.46,37.26,36.32,36.57,30131313
#2011-08-18#,35.27,35.47,34.5,35.19,57139173
#2011-08-19#,34.76,35.5,34.26,34.35,52962310
#2011-08-22#,35.12,35.18,33.35,33.41,50971319
#2011-08-23#,33.29,34.8,32.31,34.78,55809435
#2011-08-24#,34.82,36.01,34.68,35.83,41963837
#2011-08-25#,37.79,38.57,35.42,35.72,55387550
#2011-08-26#,35.28,36.48,34.82,36.21,35115667
#2011-08-29#,36.82,37.64,36.47,37.64,27945757
#2011-08-30#,37.4,37.72,36.75,37.06,28826266
#2011-08-31#,37.42,38.03,37.215,37.56,30051400
#2011-09-01#,37.62,37.82,36.29,36.3,36865259
#2011-09-02#,35.06,35.25,34.51,34.63,41677229
#2011-09-05#,35.06,35.25,34.51,34.63,41677229
#2011-09-06#,33.11,33.5,32.78,33.44,57081174
#2011-09-07#,34.1,34.98,33.87,34.82,36145887
#2011-09-08#,34.44,34.91,33.44,33.51,44815207
#2011-09-09#,33.08,33.2,31.93,32.08,67195566
#2011-09-12#,31.35,32.42,31.21,32.42,53381750
#2011-09-13#,32.81,33.41,32.17,32.49,50142208
#2011-09-14#,32.73,33.19,31.86,32.8,44446740
#2011-09-15#,33.37,33.82,33.13,33.81,35848788
#2011-09-16#,34.05,34.27,33.02,33.43,52687591
#2011-09-19#,32.69,32.89,32.13,32.49,33160246
#2011-09-20#,32.77,32.8,32.24,32.25,34089368
#2011-09-21#,32.23,32.45,30.26,30.34,57429559
#2011-09-22#,29.35,29.63,28.53,29.27,86290439
#2011-09-23#,28.96,29.8,28.861,29.59,51731259
#2011-09-26#,30.06,31.81,29.96,31.65,58696019
#2011-09-27#,32.62,33.13,31.25,31.57,58242837
#2011-09-28#,31.62,32,30.42,30.47,38725834
#2011-09-29#,31.58,32.11,30.44,31.39,51015757
#2011-09-30#,30.74,30.95,30.11,30.12,42436947
#2011-10-03#,30.03,30.7,28.64,28.65,51002691
#2011-10-04#,28.25,30.43,27.85,30.26,69815353
#2011-10-05#,30.23,31.17,29.4,30.84,51117106
#2011-10-06#,30.71,32.46,30.42,32.38,53216608
#2011-10-07#,32.58,32.61,30.65,30.7,49326167
#2011-10-10#,31.6,32.32,31.58,32.3,37324743
#2011-10-11#,31.98,32.68,31.41,32.3,38169186
#2011-10-12#,32.76,33.87,32.69,33.2,55462460
#2011-10-13#,32.45,32.49,30.92,31.6,78838174
#2011-10-14#,31.87,32.32,31.4,31.89,51905068
#2011-10-17#,31.64,32.09,30.97,31.04,40869712
#2011-10-18#,31.36,33.42,31.14,32.87,64392307
#2011-10-19#,32.77,34.01,32.03,32.25,50121949
#2011-10-20#,32.32,33.19,31.67,33.13,41662534
#2011-10-21#,33.48,34.04,33.01,33.42,48445287
#2011-10-24#,33.61,34.69,33.57,34.57,45697155
#2011-10-25#,34.18,34.2499,33.36,33.49,38683534
#2011-10-26#,34.11,34.41,33.5,34.18,36360840
#2011-10-27#,36.56,37.54,35.7,37.02,76482945
#2011-10-28#,36.61,36.98,36.19,36.69,39893754
#2011-10-31#,35.93,36,34.73,34.76,46438679
#2011-11-01#,32.47,33.64,31.84,32.71,74056271
#2011-11-02#,33.71,33.74,33.06,33.64,34342387
#2011-11-03#,34.12,34.52,32.84,34.38,38279386
#2011-11-04#,33.99,34.06,33.45,33.97,30867231
#2011-11-07#,34.03,34.34,33.71,34.24,25935525
#2011-11-08#,34.53,35.18,34.02,35.02,30194985
#2011-11-09#,33.84,33.985,32.38,32.54,53000040
#2011-11-10#,32.92,33.23,32.28,32.74,30431632
#2011-11-11#,33.28,33.85,33.02,33.28,29989577
#2011-11-14#,32.95,32.98,32.22,32.55,27596216
#2011-11-15#,32.09,33.11,32.08,32.7,31265984
#2011-11-16#,32.34,32.488,31.4,31.47,40761704
#2011-11-17#,31.4,31.5,30.34,30.49,55130024
#2011-11-18#,30.67,30.845,30.33,30.62,39033896
#2011-11-21#,30.02,30.19,29.6,29.91,39666395
#2011-11-22#,29.9,30.1,29.38,29.41,36466171
#2011-11-23#,29.11,29.15,28.33,28.38,44474351
#2011-11-24#,29.11,29.15,28.33,28.38,44474351
#2011-11-25#,28.28,29.17,28.28,28.48,21423184
#2011-11-28#,29.71,30.07,28.82,29.16,45285387
#2011-11-29#,28.98,29.13,28.48,28.56,45104651
#2011-11-30#,30.15,31,29.8,30.97,61412527
#2011-12-01#,30.86,30.97,30.03,30.46,33189688
#2011-12-02#,30.88,33.27,30.81,32.33,90519608
#2011-12-05#,33.64,34.1,33.22,33.51,52216056
#2011-12-06#,33.26,33.58,32.68,33.23,38788222
#2011-12-07#,32.82,34.19,32.72,34,44722793
#2011-12-08#,33.55,33.7,32.08,32.22,47788873
#2011-12-09#,32.36,33.31,32.36,33.18,39106916
#2011-12-12#,32.55,32.6,31.76,32.04,35986439
#2011-12-13#,32.37,32.63,30.87,31.29,49484808
#2011-12-14#,30.88,31.94,30.83,31.51,41295653
#2011-12-15#,32.1,32.28,31.57,31.76,33457250
#2011-12-16#,32.16,32.6,31.8091,31.89,52598292
#2011-12-19#,31.87,31.9,30.42,30.7,47388002
#2011-12-20#,31.4,32.44,31.24,32.21,49092903
#2011-12-21#,32,32.41,31.9,32.32,30898992
#2011-12-22#,32.69,33.55,32.5401,33.45,35544903
#2011-12-23#,33.62,33.7,33.13,33.57,21962667
#2011-12-26#,33.62,33.7,33.13,33.57,21962667
#2011-12-27#,33.22,33.69,33.03,33.03,16897090
#2011-12-28#,32.99,33.09,32.5738,32.65,19248511
#2011-12-29#,32.71,33.52,32.71,33.42,19793016
#2011-12-30#,33.11,33.42,33.06,33.25,18199609
