"Date","Open","High","Low","Close","Volume"
#2013-03-12#,72.09,72.35,71.832,71.92,1140728
#2013-03-13#,72.2,73.4,71.67,73.35,1266905
#2013-03-14#,73.85,74.515,73.57,74.46,1778176
#2013-03-15#,73.86,74.635,73.58,74.33,2562586
#2013-03-18#,73.36,74.71,73.27,74.17,1941896
#2013-03-19#,74.44,74.75,73.675,73.97,2203097
#2013-03-20#,74.36,75.14,74.35,74.88,1058004
#2013-03-21#,74.5,75,73.6,73.64,1529916
#2013-03-22#,73.87,74.1,73.5,73.65,1142500
#2013-03-25#,74.08,74.38,72.98,73.47,1160129
#2013-03-26#,73.71,74.23,73.34,73.69,1847308
#2013-03-27#,72.75,73.19,72.64,73.05,2141109
#2013-03-28#,72.97,73.82,72.852,73.65,1577599
#2013-03-29#,72.97,73.82,72.852,73.65,1577599
#2013-04-01#,73.52,74,72.7,72.87,1205762
#2013-04-02#,73.14,73.53,72.85,73.43,1789205
#2013-04-03#,73.64,73.65,71.55,71.81,1311081
#2013-04-04#,71.96,72.47,71.7,72,1092314
#2013-04-05#,70.67,71.57,70.27,71.48,1077393
#2013-04-08#,71.29,72.35,71.16,72.33,883771
#2013-04-09#,72.43,73.2,72.11,72.81,790490
#2013-04-10#,72.79,74.57,72.79,74.47,1014110
#2013-04-11#,74.6,75.5,74.49,75.28,1175934
#2013-04-12#,74.78,75.09,74.23,74.73,754034
#2013-04-15#,74.47,74.53,71.88,71.93,1386836
#2013-04-16#,72.89,73.21,72.1,73.14,1268349
#2013-04-17#,72.4,72.456,70.825,71.3,1659281
#2013-04-18#,71.47,71.48,69.345,69.6,2156900
#2013-04-19#,70.1,72.21,69.84,72.18,1977857
#2013-04-22#,71.98,72.56,70.85,72.38,1240193
#2013-04-23#,73,74.57,72.83,73.64,1779596
#2013-04-24#,73.79,73.98,72.57,72.65,1712607
#2013-04-25#,73.17,74.27,72.83,73.98,1117283
#2013-04-26#,73.74,74.15,73.27,73.48,953009
#2013-04-29#,73.66,74.365,73.31,74.18,1025267
#2013-04-30#,74.22,74.9,73.64,74.53,1306848
#2013-05-01#,74.35,74.354,72.91,72.96,1618700
#2013-05-02#,72.89,73.72,72.3,73.56,1624289
#2013-05-03#,74.57,75.96,74.33,75.8,1790824
#2013-05-06#,75.74,76.77,75.66,76.64,1148210
#2013-05-07#,77.06,77.59,76.51,77.35,1050153
#2013-05-08#,77.2,77.24,76.6,76.99,1604595
#2013-05-09#,76.91,77.32,76.39,76.54,1166023
#2013-05-10#,76.62,78.25,76.5,78.2,1126035
#2013-05-13#,78.1,79.25,77.65,79.05,1430667
#2013-05-14#,79.05,80.945,78.91,80.86,1549393
#2013-05-15#,80.43,81.55,80.15,81.54,1170948
#2013-05-16#,81.16,81.78,80.35,80.46,1179874
#2013-05-17#,81.03,81.93,80.9,81.69,1146856
#2013-05-20#,81.49,82.03,81.43,81.71,1041511
#2013-05-21#,81.77,82.03,81.17,81.53,1466210
#2013-05-22#,81.77,82.97,80.44,80.81,1483883
#2013-05-23#,79.55,81.09,79.14,80.39,1164075
#2013-05-24#,79.69,80.3,79.34,80.2,793382
#2013-05-27#,79.69,80.3,79.34,80.2,793382
#2013-05-28#,81.66,82.93,81.54,82.52,1083842
#2013-05-29#,81.75,82.68,81.51,82.12,1110637
#2013-05-30#,82.15,84.29,81.9,83.94,1300007
#2013-05-31#,83.21,83.74,81.52,81.52,1554198
#2013-06-03#,81.91,82.25,80.29,81.03,2473640
#2013-06-04#,81.2,82.81,81.11,82.18,1936539
#2013-06-05#,81.81,81.92,79.64,79.73,1634753
#2013-06-06#,79.73,81.02,79.33,81.02,1114405
#2013-06-07#,81.74,83.18,81.15,83.07,1411005
#2013-06-10#,83.48,83.67,82.48,83.14,1138086
#2013-06-11#,82.08,83.7,81.62,82.52,1268085
#2013-06-12#,83.25,83.53,81.025,81.11,934198
#2013-06-13#,81.09,83.21,80.85,82.99,782714
#2013-06-14#,82.84,83.11,81.5,81.86,1500913
#2013-06-17#,82.66,83.47,82.28,82.64,1309549
#2013-06-18#,82.96,83.8,82.852,83.39,821442
#2013-06-19#,83.24,83.75,81.52,81.53,1659590
#2013-06-20#,80.62,81.26,78.73,79.06,2207760
#2013-06-21#,80.08,80.31,78.26,79.16,2451314
#2013-06-24#,78.25,78.4,76.77,77.45,1641949
#2013-06-25#,78.37,79.73,77.9,79.26,1137738
#2013-06-26#,80.18,80.89,79.92,80.33,1307952
#2013-06-27#,80.99,81.745,80.68,81.69,1079178
#2013-06-28#,81.4,81.42,80.43,80.88,1807503
#2013-07-01#,81.6,82.42,81.37,81.44,1051018
#2013-07-02#,81.37,82.41,81.19,81.82,1029113
#2013-07-03#,81,81.33,80.49,81.12,658376
#2013-07-04#,81,81.33,80.49,81.12,658376
#2013-07-05#,82.03,83.12,81.57,83.1,533915
#2013-07-08#,83.87,84.38,83.4,83.58,755112
#2013-07-09#,84.54,84.995,83.54,84.92,889834
#2013-07-10#,84.66,85.17,83.95,84.56,1105419
#2013-07-11#,86.17,86.58,85.63,86.46,1121184
#2013-07-12#,86.53,86.78,86.01,86.6,1219501
#2013-07-15#,86.92,87,86.31,86.33,948618
#2013-07-16#,86.33,86.7,85.24,85.4,984275
#2013-07-17#,85.58,86.7,85.26,85.79,1031330
#2013-07-18#,86.23,87.06,85.76,86.84,1289429
#2013-07-19#,86.42,86.81,85.832,86.31,987161
#2013-07-22#,86.33,87.47,86.24,87.36,671175
#2013-07-23#,87.6,87.71,86.62,86.67,1104599
#2013-07-24#,87.09,87.3,85.92,86.24,1571466
#2013-07-25#,86.91,88.26,86.42,87.6,2171877
#2013-07-26#,86.79,88.19,86.79,88.18,1330075
#2013-07-29#,87.76,88.025,87.19,87.61,1112893
#2013-07-30#,88.2,89.11,87.76,88.97,1463956
#2013-07-31#,88.89,89.79,88.66,89,1701108
#2013-08-01#,89.95,91.14,89.64,90.98,1319566
#2013-08-02#,90.67,91.22,90.42,91.21,834260
#2013-08-05#,90.69,91.2,90.23,91.15,760250
#2013-08-06#,90.77,91.04,89.68,89.86,1140308
#2013-08-07#,89.6,89.84,88.59,89.54,965730
#2013-08-08#,90.48,90.77,89.03,89.92,789030
#2013-08-09#,89.76,90.52,89.5,90.08,725270
#2013-08-12#,89.69,90.1,88.96,89.31,1236424
#2013-08-13#,89.73,90.76,89.2,90.27,606415
#2013-08-14#,90.16,90.68,89.67,89.7,735944
#2013-08-15#,88.98,89.01,87.499,87.8,854599
#2013-08-16#,87.7,88.735,87.51,88.23,1079213
#2013-08-19#,88.23,88.6,87.18,87.2,889073
#2013-08-20#,87.34,88.37,86.99,88.03,825660
#2013-08-21#,87.75,88.52,86.98,87.45,775382
#2013-08-22#,87.88,89.25,87.53,89.03,643451
#2013-08-23#,89.05,89.26,88.04,89.03,531000
#2013-08-26#,89.02,89.5,88.3,88.3,653738
#2013-08-27#,86.95,87.37,85.43,85.43,945430
#2013-08-28#,85.44,86.79,85.24,86.14,828051
#2013-08-29#,85.65,87.92,85.65,87.11,825739
#2013-08-30#,87.14,87.26,85.61,86.15,976039
#2013-09-02#,87.14,87.26,85.61,86.15,976039
#2013-09-03#,87.59,88.32,86.08,87.08,1001239
#2013-09-04#,86.38,87.95,85.93,87.49,1257013
#2013-09-05#,87.44,88.65,87.26,87.79,1101728
#2013-09-06#,87.85,88.24,86.15,87.59,752943
#2013-09-09#,87.85,89.01,87.84,88.9,749441
#2013-09-10#,89.77,91.12,89.73,90.72,964452
#2013-09-11#,90.59,91,90.05,90.96,752781
#2013-09-12#,90.88,91.12,90.13,90.39,611947
#2013-09-13#,90.77,90.85,89.93,90.8,705705
#2013-09-16#,92.09,92.64,91.69,92.56,1159280
#2013-09-17#,92.56,93.75,92.49,93.33,1612228
#2013-09-18#,93.29,94.31,92.74,93.96,1349022
#2013-09-19#,94.31,94.45,93.23,93.42,1097571
#2013-09-20#,93.44,94.04,91.925,92.22,2061732
#2013-09-23#,91.4,92.06,90.73,91.35,1006536
#2013-09-24#,91.41,91.89,90.9,91,1140684
#2013-09-25#,91.18,91.94,90.84,91.16,770060
#2013-09-26#,91.22,92.17,91,91.59,607542
#2013-09-27#,90.74,91.58,90.46,91.43,601250
#2013-09-30#,90.36,91.51,90.12,91.08,961929
#2013-10-01#,91.2,92.2,91.02,92.18,747441
#2013-10-02#,91.17,92.16,90.72,92.16,816826
#2013-10-03#,91.66,92.12,90.05,91.56,1028286
#2013-10-04#,91.44,92.92,90.55,92.89,813928
#2013-10-07#,91.78,92.685,91.47,91.89,978136
#2013-10-08#,92.02,92.35,89.82,89.85,1242310
#2013-10-09#,90.24,90.98,89.37,90.47,765680
#2013-10-10#,92.37,93.4,92.13,93.35,994731
#2013-10-11#,93.14,94.73,93.14,94.3,1139027
#2013-10-14#,93.48,94.68,92.89,94.54,880997
#2013-10-15#,94.29,94.81,93.47,93.67,1035739
#2013-10-16#,94.56,96.57,94.41,96.47,1120792
#2013-10-17#,96.33,98.22,95.73,98.13,1642899
#2013-10-18#,98.63,99.84,98.09,99.75,1075210
#2013-10-21#,99.81,99.92,98.8,99.08,1241871
#2013-10-22#,99.55,100.19,99.07,99.76,1026414
#2013-10-23#,99.32,99.5,98.2,98.74,1024967
#2013-10-24#,99.18,99.77,98.61,99.53,897748
#2013-10-25#,99.87,100.17,99.28,99.56,1004296
#2013-10-28#,99.65,99.76,98.71,98.91,1005785
#2013-10-29#,99.07,99.74,98.94,99.39,1243162
#2013-10-30#,98.87,102.26,98.87,100.79,1493670
#2013-10-31#,100.7,101.88,100.31,100.54,1253686
#2013-11-01#,100.67,101.29,100.27,101.06,1088560
#2013-11-04#,101,101.6,100.75,101.24,1237245
#2013-11-05#,101.03,101.77,100.57,101.27,891472
#2013-11-06#,101.82,102.73,101.77,102.21,1464684
#2013-11-07#,102.22,102.86,100.22,100.43,1497208
#2013-11-08#,100.41,103.22,100.26,103.12,1724009
#2013-11-11#,103.31,104.21,102.85,103.84,884638
#2013-11-12#,103.19,103.83,102.36,102.87,1124076
#2013-11-13#,102.16,104.21,102.09,104.16,1186675
#2013-11-14#,104.21,105.31,103.96,105.22,736076
#2013-11-15#,105.3,105.79,104.93,105.47,1083121
#2013-11-18#,105.92,106.18,104.93,105.25,826734
#2013-11-19#,105.25,106.04,105.07,105.2,1073335
#2013-11-20#,105.25,106.29,104.81,105.47,850451
#2013-11-21#,105.66,107.01,105.66,106.79,1248025
#2013-11-22#,106.79,107.69,106.5,107.58,1242815
#2013-11-25#,107.96,108.12,107.34,107.5,822381
#2013-11-26#,107.6,109.06,107.53,108.3,1398601
#2013-11-27#,108.5,108.97,108.06,108.53,646121
#2013-11-28#,108.5,108.97,108.06,108.53,646121
#2013-11-29#,108.8,109.12,108.23,108.25,330476
#2013-12-02#,108.31,109.56,108.09,108.23,941202
#2013-12-03#,107.46,107.97,106.52,106.9,1123678
#2013-12-04#,106.51,107.81,105.73,107.01,863083
#2013-12-05#,106.44,106.72,105.68,106.23,805677
#2013-12-06#,107.73,109.22,107.69,108.99,875594
#2013-12-09#,109.03,109.87,108.65,108.99,1281612
#2013-12-10#,108.52,108.52,107.41,108.18,1323529
#2013-12-11#,108.24,108.62,106.19,106.4,1169699
#2013-12-12#,106.25,107.29,106.11,106.52,1069026
#2013-12-13#,106.86,107.53,106.09,106.68,1121709
#2013-12-16#,107.51,109.19,107.38,109,1150754
#2013-12-17#,108.85,109.23,108.5,108.58,1195838
#2013-12-18#,109.12,111.85,107.81,111.82,1250668
#2013-12-19#,111.43,111.5,110.65,110.84,1269110
#2013-12-20#,111.25,112.67,111,111.81,1796277
#2013-12-23#,112.76,113.43,112.34,113.07,870292
#2013-12-24#,112.43,113.07,112.202,112.88,378730
#2013-12-25#,112.43,113.07,112.202,112.88,378730
#2013-12-26#,113.15,114.15,112.79,113.81,412405
#2013-12-27#,113.91,114.268,113.44,113.94,465014
#2013-12-30#,113.86,114.329,113.385,113.59,492643
#2013-12-31#,113.74,115.36,113.74,115.05,686516
#2014-01-01#,113.74,115.36,113.74,115.05,686516
