"Date","Open","High","Low","Close","Volume"
#2019-02-21#,70.14,70.93,70.14,70.7,10933548
#2019-02-22#,70.76,71.39,70.75,71.3,11311725
#2019-02-25#,71.9,72.07,70.98,71.05,12071170
#2019-02-26#,71,71.45,70.92,71.14,12302254
#2019-02-27#,70.83,71.13,69.92,70.15,13274806
#2019-02-28#,70.14,70.49,69.78,70.26,18956744
#2019-03-01#,70.63,71.11,70.4515,70.85,8067715
#2019-03-04#,70.99,71.35,70.37,70.95,9219708
#2019-03-05#,71.19,71.89,71.06,71.58,10496075
#2019-03-06#,71.81,72.18,71.16,71.27,7666095
#2019-03-07#,71.2,71.36,70.46,70.61,7814691
#2019-03-08#,70.15,70.27,69.03,69.36,12363892
#2019-03-11#,69.38,70.005,69.14,69.68,11518329
#2019-03-12#,69.74,70.58,69.69,70.05,12751689
#2019-03-13#,70.09,70.9,69.98,70.1,13798644
#2019-03-14#,70.19,70.885,70.19,70.74,9249246
#2019-03-15#,70.8,71.21,70.54,70.67,13096889
#2019-03-18#,70.78,71.12,70.4438,70.84,5682429
#2019-03-19#,70.95,71.7,70.87,71.38,7810698
#2019-03-20#,71.8,72.4,71.34,71.63,9512399
#2019-03-21#,71.32,72.435,71.32,72.26,8044430
#2019-03-22#,72.05,72.41,71.69,71.96,8022788
#2019-03-25#,72,72.4755,71.73,72.3,6453840
#2019-03-26#,72.72,73.19,72.33,72.96,7624044
#2019-03-27#,72.94,73.26,72.62,72.74,7662712
#2019-03-28#,72.97,73.98,72.89,73.96,6709554
#2019-03-29#,74.01,74.4801,73.53,74.34,9099492
#2019-04-01#,74.76,74.93,73.73,73.96,8108429
#2019-04-02#,74.01,74.45,73.84,74.27,5520938
#2019-04-03#,74.56,74.78,73.87,74.33,6755601
#2019-04-04#,74.5,74.67,73.98,74.35,5449896
#2019-04-05#,74.35,75.08,74.35,75.03,5346334
#2019-04-08#,74.47,75.3,74.47,75.2,5140455
#2019-04-09#,74.87,75.23,74.8,75.12,4905834
#2019-04-10#,75.21,75.815,75.21,75.48,6066274
#2019-04-11#,75.75,76.07,75.65,75.87,6042641
#2019-04-12#,76.1,76.95,76.07,76.65,5194754
#2019-04-15#,76.67,76.7,76.08,76.16,7632303
#2019-04-16#,76.48,76.56,75.365,75.7,8336948
#2019-04-17#,75.61,75.96,74.8,75.12,9439007
#2019-04-18#,75.48,76.26,75.21,76.06,6607755
#2019-04-19#,75.48,76.26,75.21,76.06,6607755
#2019-04-22#,75.71,76.06,75.21,75.4,4883100
#2019-04-23#,75.48,76.06,75.41,75.99,5274059
#2019-04-24#,76.05,76.88,75.91,76.39,9347260
#2019-04-25#,76.11,77.23,75.95,77.11,11084455
#2019-04-26#,76.95,77.52,75.06,77.45,12550458
#2019-04-29#,77.3,77.67,76.59,76.91,5426762
#2019-04-30#,77,77.79,76.69,77.68,7384433
#2019-05-01#,77.67,78.15,77.37,77.52,6678194
#2019-05-02#,77.66,77.76,76.75,77.47,6247550
#2019-05-03#,77.59,78.4,77.34,78.05,4967928
#2019-05-06#,77.2,78.08,77.02,78.06,5607843
#2019-05-07#,77.57,78.74,77.42,77.96,8115808
#2019-05-08#,77.58,78.64,77.12,78.05,7799892
#2019-05-09#,77.58,78.23,77.345,77.9,7326756
#2019-05-10#,77.63,78.8,77.16,78.42,6448552
#2019-05-13#,77.25,77.78,76.08,76.68,9778829
#2019-05-14#,76.75,77.74,76.68,77.06,6871125
#2019-05-15#,76.69,77.94,76.525,77.76,5415741
#2019-05-16#,77.66,79.24,77.57,78.9,6941762
#2019-05-17#,78.52,79.6501,78.37,78.91,7380077
#2019-05-20#,78.3,78.42,76.57,76.66,11474974
#2019-05-21#,77.05,77.85,76.75,77.53,5808516
#2019-05-22#,77.2,77.715,76.91,77.25,5602516
#2019-05-23#,76.88,76.94,75.69,76.41,9213376
#2019-05-24#,76.83,77.06,75.97,76.15,5627633
#2019-05-27#,76.83,77.06,75.97,76.15,5627633
#2019-05-28#,76.36,76.68,75.32,75.7,16205155
#2019-05-29#,75.33,75.49,74.33,75.28,10511592
#2019-05-30#,75.65,76.43,75.63,76.17,7178431
#2019-05-31#,75.6,76.32,75.38,76.06,7625694
#2019-06-03#,76.12,76.53,75.65,76.22,8122316
#2019-06-04#,76.77,78.755,76.66,78.52,11685007
#2019-06-05#,78.79,79.97,78.66,79.96,7437117
#2019-06-06#,80.03,81.63,79.9,81.4,10457247
#2019-06-07#,81.6,83.33,81.51,82.48,11278802
#2019-06-10#,82.85,82.86,81.38,81.93,8102783
#2019-06-11#,82.3,82.86,81.85,82.37,6226559
#2019-06-12#,82.59,83.67,82.32,82.93,6089028
#2019-06-13#,83.33,84.05,83.02,83.35,7156842
#2019-06-14#,83.54,84.61,83.39,84.24,9226463
#2019-06-17#,84.65,84.69,82.8949,83.02,9313807
#2019-06-18#,83.55,84.11,82.885,82.92,10582586
#2019-06-19#,83.08,83.92,82.08,83.81,5401369
#2019-06-20#,84.41,84.8292,83.83,84.69,5216143
#2019-06-21#,84.43,84.7701,83.81,83.82,12610163
#2019-06-24#,84.08,84.56,83.61,83.65,6692691
#2019-06-25#,84.2,85.2,83.96,84.25,7312327
#2019-06-26#,84.3,84.3,83.18,83.38,7576443
#2019-06-27#,83.55,83.89,83.21,83.56,6084200
#2019-06-28#,83.56,83.96,83.32,83.83,6735620
#2019-07-01#,84.62,84.96,84.03,84.55,7940539
#2019-07-02#,84.74,85.59,84.52,85.51,6206087
#2019-07-03#,86.04,87.82,85.98,87.79,7818552
#2019-07-04#,86.04,87.82,85.98,87.79,7818552
#2019-07-05#,87.5,87.8855,86.88,87.79,5733239
#2019-07-08#,87.6,87.95,87.18,87.44,6359676
#2019-07-09#,87.29,87.65,86.89,87.23,5355536
#2019-07-10#,87.42,88.54,87.42,88.38,5293013
#2019-07-11#,88.66,89.29,88.265,89.07,6191375
#2019-07-12#,89.28,89.82,88.85,89.77,5628010
#2019-07-15#,89.87,90.34,89.66,90.16,6061252
#2019-07-16#,90.22,90.48,89.59,90.08,5591855
#2019-07-17#,90.08,90.38,89.7278,90.25,4636215
#2019-07-18#,90.33,91.54,89.95,91.5,6471383
#2019-07-19#,91.41,91.61,90.2342,90.3,10804899
#2019-07-22#,90.52,91.18,90.05,90.92,5636657
#2019-07-23#,91.25,91.36,89.17,90.11,7609248
#2019-07-24#,89.9,90.75,89.68,90.65,5388138
#2019-07-25#,91.49,91.55,90.47,90.98,8106322
#2019-07-26#,96.4,99.72,95.21,99.11,20846459
