"Date","Open","High","Low","Close","Volume"
#2018-03-28#,57.5,58.1,57.22,57.9,9301897
#2018-03-29#,57.26,58.14,56.83,57.89,12015218
#2018-03-30#,57.26,58.14,56.83,57.89,12015218
#2018-04-02#,57.52,57.73,55.38,56.24,16778277
#2018-04-03#,56.55,58.045,56.445,58,10908217
#2018-04-04#,57.25,58.97,57.21,58.83,7893065
#2018-04-05#,59,59.27,58.855,59.14,6305050
#2018-04-06#,58.78,59.135,58.09,58.34,8264473
#2018-04-09#,58.54,59.37,58.42,58.7,8023776
#2018-04-10#,59.11,59.49,58.87,59.41,6671853
#2018-04-11#,59.19,59.71,59,59.42,5508027
#2018-04-12#,59.66,60.12,59.42,59.43,6088247
#2018-04-13#,59,59.55,58.96,59.24,6689776
#2018-04-16#,59.13,59.69,58.84,59.43,6119171
#2018-04-17#,59.75,60,59.4,59.83,6139581
#2018-04-18#,59.73,59.83,59.44,59.5,5914193
#2018-04-19#,59.42,59.49,58.73,59.22,6280126
#2018-04-20#,59.03,59.18,57.795,58,12037567
#2018-04-23#,58.01,58.73,57.69,58.16,8444396
#2018-04-24#,58.48,58.66,57.65,57.81,7793565
#2018-04-25#,58.27,58.27,57.29,57.71,8367357
#2018-04-26#,58.11,60.18,57.85,59.38,14516626
#2018-04-27#,58.07,58.98,57.5,58.36,11975153
#2018-04-30#,58.39,58.51,57.46,57.57,7854596
#2018-05-01#,57.67,58.25,57.44,58.13,7257462
#2018-05-02#,58.06,58.09,56.53,56.7,7299089
#2018-05-03#,56.52,56.57,55.54,56.13,7152390
#2018-05-04#,56.54,57.93,56.49,57.68,9279180
#2018-05-07#,58.99,59.04,57.2748,57.45,10630594
#2018-05-08#,57.45,57.71,57.001,57.67,7234031
#2018-05-09#,57.43,57.62,56.79,57.04,7015334
#2018-05-10#,57.18,57.7,57.02,57.65,6565825
#2018-05-11#,57.72,57.86,57.07,57.27,5843427
#2018-05-14#,57.36,57.51,56.99,57.13,5871783
#2018-05-15#,57,57.1,56.35,56.64,7415770
#2018-05-16#,56.83,57.325,56.79,57.15,4843941
#2018-05-17#,57.2,57.35,56.98,57.2,6110124
#2018-05-18#,57.27,57.39,56.86,57.16,7786028
#2018-05-21#,57.4,57.82,57.2605,57.34,5379291
#2018-05-22#,57.5,57.62,56.91,56.96,5355604
#2018-05-23#,56.8,57.57,56.76,57.49,5339882
#2018-05-24#,57.44,57.74,57.115,57.68,5681592
#2018-05-25#,57.68,58.38,57.58,57.92,6783776
#2018-05-28#,57.68,58.38,57.58,57.92,6783776
#2018-05-29#,57.7,57.88,57.01,57.23,6475865
#2018-05-30#,57.43,57.66,57.15,57.48,5762434
#2018-05-31#,57.18,57.4658,56.55,56.67,9433042
#2018-06-01#,56.84,57.03,56.6068,56.91,4967653
#2018-06-04#,57.1,57.2,56.8,57.07,7484072
#2018-06-05#,56.69,56.7,55.28,55.68,18278843
#2018-06-06#,55.835,57.18,55.62,57.17,13709779
#2018-06-07#,57.29,57.94,57.09,57.14,7919801
#2018-06-08#,56.92,57.06,56.52,56.6,8433528
#2018-06-11#,56.61,56.74,56.27,56.48,7181724
#2018-06-12#,56.6,56.9,56.3,56.48,8249711
#2018-06-13#,56.51,56.7,56.18,56.21,8283213
#2018-06-14#,56.46,57.07,56.31,57.02,11049707
#2018-06-15#,57.04,57.21,56.459,57.11,12408270
#2018-06-18#,56.77,57.32,56.105,57.22,9676910
#2018-06-19#,56.65,57.5,56.34,57.43,9965474
#2018-06-20#,54.83,55.01,51.58,52.22,62091071
#2018-06-21#,52.29,52.63,50.36,50.62,30722957
#2018-06-22#,51,51.72,50.82,51.24,24429564
#2018-06-25#,51.16,51.4366,50.21,50.66,15578586
#2018-06-26#,50.51,50.63,50.11,50.38,12930561
#2018-06-27#,50.52,50.53,49.84,49.84,14576867
#2018-06-28#,49.45,49.48,47.37,48.54,33210109
#2018-06-29#,48.08,49.26,48.08,48.85,17413010
#2018-07-02#,48.64,49.1,48.5468,49.06,9870932
#2018-07-03#,49.15,49.3,48.76,48.77,7517541
#2018-07-04#,49.15,49.3,48.76,48.77,7517541
#2018-07-05#,48.92,49.03,48.4,48.61,9630476
#2018-07-06#,48.9,49.19,48.58,48.98,10711984
#2018-07-09#,49.21,50.05,49.21,49.9,12811694
#2018-07-10#,50.08,50.51,49.9645,50.42,9038021
#2018-07-11#,50.22,50.475,50.02,50.14,9542401
#2018-07-12#,50.36,50.656,50.2,50.25,9339200
#2018-07-13#,50.26,51.65,50.26,51.62,21720110
#2018-07-16#,51.55,51.55,50.69,50.94,16974920
#2018-07-17#,50.66,51.3,50.6,51.28,11421330
#2018-07-18#,51.34,51.6185,51,51.15,13549524
#2018-07-19#,51.11,51.49,51,51.34,11415630
#2018-07-20#,51.06,51.2425,50.75,50.91,11033405
#2018-07-23#,50.76,51.27,50.76,51.19,8406801
#2018-07-24#,51.3,51.7198,51.06,51.17,9921586
#2018-07-25#,51.01,51.72,51.01,51.62,11370019
#2018-07-26#,51.68,51.84,51.34,51.45,11114792
#2018-07-27#,51.4999,52.6,50.2101,52.15,15770270
#2018-07-30#,52.2,52.845,51.76,51.9,14448359
#2018-07-31#,52.03,52.69,51.85,52.39,9228240
#2018-08-01#,52.24,52.24,51.25,51.93,11952400
#2018-08-02#,52.1,52.35,51.43,51.68,13636439
#2018-08-03#,51.7,52.45,51.58,52.23,8246476
#2018-08-06#,52.1,52.27,51.8,52.07,6505777
#2018-08-07#,52.08,52.205,51.8,52.07,5869803
#2018-08-08#,51.83,51.93,51.36,51.55,7258334
#2018-08-09#,51.53,52.02,51.32,51.92,7175435
#2018-08-10#,51.59,51.63,51.195,51.51,10539692
#2018-08-13#,51.62,51.96,51.47,51.81,7911311
#2018-08-14#,51.85,52.74,51.79,52.59,9385434
#2018-08-15#,52.31,52.94,52.3,52.75,9566235
#2018-08-16#,52.98,53.36,52.92,53.04,8721212
#2018-08-17#,52.95,53.61,52.95,53.56,8166981
#2018-08-20#,53.71,54.16,53.7,53.92,9791538
#2018-08-21#,54.17,54.44,53.95,54,7990040
#2018-08-22#,53.55,53.64,52.66,52.82,10369620
#2018-08-23#,52.76,53.19,52.56,52.66,8567574
#2018-08-24#,52.82,52.92,52.42,52.75,9850039
#2018-08-27#,52.99,53.18,52.81,52.97,6443156
#2018-08-28#,53.02,53.47,52.98,53.05,7171873
#2018-08-29#,53.07,53.4399,52.72,53.25,6604919
#2018-08-30#,53.12,53.41,52.97,53.1,5576425
#2018-08-31#,52.46,53.71,52.451,53.45,10892775
#2018-09-03#,52.46,53.71,52.451,53.45,10892775
#2018-09-04#,53.44,53.69,53.2148,53.53,8235166
#2018-09-05#,53.47,53.98,53.29,53.79,7966579
#2018-09-06#,53.66,54.35,53.65,54.21,7803422
#2018-09-07#,54.2,54.96,54.16,54.86,10231692
#2018-09-10#,54.94,55.11,54.57,54.97,8621174
#2018-09-11#,54.83,55.395,54.765,55.12,7873859
#2018-09-12#,55.2,55.2,54.3263,54.97,7297268
#2018-09-13#,55.12,55.57,54.74,54.89,8566607
#2018-09-14#,55,55,54.61,54.75,6827670
#2018-09-17#,54.7,54.86,54.275,54.57,9277192
#2018-09-18#,54.48,55.28,54.1,55.07,7569586
#2018-09-19#,55.22,55.79,54.9,55.43,7451644
#2018-09-20#,55.6,56.73,55.6,56.43,10582603
#2018-09-21#,56.55,57.5661,56.52,57.45,25800450
#2018-09-24#,56.94,57.36,56.58,56.69,10616004
#2018-09-25#,56.98,57.29,56.83,56.9,9445481
#2018-09-26#,56.77,57.84,56.75,57.27,7757332
#2018-09-27#,57.1,57.785,57.1,57.34,6606185
#2018-09-28#,57.39,57.39,56.78,56.84,8975955
#2018-10-01#,56.91,56.95,55.53,55.58,12727584
#2018-10-02#,55.55,56.01,55.29,55.59,12680838
#2018-10-03#,55.8,56.11,55.46,55.47,7383546
#2018-10-04#,55.78,56.08,55.5,55.89,9722043
#2018-10-05#,55.95,55.95,55.305,55.76,9734042
#2018-10-08#,55.82,56.75,55.45,56.54,9624260
#2018-10-09#,56.83,59.7,56.81,57.71,24855677
#2018-10-10#,57.67,57.87,55.94,56.01,14190452
#2018-10-11#,55.7,56.27,54.705,54.86,15316853
#2018-10-12#,55.71,56.78,55.28,56.45,13980461
#2018-10-15#,56.37,57.19,56.3105,56.75,10175142
#2018-10-16#,56.94,58.01,56.77,57.81,11731398
#2018-10-17#,57.9,59.395,57.78,59.1,14631015
#2018-10-18#,59,59.53,58.15,58.64,12184673
#2018-10-19#,58.39,59.07,58.39,58.66,10180500
#2018-10-22#,58.93,59.36,58.58,58.9,8680150
#2018-10-23#,58.36,59.3,58.21,58.81,12834169
#2018-10-24#,58.57,59.28,57.95,58.06,12189685
#2018-10-25#,58.29,59.465,57.7,58.96,9569597
#2018-10-26#,58.04,58.36,57.39,58.07,13367726
#2018-10-29#,58.68,59.68,57.7,58.37,14412820
#2018-10-30#,58.43,58.87,57.69,58.59,14230072
#2018-10-31#,58.98,59.12,58.21,58.27,11560416
#2018-11-01#,58.3,59.07,58.07,58.63,18772357
#2018-11-02#,61.99,65.68,61.9,64.32,45572997
#2018-11-05#,63.93,65.13,63.82,64.48,23242808
#2018-11-06#,64.3,66.08,64.25,66.01,16065429
#2018-11-07#,66.29,68.21,66.04,68.16,16465020
#2018-11-08#,67.775,68.98,67.63,68.72,14081663
#2018-11-09#,68.49,68.96,68.08,68.6,8637203
#2018-11-12#,68.44,68.94,67.8,67.91,12789647
#2018-11-13#,67.94,68.28,67.1,67.41,16636978
#2018-11-14#,67.3,67.95,66.73,67.04,13350450
#2018-11-15#,66.71,67.76,66.36,67.62,15246503
#2018-11-16#,67.3,68.5306,67.09,68.16,9287882
#2018-11-19#,68.1,68.4704,67.2299,67.91,10855387
#2018-11-20#,67.39,67.88,66.76,67.18,11208855
#2018-11-21#,67.47,67.98,66.75,66.77,10978166
#2018-11-22#,67.47,67.98,66.75,66.77,10978166
#2018-11-23#,66.24,66.24,65.26,65.7,7779765
#2018-11-26#,65.98,66.12,65.205,65.69,13066763
#2018-11-27#,65.46,66.55,65.31,66.08,13169085
#2018-11-28#,66.18,66.99,65.48,66.82,12867734
#2018-11-29#,66.68,67.28,66.12,66.88,9605484
#2018-11-30#,66.86,67.38,66.65,66.72,27309197
#2018-12-03#,67.37,68.055,66.66,67.5,13834742
#2018-12-04#,67.47,68.15,66.45,66.65,13555064
#2018-12-05#,67.47,68.15,66.45,66.65,13555064
#2018-12-06#,66.13,66.67,65.59,66.55,17222196
#2018-12-07#,66.17,66.64,65.2,65.47,11057454
#2018-12-10#,65.47,65.8,64.45,65.49,12148308
#2018-12-11#,66.22,66.92,65.52,65.92,10903364
#2018-12-12#,66,66.93,66,66.13,11116217
#2018-12-13#,66.29,67.2243,66.13,66.91,10016213
#2018-12-14#,64.44,65.84,63.58,65.34,16834020
#2018-12-17#,65,65.625,64.0799,64.47,15143054
#2018-12-18#,64.77,65.4,64.55,64.92,10523476
#2018-12-19#,65.16,65.9,63.68,64.06,14390146
#2018-12-20#,63.61,63.8,61.4499,62.15,20264918
#2018-12-21#,62.31,63.205,61.38,61.39,23524888
#2018-12-24#,61.48,61.82,60.42,60.56,6323252
#2018-12-25#,61.48,61.82,60.42,60.56,6323252
#2018-12-26#,60.95,63.23,60.67,63.08,16646238
#2018-12-27#,62.62,63.24,61.62,63.2,11308081
#2018-12-28#,63.31,64.12,63.1747,63.39,7712127
#2018-12-31#,63.77,64.61,63.66,64.4,7690183
#2019-01-01#,63.77,64.61,63.66,64.4,7690183
