"Date","Open","High","Low","Close","Volume"
#2017-03-08#,80.64,81.85,80.51,81.64,839572
#2017-03-09#,81.74,81.925,80.88,81.76,637046
#2017-03-10#,81.94,82.359,81.49,81.82,546254
#2017-03-13#,81.92,82.35,81.49,82.23,806256
#2017-03-14#,82.06,82.56,81.985,82.31,546863
#2017-03-15#,82.25,83.51,82,83.03,598066
#2017-03-16#,82.98,83.46,82.79,83.28,512462
#2017-03-17#,83.38,84.68,83.05,84.15,1067864
#2017-03-20#,84.53,84.86,83.39,83.51,866378
#2017-03-21#,83.7,83.7,81.96,82.38,1230011
#2017-03-22#,81,82.69,81,82.09,864983
#2017-03-23#,82.25,83.36,81.64,82.04,1226835
#2017-03-24#,82.24,82.44,81.7,82.05,536712
#2017-03-27#,81.67,82.225,81.11,81.61,589739
#2017-03-28#,81.75,81.75,80.51,81.13,550520
#2017-03-29#,80.9,81,80.29,80.65,670183
#2017-03-30#,80.43,81.47,80.35,81.36,676645
#2017-03-31#,81.43,83.22,81.39,82.89,754850
#2017-04-03#,82.93,83.25,81.35,81.85,1022169
#2017-04-04#,81.98,82.64,80.95,81.07,470809
#2017-04-05#,81.16,83.32,80.97,82.3,839770
#2017-04-06#,82.41,82.99,81.83,82.51,658876
#2017-04-07#,82.47,82.99,81.65,81.87,628894
#2017-04-10#,81.95,82.69,81.8955,82.57,417527
#2017-04-11#,82.24,82.55,81.19,81.82,350358
#2017-04-12#,81.62,81.76,80.85,81.27,433084
#2017-04-13#,81.72,83.11,81.31,81.92,856037
#2017-04-14#,81.72,83.11,81.31,81.92,856037
#2017-04-17#,82.3,83.05,81.67,82.95,514564
#2017-04-18#,82.49,83.4,82.21,83.26,471883
#2017-04-19#,83.54,84.115,83.22,83.82,621763
#2017-04-20#,84.32,85.24,83.87,85.12,790629
#2017-04-21#,85.25,85.88,85.11,85.56,727966
#2017-04-24#,86.3,86.94,85.7,86.2,1116148
#2017-04-25#,86.45,86.88,86,86.79,693213
#2017-04-26#,86.71,87.35,86.29,86.54,583386
#2017-04-27#,86.57,87.3261,85.4556,85.63,498254
#2017-04-28#,85.49,85.92,84.78,85.34,797974
#2017-05-01#,85.69,86.08,84.9,85.98,409270
#2017-05-02#,86.25,86.612,85.79,86.27,437988
#2017-05-03#,86.24,86.3647,85.32,85.59,342740
#2017-05-04#,85.94,86.64,85.12,85.73,634460
#2017-05-05#,84.09,88,84,87,1008590
#2017-05-08#,86.85,87.37,85.34,85.75,998788
#2017-05-09#,86.08,86.88,85.81,86.27,710122
#2017-05-10#,86.33,86.88,85.53,85.75,392602
#2017-05-11#,85.58,85.58,84.31,84.98,488206
#2017-05-12#,84.84,84.84,83.83,84.47,1073109
#2017-05-15#,84.35,84.62,83.76,84.14,825542
#2017-05-16#,84.02,84.65,83.45,83.75,759292
#2017-05-17#,83.23,84.08,83.23,83.32,650019
#2017-05-18#,83.25,83.96,83.14,83.76,600829
#2017-05-19#,83.92,83.92,83.08,83.56,648067
#2017-05-22#,83.58,84.74,83.58,84.18,588708
#2017-05-23#,84.5,84.5,82.41,83.05,615707
#2017-05-24#,83.04,83.72,82.87,82.99,347907
#2017-05-25#,83.47,83.472,82.95,83.35,1057499
#2017-05-26#,83.37,83.55,82.34,82.4,472386
#2017-05-29#,83.37,83.55,82.34,82.4,472386
#2017-05-30#,82.1,82.56,81.3279,81.48,719706
#2017-05-31#,81.49,81.91,80.68,81.77,946578
#2017-06-01#,81.96,84.6,81.47,84.19,785253
#2017-06-02#,83.88,83.95,82.27,82.32,675986
#2017-06-05#,82.15,82.15,81.11,81.16,864964
#2017-06-06#,80.69,80.8,79.171,79.23,851595
#2017-06-07#,79.23,80.53,78.56,80.48,1071298
#2017-06-08#,80.23,80.49,78.45,78.98,1015334
#2017-06-09#,78.99,79.22,78.51,79.01,754936
#2017-06-12#,79.09,80.19,78.83,79.15,592055
#2017-06-13#,79.48,79.67,78.59,78.7,636481
#2017-06-14#,78.72,79.23,78.16,78.24,759362
#2017-06-15#,77.68,78.23,77.3,78.17,623442
#2017-06-16#,78.47,78.95,78.02,78.43,815938
#2017-06-19#,78.49,79.2,78.01,79.07,482109
#2017-06-20#,79.09,79.627,78.12,78.13,417915
#2017-06-21#,78.18,78.38,76.19,76.34,715125
#2017-06-22#,76.34,77.55,75.9,77.21,727229
#2017-06-23#,77.14,77.76,76.396,76.88,2468279
#2017-06-26#,76.8,78.87,76.76,78.25,713277
#2017-06-27#,78.4,78.58,77.01,77.24,639381
#2017-06-28#,77.5,78.2,77.0001,77.72,804320
#2017-06-29#,77.72,78.41,76.59,77.22,692052
#2017-06-30#,77.23,77.77,76.135,76.32,675646
#2017-07-03#,76.6,77.14,75.91,76.37,548982
#2017-07-04#,76.6,77.14,75.91,76.37,548982
#2017-07-05#,76.12,76.245,75.39,75.65,1243083
#2017-07-06#,75.25,75.7399,74.22,75.23,1494849
#2017-07-07#,75.39,77.06,75.18,76.48,821868
#2017-07-10#,76.42,76.44,75.38,75.39,636836
#2017-07-11#,75.31,75.94,75.05,75.73,468328
#2017-07-12#,76.12,76.64,75.47,75.65,516894
#2017-07-13#,75.36,76.5,75.33,75.97,914556
#2017-07-14#,76.06,76.4661,75.53,76.3,516813
#2017-07-17#,76.25,76.49,75.28,75.48,423468
#2017-07-18#,75.41,76.26,74.87,75.89,569250
#2017-07-19#,75.84,76.31,75.6,76.2,285901
#2017-07-20#,76.32,76.8,76.2,76.65,345642
#2017-07-21#,76.48,77.6,76.47,77.54,537455
#2017-07-24#,77.58,77.76,76.21,76.41,428638
#2017-07-25#,76.83,77.7,76.31,77.46,743049
#2017-07-26#,77.54,77.54,76.36,76.55,584316
#2017-07-27#,76.49,76.81,75.91,76.56,700043
#2017-07-28#,76.39,76.96,75.52,75.93,469999
#2017-07-31#,76.32,77.65,76.26,77.08,539724
#2017-08-01#,77.33,77.56,76.66,77.06,803552
#2017-08-02#,77.07,77.2,75.5,76.02,577100
#2017-08-03#,79.69,83.25,78.1,82.76,2753177
#2017-08-04#,80.5,82.16,77.04,78.45,2662126
#2017-08-07#,78.45,79.18,77.64,78.66,1124253
#2017-08-08#,78.5,78.9199,77,77.06,622094
#2017-08-09#,76.94,76.94,74.65,75.06,1068123
#2017-08-10#,74,74,70.24,71.44,2811386
#2017-08-11#,71.92,73.36,70.97,71.03,1349933
#2017-08-14#,71.16,72.46,71.05,71.95,986745
#2017-08-15#,71.87,72.48,71.18,72.07,718369
#2017-08-16#,72.44,73.32,71.97,72.27,896877
#2017-08-17#,71.97,73.0116,71,71.05,696696
#2017-08-18#,70.95,71.48,70.34,70.7,633268
#2017-08-21#,70.73,71.49,70.26,71.3,858743
#2017-08-22#,71.65,72.3,71.53,71.9,407161
#2017-08-23#,71.86,72.03,70.88,70.91,385517
#2017-08-24#,70.93,71.57,70.86,71.41,523280
#2017-08-25#,71.87,72.02,71.05,71.72,553404
#2017-08-28#,71.82,72.36,71.72,72.1,492999
#2017-08-29#,71.77,72.3,71.52,72.02,438577
#2017-08-30#,72.29,72.54,71.842,72.26,489165
#2017-08-31#,72.36,72.58,71.76,71.89,633389
#2017-09-01#,71.97,72.35,71.58,71.74,781385
#2017-09-04#,71.97,72.35,71.58,71.74,781385
#2017-09-05#,71.83,71.9999,70.04,70.34,950511
#2017-09-06#,70.63,71.515,70.28,70.5,1011980
#2017-09-07#,70.64,70.99,68.92,69,1379742
#2017-09-08#,69,70.62,68.62,70.26,737301
#2017-09-11#,70.71,71.45,70.47,70.95,630726
#2017-09-12#,71.05,72.49,70.9,72.18,607173
#2017-09-13#,71.98,72.69,71.94,72.13,413544
#2017-09-14#,71.85,72.7,71.5,71.87,487913
#2017-09-15#,71.46,72.22,71.04,72.12,797780
#2017-09-18#,72.43,72.43,70.91,71,455936
#2017-09-19#,71.06,71.24,70.01,70.19,548329
#2017-09-20#,70.09,70.5,69.23,70.02,900849
#2017-09-21#,70.18,70.46,69.38,69.97,576155
#2017-09-22#,70.12,71.04,69.83,70.34,526465
#2017-09-25#,70.4,71.13,70.02,70.73,521220
#2017-09-26#,70.54,71.12,69.96,71.11,500183
#2017-09-27#,71.23,72.28,70.79,71.9,733580
#2017-09-28#,71.74,72.45,71.45,71.72,441962
#2017-09-29#,71.77,72.1,71.315,71.62,488505
#2017-10-02#,71.83,72.73,71.83,72.66,590878
#2017-10-03#,72.62,72.62,71.22,71.82,508905
#2017-10-04#,71.92,71.92,71.09,71.48,473744
#2017-10-05#,71.48,72.3599,71.17,71.64,586082
#2017-10-06#,71.57,72.07,71.39,71.58,674569
#2017-10-09#,72.03,72.03,69.91,70.27,539024
#2017-10-10#,70.4,70.82,70.01,70.8,575063
#2017-10-11#,70.84,70.84,70.07,70.71,522662
#2017-10-12#,70.5,71.93,70.255,71.27,816712
#2017-10-13#,71.11,71.36,70.17,70.6,454093
#2017-10-16#,70.59,70.8205,69.9,70.07,409570
#2017-10-17#,70.04,71.39,70.03,71.27,827958
#2017-10-18#,71.43,71.78,70.815,71.65,557829
#2017-10-19#,71.63,71.92,70.71,71.9,468741
#2017-10-20#,72.19,72.8,71.96,72.69,560887
#2017-10-23#,72.69,72.94,72.08,72.64,567866
#2017-10-24#,72.5,72.76,71.7705,72.08,533364
#2017-10-25#,71.63,71.97,71.1,71.4,527762
#2017-10-26#,71.8,72.23,71.51,71.78,486811
#2017-10-27#,71.58,71.74,70.32,71,753150
#2017-10-30#,70.64,70.96,70.23,70.85,663779
#2017-10-31#,71.03,71.25,70.65,70.85,551379
#2017-11-01#,70.94,71.48,68.38,68.71,1034942
#2017-11-02#,68.64,69.03,67.46,67.92,1342418
#2017-11-03#,67.99,68.0078,66.68,67.32,789721
#2017-11-06#,67.27,67.36,66.27,67.26,832921
#2017-11-07#,67.1,67.37,66.65,67.16,696193
#2017-11-08#,66.98,67.37,66.6804,67.1,922226
#2017-11-09#,62.3,64.76,61.62,64.06,4637112
#2017-11-10#,63.72,65.24,63.66,64.02,1738017
#2017-11-13#,63.95,64.4299,63.78,64.06,827120
#2017-11-14#,63.77,64.0245,63.39,63.54,1085058
#2017-11-15#,63.23,63.57,62.47,63.06,959236
#2017-11-16#,63.14,64.14,62.625,62.68,1203119
#2017-11-17#,62.61,63.45,62.34,62.76,850815
#2017-11-20#,62.81,62.99,61.25,62.5,1142422
#2017-11-21#,62.93,62.955,62.11,62.75,586825
#2017-11-22#,62.68,62.97,62.21,62.82,512588
#2017-11-23#,62.68,62.97,62.21,62.82,512588
#2017-11-24#,63.02,63.32,62.67,63.05,263556
#2017-11-27#,63.04,63.55,62.79,63.36,635171
#2017-11-28#,63.38,63.95,63.29,63.86,746325
#2017-11-29#,63.9,65.5379,63.76,65.29,1076755
#2017-11-30#,65.7,66.641,65.43,66.31,972388
#2017-12-01#,66.31,67.04,65.46,66.94,855494
#2017-12-04#,67.33,68.04,66.8,67.36,1281806
#2017-12-05#,67.46,67.63,65.86,66.5,1249649
#2017-12-06#,66.46,66.59,64.88,65.78,1168734
#2017-12-07#,67.51,68.23,66.59,66.95,1312100
#2017-12-08#,67.15,67.2974,66.2,66.58,778553
#2017-12-11#,66.93,67.58,66.59,67.17,659083
#2017-12-12#,67.38,67.6,66.97,67.3,709175
#2017-12-13#,67.64,67.86,66,66.04,840565
#2017-12-14#,66.06,66.59,65.73,65.86,994688
#2017-12-15#,66.09,67.73,66.09,66.88,1191122
#2017-12-18#,67.07,68.19,67.07,67.83,715179
#2017-12-19#,67.96,68.74,67.37,67.78,798962
#2017-12-20#,67.99,69.1199,67.98,68.76,788051
#2017-12-21#,68.95,68.988,68.5125,68.83,424991
#2017-12-22#,69,69.01,68.21,68.31,624130
#2017-12-25#,69,69.01,68.21,68.31,624130
#2017-12-26#,68.3,68.72,67.55,67.84,293316
#2017-12-27#,68.04,68.26,67.38,67.82,339683
#2017-12-28#,67.74,67.94,67,67.87,442457
#2017-12-29#,67.99,68.93,67.54,67.99,444871
#2018-01-01#,67.99,68.93,67.54,67.99,444871
