"Date","Open","High","Low","Close","Volume"
#2015-07-03#,38.09,38.41,37.74,37.93,2513778
#2015-07-06#,37.61,38.03,37.56,37.89,2991933
#2015-07-07#,38.16,38.78,38.16,38.7,3258070
#2015-07-08#,38.53,38.61,38.11,38.21,2008468
#2015-07-09#,38.5,38.67,38.05,38.25,2189403
#2015-07-10#,38.49,38.885,38.35,38.57,2259184
#2015-07-13#,38.87,39.12,38.541,38.85,3271969
#2015-07-14#,38.94,39.03,38.55,38.89,1672780
#2015-07-15#,38.88,39.19,38.74,39,2307676
#2015-07-16#,39.09,39.54,39,39.5,2276634
#2015-07-17#,39.4,39.57,39.01,39.5,2333041
#2015-07-20#,39.31,39.75,39.05,39.65,3225542
#2015-07-21#,39.55,40.43,39.15,40.31,4231280
#2015-07-22#,40.66,40.99,39.9,40.14,3893852
#2015-07-23#,40.28,40.33,39.57,39.92,3005638
#2015-07-24#,39.81,40.06,39.65,39.86,2195013
#2015-07-27#,39.79,40.13,39.61,39.95,2171620
#2015-07-28#,40.08,40.44,39.85,40.36,3057606
#2015-07-29#,40.36,40.81,40.15,40.64,2050086
#2015-07-30#,40.45,40.63,40.01,40.2,1949087
#2015-07-31#,40.62,40.87,40.4048,40.61,3344222
#2015-08-03#,40.66,40.874,40.44,40.64,1916251
#2015-08-04#,40.43,40.96,40.37,40.45,2236455
#2015-08-05#,40.67,40.8,40.275,40.48,2516081
#2015-08-06#,40.41,40.76,40.125,40.69,3190715
#2015-08-07#,40.69,40.8,40.38,40.76,1931372
#2015-08-10#,40.99,41,40.59,40.73,2323444
#2015-08-11#,40.68,41.25,40.57,41.14,2985921
#2015-08-12#,40.9,41.185,40.73,41.18,3386700
#2015-08-13#,40.87,41.37,40.76,41.25,2428899
#2015-08-14#,41.13,41.38,40.81,41.35,1985915
#2015-08-17#,41.14,41.95,41.14,41.94,2375146
#2015-08-18#,41.89,42.49,41.76,42.25,3117771
#2015-08-19#,42.02,42.37,41.51,42.11,2756815
#2015-08-20#,41.77,42.075,41.57,41.61,3210093
#2015-08-21#,41.4,41.66,40.63,40.66,3448549
#2015-08-24#,39.15,39.65,37.99,38.08,5956073
#2015-08-25#,39.09,39.09,36.42,36.45,5158091
#2015-08-26#,37.31,37.61,36.53,37.53,5367153
#2015-08-27#,38,38.85,37.6,38.72,4500111
#2015-08-28#,38.68,39.17,38.45,38.89,3089235
#2015-08-31#,38.72,38.79,37.94,38,3579147
#2015-09-01#,37.22,37.49,36.53,36.94,4152399
#2015-09-02#,37.53,37.54,36.75,37.44,2980314
#2015-09-03#,37.62,38,37.45,37.81,2527894
#2015-09-04#,37.21,37.4,36.26,36.68,3249703
#2015-09-07#,37.21,37.4,36.26,36.68,3249703
#2015-09-08#,37.25,37.4,36.61,37.27,3169211
#2015-09-09#,37.92,37.96,36.42,36.5,3771601
#2015-09-10#,36.32,37.16,36.32,36.75,2743098
#2015-09-11#,36.72,37.23,36.49,37.23,2636440
#2015-09-14#,37.2,37.4,37.05,37.2,1884929
#2015-09-15#,37.26,37.74,36.875,37.74,3582709
#2015-09-16#,37.41,37.89,37.3,37.71,2333762
#2015-09-17#,37.77,38.88,37.62,38.19,3304020
#2015-09-18#,37.74,38.59,37.7,38.15,4761801
#2015-09-21#,38.18,38.74,38.17,38.66,2505982
#2015-09-22#,38.25,38.59,38,38.14,3380352
#2015-09-23#,38.15,38.76,38.09,38.44,2050507
#2015-09-24#,38.33,38.5,37.77,38.01,2524406
#2015-09-25#,38.24,38.89,38.05,38.66,3885100
#2015-09-28#,38.38,38.55,37.82,38.02,2770735
#2015-09-29#,38.03,38.84,37.99,38.74,3059828
#2015-09-30#,39.16,39.2,38.565,38.9,2860112
#2015-10-01#,39.11,39.3025,38.6935,39.28,2432679
#2015-10-02#,38.96,39.87,38.66,39.87,2534579
#2015-10-05#,40.05,40.555,39.89,40.54,2303360
#2015-10-06#,40.35,40.78,40.23,40.54,1920602
#2015-10-07#,40.46,40.85,40.32,40.75,3303713
#2015-10-08#,40.78,41.32,40.61,41.23,2418128
#2015-10-09#,41.29,41.55,41.035,41.41,3501910
#2015-10-12#,41.55,42.06,41.36,41.91,2457739
#2015-10-13#,41.7,42.04,41.15,41.3,2297987
#2015-10-14#,41.42,41.42,40.87,40.95,2479826
#2015-10-15#,41.14,41.55,40.97,41.5,2348748
#2015-10-16#,41.7,41.94,41.55,41.68,2083180
#2015-10-19#,41.59,42.37,41.31,42.3,3066271
#2015-10-20#,42.05,42.8,41.51,42.76,2980244
#2015-10-21#,42.89,43.06,42.61,42.79,2740789
#2015-10-22#,43.06,43.37,42.87,43.21,2873454
#2015-10-23#,43,43.31,42.73,43.03,2508788
#2015-10-26#,43.07,43.29,42.625,43.23,2113955
#2015-10-27#,42.85,43.41,42.76,43.12,3068343
#2015-10-28#,43.1,43.685,42.6,43.35,2670587
#2015-10-29#,43.11,43.34,42.78,43.16,1922184
#2015-10-30#,43.24,43.25,42.57,42.73,3256466
#2015-11-02#,42.73,43.68,42.54,43.68,2452055
#2015-11-03#,43.45,43.57,43.11,43.25,1934828
#2015-11-04#,43.36,43.49,42.955,43.17,1832250
#2015-11-05#,43.08,43.269,42.84,43.15,1693517
#2015-11-06#,42.46,42.66,41.48,41.87,4237988
#2015-11-09#,41.69,41.78,40.58,40.86,3120176
#2015-11-10#,40.9,41.37,40.82,41.14,2349328
#2015-11-11#,41.13,41.48,41.12,41.34,1644015
#2015-11-12#,41.07,41.24,40.73,41.06,1962432
#2015-11-13#,41.18,41.38,40.83,40.97,2233250
#2015-11-16#,40.96,41.8,40.6,41.8,3165551
#2015-11-17#,41.66,41.97,41.49,41.6,2543854
#2015-11-18#,41.84,42.31,41.5,42.27,2120197
#2015-11-19#,42.39,42.65,42.25,42.29,2013324
#2015-11-20#,42.42,43.18,42.41,43.1,3681351
#2015-11-23#,43.1,43.53,43.1,43.22,1721048
#2015-11-24#,43.25,43.465,42.945,43.34,2772763
#2015-11-25#,43.41,43.59,43.06,43.24,2245193
#2015-11-26#,43.41,43.59,43.06,43.24,2245193
#2015-11-27#,43.09,43.61,43.09,43.6,914459
#2015-11-30#,43.63,43.66,42.685,42.75,5793829
#2015-12-01#,42.91,43.69,42.91,43.67,2466182
#2015-12-02#,43.49,43.49,42.19,42.35,5791076
#2015-12-03#,42.29,42.73,41.29,41.48,4270559
#2015-12-04#,41.76,42.72,41.63,42.7,3392665
#2015-12-07#,42.66,42.83,42.37,42.66,2173095
#2015-12-08#,42.56,42.85,42.115,42.44,2175283
#2015-12-09#,42.04,42.625,41.92,42.13,2825921
#2015-12-10#,42.24,42.52,41.88,41.99,2918846
#2015-12-11#,41.37,41.86,41.09,41.41,3545334
#2015-12-14#,40.92,41.43,40.47,41.29,3651280
#2015-12-15#,41.6,41.9,41.13,41.56,4848076
#2015-12-16#,41.86,42.47,41.63,42.32,2944208
#2015-12-17#,42.36,42.39,41.82,42,2394326
#2015-12-18#,41.72,42.09,41.62,41.69,5734659
#2015-12-21#,42.14,42.2,41.59,41.9,1772843
#2015-12-22#,42.08,42.45,42.02,42.07,2496590
#2015-12-23#,42.39,42.46,42.075,42.39,2381777
#2015-12-24#,42.4,42.69,42.1,42.46,708085
#2015-12-25#,42.4,42.69,42.1,42.46,708085
#2015-12-28#,42.41,42.92,42.2402,42.91,1366777
#2015-12-29#,43.14,43.6,43.11,43.57,2115180
#2015-12-30#,43.47,43.51,43.13,43.24,1408015
#2015-12-31#,42.99,43.28,42.77,42.92,1951786
#2016-01-01#,42.99,43.28,42.77,42.92,1951786
