"Date","Open","High","Low","Close","Volume"
#2010-03-08#,90.04,91.27,89.5,90.54,339776
#2010-03-09#,90.11,90.93,89.41,89.84,636869
#2010-03-10#,89.95,90.06,88.86,89.86,498772
#2010-03-11#,89.4,90.5,89.07,90.46,391070
#2010-03-12#,90.96,91.57,90.18,91.1,251624
#2010-03-15#,91,91.85,89.98,90.46,298009
#2010-03-16#,90.59,92.37,90.59,92.37,543788
#2010-03-17#,92.09,93.98,92.09,93.42,308567
#2010-03-18#,93.51,93.86,92.8,92.92,250192
#2010-03-19#,92.95,93.51,91.99,92.17,402018
#2010-03-22#,91.55,92.97,91.55,92.9,352969
#2010-03-23#,92.08,92.85,90.55,91.77,356143
#2010-03-24#,91.47,92.5,91.43,91.75,270678
#2010-03-25#,92.09,92.56,90.92,91.12,482198
#2010-03-26#,90.97,91.59,89.55,89.81,594828
#2010-03-29#,88.89,90.24,88.42,88.5,536493
#2010-03-30#,88.45,90.05,88.42,89.82,319329
#2010-03-31#,89.12,90.52,88.54,89.95,593116
#2010-04-01#,90.13,91.05,89.23,90.86,603273
#2010-04-02#,90.13,91.05,89.23,90.86,603273
#2010-04-05#,91,93.38,90.97,93.35,381474
#2010-04-06#,92.91,96.02,92.86,96,454368
#2010-04-07#,95.3,95.89,94.48,94.92,956240
#2010-04-08#,94.43,95.5,94.42,95.05,333719
#2010-04-09#,95.64,98.16,95.64,97.72,525657
#2010-04-12#,97.25,98.18,97.25,97.74,733267
#2010-04-13#,97.85,100.99,97.71,100.63,353382
#2010-04-14#,101,101.06,99.11,99.32,300538
#2010-04-15#,99.07,99.57,97.35,97.41,381596
#2010-04-16#,96.75,97.78,96.28,96.35,474582
#2010-04-19#,95.89,97.42,95.27,96.15,256192
#2010-04-20#,96.39,98.23,95.35,98.17,190122
#2010-04-21#,98.54,101.47,98.16,100.44,364834
#2010-04-22#,99.69,101.68,99.33,101.28,459977
#2010-04-23#,101.58,104.2,100.43,103.99,357498
#2010-04-26#,104.25,106.47,104.25,105.17,457500
#2010-04-27#,104.68,105.77,102.7,102.8,461474
#2010-04-28#,103.68,104.89,103.2,104,271515
#2010-04-29#,104.86,110.22,104.85,109.76,552799
#2010-04-30#,109.43,110.02,105.61,105.82,370651
#2010-05-03#,106.4,110.85,106.4,110.24,471105
#2010-05-04#,108.51,113.03,108.51,110.94,766971
#2010-05-05#,109.99,112.32,109.1,110,529904
#2010-05-06#,110.22,111.44,91.55,105.09,925132
#2010-05-07#,105.56,107.63,102.07,102.55,845317
#2010-05-10#,106.23,108.62,104.32,108.6,920321
#2010-05-11#,106.67,111.04,106.67,109.46,570500
#2010-05-12#,109.9,111.46,109.77,111.15,452380
#2010-05-13#,111.1,111.45,108.76,109.31,398403
#2010-05-14#,108.07,109.1,106.18,107.05,443788
#2010-05-17#,107.55,109.03,105.11,108.94,641000
#2010-05-18#,110.23,110.68,107.08,107.21,574862
#2010-05-19#,106.72,108.62,104.81,106.65,528913
#2010-05-20#,105.07,105.67,101.31,101.33,726155
#2010-05-21#,100.05,105.94,98.68,105.05,705622
#2010-05-24#,104.78,105.92,102.85,102.86,439408
#2010-05-25#,101.74,103.16,99.79,103.03,872382
#2010-05-26#,104.46,105.92,102.64,103.1,603266
#2010-05-27#,105.33,107.9,104.32,107.65,611244
#2010-05-28#,107.16,108.5,105.22,105.23,415633
#2010-05-31#,107.16,108.5,105.22,105.23,415633
#2010-06-01#,104.47,104.97,101.88,102.03,654802
#2010-06-02#,102.27,103.34,100.18,103.28,845655
#2010-06-03#,103.22,103.99,101.9,102.64,335134
#2010-06-04#,100.91,101.16,96.37,96.74,651666
#2010-06-07#,97.74,100.08,97.02,97.57,501841
#2010-06-08#,98.07,99.55,95.49,99.25,519572
#2010-06-09#,100.27,104.16,100.27,101.98,723909
#2010-06-10#,103.41,105.76,102.55,105.58,582880
#2010-06-11#,104.71,106.88,103.9,106.56,333254
#2010-06-14#,107.51,108.76,105.41,106.82,622821
#2010-06-15#,107.25,108.25,106.52,108.25,368697
#2010-06-16#,107.19,108.35,107.1,107.95,287627
#2010-06-17#,107.98,108.33,106.93,107.9,155069
#2010-06-18#,107.92,108.49,107.32,108.11,408355
#2010-06-21#,108.99,109.65,106.89,107.28,233889
#2010-06-22#,107.69,107.99,103.2,103.25,400295
#2010-06-23#,103.66,104.98,101.73,103.62,271976
#2010-06-24#,103.15,103.77,100.79,101.1,224742
#2010-06-25#,101.58,105.39,101.04,105.39,630913
#2010-06-28#,104.26,104.8,103.09,103.86,280277
#2010-06-29#,102.34,102.62,99.56,99.82,508316
#2010-06-30#,99.87,101.3,97.47,97.54,623136
#2010-07-01#,97.54,98.3,94.79,96.84,357496
#2010-07-02#,96.9,97.47,94.51,95.08,418542
#2010-07-05#,96.9,97.47,94.51,95.08,418542
#2010-07-06#,96.7,97.61,92.62,93.47,476864
#2010-07-07#,93.81,99.23,93.48,99.23,400293
#2010-07-08#,100.75,103.18,99.91,101.85,525457
#2010-07-09#,101.63,103.72,101.43,103.32,249277
#2010-07-12#,102.9,103.88,102.04,103.3,170818
#2010-07-13#,104.42,105.75,103.99,105.58,274241
#2010-07-14#,105.23,105.54,103.29,104.04,223093
#2010-07-15#,104.82,104.82,101.57,104.15,263852
#2010-07-16#,103.68,104.09,100.48,100.96,336234
#2010-07-19#,101.35,103.3,99.7,102.76,285893
#2010-07-20#,100.25,103.42,100,103.38,386412
#2010-07-21#,103.7,104.17,100.55,100.91,287827
#2010-07-22#,102.13,104.73,102.1,104.55,499124
#2010-07-23#,103.83,104.65,102.04,104.63,367895
#2010-07-26#,104.78,106.87,104.01,106.6,494257
#2010-07-27#,107.43,107.99,105.91,107.34,256397
#2010-07-28#,107.17,108.16,105.92,107.03,332664
#2010-07-29#,107.74,108.12,103.53,104.64,618530
#2010-07-30#,103.38,106.1,103.11,105.11,291287
#2010-08-02#,106.74,108.21,106.34,108,347858
#2010-08-03#,108.22,108.22,106.5,107.11,296084
#2010-08-04#,107.17,107.54,104.96,107.05,610688
#2010-08-05#,106.83,108.25,106.23,106.37,299378
#2010-08-06#,105.29,106.31,103.96,106.04,289599
#2010-08-09#,106.47,107.52,105.79,107.27,359086
#2010-08-10#,106.25,108,105.9,106.77,216576
#2010-08-11#,105.5,105.63,103.03,103.85,258756
#2010-08-12#,102.18,103.81,101.8,102.56,199887
#2010-08-13#,102.27,103.42,102.01,102.58,220983
#2010-08-16#,101.81,103.41,100.57,101.66,208983
#2010-08-17#,102.69,104.96,102.36,104.19,236292
#2010-08-18#,104.3,105.31,103.31,104.21,141488
#2010-08-19#,103.71,104.05,101.97,102.42,243853
#2010-08-20#,101.89,102.63,101.46,102.51,140752
#2010-08-23#,102.87,103.55,101.95,101.95,171314
#2010-08-24#,100.67,102.6,100.27,102.07,268749
#2010-08-25#,101.32,104.14,101.16,103.86,195732
#2010-08-26#,104.23,105.33,102.99,103.55,226193
#2010-08-27#,104.32,105.53,102.09,105.02,301377
#2010-08-30#,104.44,105.76,103.24,103.3,159921
#2010-08-31#,103.05,105.86,102.61,105.77,358648
#2010-09-01#,107.58,109.14,106.86,109.12,412231
#2010-09-02#,108.87,109.87,108.51,109.82,277640
#2010-09-03#,110.5,111.06,109.6,110.66,285585
#2010-09-06#,110.5,111.06,109.6,110.66,285585
#2010-09-07#,110.1,111.29,109.66,109.97,217281
#2010-09-08#,110.35,110.79,108.77,108.97,270599
#2010-09-09#,110.43,110.43,108.01,108.4,192488
#2010-09-10#,108.9,109.7,108.31,109.49,212766
#2010-09-13#,110.28,111.18,109.93,110.93,308211
#2010-09-14#,110.6,110.89,109.68,109.83,219851
#2010-09-15#,109.25,110.89,109.16,110.38,323008
#2010-09-16#,110.14,111.04,109.49,109.5,135044
#2010-09-17#,110,110.95,109.37,110.75,285713
#2010-09-20#,110.89,115.08,110.89,114.72,366560
#2010-09-21#,114.76,114.76,111.9,111.95,207114
#2010-09-22#,111.6,112.82,110.38,110.63,204906
#2010-09-23#,109.42,110.49,107.66,107.66,321286
#2010-09-24#,109.41,110.85,109.06,110.57,216744
#2010-09-27#,110.8,110.8,107.79,108.6,195111
#2010-09-28#,108.23,108.46,106.38,108.23,325496
#2010-09-29#,108.03,108.74,107,108.49,334536
#2010-09-30#,109.35,111.04,108.9,109.44,610146
#2010-10-01#,110.63,110.63,107.6,109.08,267113
#2010-10-04#,108.75,109.8,108.56,109.69,333252
#2010-10-05#,110.34,110.6,109.1,110.6,248355
#2010-10-06#,110.11,110.75,108.81,109.47,211221
#2010-10-07#,109.87,110.34,109.42,109.86,188325
#2010-10-08#,110.09,110.32,109.13,109.81,85128
#2010-10-11#,110.09,110.35,109.7,110.06,127647
#2010-10-12#,110.37,111.81,109.97,111.48,218651
#2010-10-13#,112.14,112.79,111.43,112.02,174245
#2010-10-14#,111.6,112.57,111,111.6,122657
#2010-10-15#,112.28,113.05,111.28,111.32,132023
#2010-10-18#,111.32,112.93,111.32,112.92,145010
#2010-10-19#,110.97,113.54,110.96,112.72,284702
#2010-10-20#,113.1,116.18,113.1,115.17,342742
#2010-10-21#,115.54,116.2,114.99,115.57,171824
#2010-10-22#,115.72,115.94,114.63,115.76,246109
#2010-10-25#,116.2,116.99,115.74,116.06,195828
#2010-10-26#,115.39,115.74,114.4,114.77,242723
#2010-10-27#,114.11,114.71,113.43,113.97,247893
#2010-10-28#,114.44,114.52,111.86,112.65,341289
#2010-10-29#,112.28,113.57,112.28,112.96,139697
#2010-11-01#,113.45,115.03,113.06,113.63,161170
#2010-11-02#,114.19,114.61,113.04,113.55,183702
#2010-11-03#,113.65,114.5,112.75,113.36,199595
#2010-11-04#,113.61,116.06,112.36,116.05,209078
#2010-11-05#,116.01,117.12,114.36,116.94,288081
#2010-11-08#,116.65,116.66,114.26,115.24,193541
#2010-11-09#,115.68,115.68,109.38,110.03,396701
#2010-11-10#,110.31,112.32,110.31,112.11,238877
#2010-11-11#,111.42,112.68,110.84,112.04,171042
#2010-11-12#,111.36,112.79,110.91,111.24,208321
#2010-11-15#,111.47,113.3,110.88,110.91,274342
#2010-11-16#,110.32,110.47,105.6,106.82,400130
#2010-11-17#,107.09,108.51,106.08,107.69,227873
#2010-11-18#,109.19,109.42,108.13,108.64,235000
#2010-11-19#,108.44,109.19,107.34,108.91,195443
#2010-11-22#,108.46,109.89,108.2,109.19,334496
#2010-11-23#,107.9,108.95,107.76,108.4,207443
#2010-11-24#,109.37,110.95,109.37,110.34,199900
#2010-11-25#,109.37,110.95,109.37,110.34,199900
#2010-11-26#,109.44,110.4,109.4,109.76,65754
#2010-11-29#,109.28,110.9,108.99,110.55,230028
#2010-11-30#,109.33,111.77,109.33,110.84,449431
#2010-12-01#,112.78,113.48,111.71,113.21,437404
#2010-12-02#,113.45,114.46,113.45,114.22,483401
#2010-12-03#,113.91,114.52,113.02,113.98,223892
#2010-12-06#,113.66,114.94,113.32,114.37,328023
#2010-12-07#,115.5,116.23,114.62,115.06,319351
#2010-12-08#,115.15,115.47,112.13,112.65,160629
#2010-12-09#,113.18,113.25,110.12,110.46,400099
#2010-12-10#,110.6,113.67,110.6,112.73,186849
#2010-12-13#,112.96,113.58,112.39,113.2,141204
#2010-12-14#,113.05,114.3,111.72,111.99,232931
#2010-12-15#,111.97,112.65,110.58,110.59,266542
#2010-12-16#,110.92,111.19,109.83,110.55,178938
#2010-12-17#,110.66,111.17,109.98,110.17,597504
#2010-12-20#,110.48,111.71,110.15,111.49,277150
#2010-12-21#,111.73,113.16,111.4,113.03,230314
#2010-12-22#,113.01,114.88,112.7,114.04,272807
#2010-12-23#,114.06,115.15,113.49,113.58,196461
#2010-12-24#,114.06,115.15,113.49,113.58,196461
#2010-12-27#,113.26,115.15,113.26,114.95,110937
#2010-12-28#,115.23,115.52,114.37,115.21,166486
#2010-12-29#,115.6,115.68,114.39,114.9,134587
#2010-12-30#,114.19,114.75,113.65,114.15,140596
#2010-12-31#,114.11,115.12,114,114.22,116291
