"Date","Open","High","Low","Close","Volume"
#2018-06-13#,431.05,438.24,427.01,433.07,852715
#2018-06-14#,435.19,444.8,434.59,440.65,708124
#2018-06-15#,441,445.45,435.48,443.58,799006
#2018-06-18#,440.09,446.81,435.77,443.15,691738
#2018-06-19#,438.62,441.68,432.03,439.64,986527
#2018-06-20#,441.1,450.93,441.1,446.21,583048
#2018-06-21#,450.06,450.65,433.51,438.27,603176
#2018-06-22#,443.15,444.07,426.99,427.29,1043041
#2018-06-25#,420.74,421.991,402.18,416.2,1083032
#2018-06-26#,419.23,430.77,413.02,428.37,846315
#2018-06-27#,429.2,432.618,409.58,410.64,635336
#2018-06-28#,409.09,417.499,398,413.94,743250
#2018-06-29#,419.14,422.957,408.85,409.05,577186
#2018-07-02#,407,415.312,400.52,412.51,422620
#2018-07-03#,414.91,414.97,408.93,409.53,314205
#2018-07-04#,414.91,414.97,408.93,409.53,314205
#2018-07-05#,410.2,411.402,392.2,400.58,882310
#2018-07-06#,400.72,409.51,399,405.99,622871
#2018-07-09#,407.88,413.855,403.16,408.46,608711
#2018-07-10#,413.09,413.5,399.73,405.15,644861
#2018-07-11#,402.67,408,399.18,403.79,398860
#2018-07-12#,408.19,415.02,408.16,414.61,1290505
#2018-07-13#,416.23,421.11,413.873,418.76,530049
#2018-07-16#,419.33,421.76,417.06,419.38,610866
#2018-07-17#,417.61,428.61,417.61,427.37,1019800
#2018-07-18#,430.19,432.695,426.77,431.55,699742
#2018-07-19#,431.94,433.56,425.333,425.99,536637
#2018-07-20#,427,429.776,422.32,423.48,713741
#2018-07-23#,423.5,431.66,418.21,430.9,527829
#2018-07-24#,434,436.42,419.407,423.41,555411
#2018-07-25#,423.8,431.82,422.7,430.64,621706
#2018-07-26#,414.87,415,360.22,384.21,1949208
#2018-07-27#,390.53,392,366.11,369.17,1003721
#2018-07-30#,365.91,366.34,351.13,356.42,1112634
#2018-07-31#,358.4,363.96,344.11,354.53,1149641
#2018-08-01#,353.1,368.5,351.76,363.19,821885
#2018-08-02#,361.02,373.086,358,372.2,780959
#2018-08-03#,393.72,396.97,371.385,377.11,1019873
#2018-08-06#,376.16,382.64,374.17,378.56,519024
#2018-08-07#,378.94,382.279,372.89,376.4,478131
#2018-08-08#,376.42,380.31,371.21,376.01,440288
#2018-08-09#,377,386.58,377,380.75,364022
#2018-08-10#,379.46,387.79,377.11,377.83,378831
#2018-08-13#,377.67,383.55,367.68,368,379061
#2018-08-14#,368.42,372.37,361.87,371.25,427089
#2018-08-15#,367.36,369.726,353.67,363.59,495673
#2018-08-16#,364.92,369.51,357.442,368.97,455488
#2018-08-17#,369.16,370.23,354.52,358.82,445566
#2018-08-20#,358.27,364.44,354.52,362.48,424511
#2018-08-21#,364.07,369.99,361.957,364.12,402738
#2018-08-22#,362.11,371.42,362.11,368.38,293352
#2018-08-23#,368.57,378.92,368.57,376.93,424560
#2018-08-24#,378.07,384.44,376.6,381.03,426489
#2018-08-27#,384,388,378.401,380.65,336108
#2018-08-28#,381.26,386.88,378.34,385.97,394029
#2018-08-29#,388.23,402.96,387.95,402.03,641568
#2018-08-30#,399.89,414.7,399.89,408.58,595080
#2018-08-31#,406.78,415.86,402.2,406.58,527302
#2018-09-03#,406.78,415.86,402.2,406.58,527302
#2018-09-04#,402.06,413.79,400.011,411.36,474248
#2018-09-05#,410.7,410.99,383.12,383.83,736689
#2018-09-06#,385.1,386.44,376.14,383.1,535924
#2018-09-07#,378.44,388.93,375.285,377.49,379843
#2018-09-10#,381.27,389.56,378.57,388.58,472605
#2018-09-11#,388.1,397.64,383.28,397.41,467214
#2018-09-12#,397,398.91,380.39,392.94,485940
#2018-09-13#,396.18,397.475,388.69,390.94,374789
#2018-09-14#,392.32,399.12,392,395.67,398558
#2018-09-17#,395.6,399.62,367.71,368.9,643832
#2018-09-18#,369.06,380.64,368.55,376.56,598008
#2018-09-19#,377,380.53,366.91,376.75,450337
#2018-09-20#,377.75,382.1,372.19,381.98,481318
#2018-09-21#,381.33,386.72,380.97,384.88,1565354
#2018-09-24#,381.03,422.91,378,419.61,995678
#2018-09-25#,420,445.695,419.06,441.52,1198599
#2018-09-26#,443.49,454,438.52,444.7,914019
#2018-09-27#,445.5,451.79,437.095,442.89,621054
#2018-09-28#,441.29,455.4,441,449.75,696383
#2018-10-01#,452.9,459.75,442.926,444.25,526928
#2018-10-02#,442.92,442.92,426.39,429.17,843881
#2018-10-03#,429.59,431,418.412,426.42,470167
#2018-10-04#,424.81,424.97,407.616,416.79,587510
#2018-10-05#,418.99,430.931,405.476,415.71,565030
#2018-10-08#,414.17,415.55,388.39,399.01,785224
#2018-10-09#,397.35,408.87,393.96,395.08,536320
#2018-10-10#,394.64,396.99,375.61,376.89,866026
#2018-10-11#,372,383.88,363.633,367.54,815546
#2018-10-12#,381.57,396.19,374.26,384.78,989299
#2018-10-15#,383.78,387.97,367.24,372.08,674031
#2018-10-16#,376.28,388.11,374.74,386.88,460620
#2018-10-17#,391.57,391.57,380.05,389.79,355505
#2018-10-18#,389.47,389.96,380.054,386.63,462805
#2018-10-19#,388.41,391.696,360.63,362.42,850471
#2018-10-22#,363.02,368.69,355.61,366.2,504893
#2018-10-23#,358.89,373.85,350.25,370.04,492533
#2018-10-24#,369.48,376.8,352,352.71,497901
#2018-10-25#,352,352,317,333.12,1416172
#2018-10-26#,320.1,337.52,317.56,330.35,753336
#2018-10-29#,331.39,339.69,313.4,320.03,730090
#2018-10-30#,320.15,333.67,315.34,331.22,602824
#2018-10-31#,338,352.455,333.88,341.2,897698
#2018-11-01#,357,378.37,342,376.94,1482052
#2018-11-02#,390,399.88,376.12,384.13,765386
#2018-11-05#,385.85,395.24,379.51,392.91,707496
#2018-11-06#,392.78,399.577,381.837,389.85,442600
#2018-11-07#,410,427.697,402,412.1,818318
#2018-11-08#,409.8,420.18,404.01,413.85,436239
#2018-11-09#,413.32,413.32,395.64,405.17,527323
#2018-11-12#,388.99,388.99,330.01,337.86,1693034
#2018-11-13#,342.4,351.738,329.3,330.63,784614
#2018-11-14#,333.3,335.16,309.825,312.56,1169404
#2018-11-15#,310.58,324.275,301.12,320.78,931334
#2018-11-16#,318.04,332.15,315.383,319.78,752891
#2018-11-19#,316.03,316.32,293.728,299.83,966341
#2018-11-20#,288.92,307.92,280.83,302.29,963799
#2018-11-21#,306.62,315.14,300.41,301.6,475797
#2018-11-22#,306.62,315.14,300.41,301.6,475797
#2018-11-23#,299.88,305.7,298.25,299.41,224649
#2018-11-26#,301.4,312.27,295.201,311.15,752131
#2018-11-27#,309.3,318.525,304.56,313.95,1090199
#2018-11-28#,316.64,335.99,316.455,335.22,710454
#2018-11-29#,331.65,335.425,327.001,331.99,533380
#2018-11-30#,334.36,335.98,329.04,332.68,522937
#2018-12-03#,339.62,344.99,333.21,343.45,572960
#2018-12-04#,340.83,343.2,321.896,327.18,587743
#2018-12-05#,340.83,343.2,321.896,327.18,587743
#2018-12-06#,318,333.26,310.58,332.98,501107
#2018-12-07#,331.56,333,315.045,317.52,469055
#2018-12-10#,317.9,326.785,312.46,323.66,447764
#2018-12-11#,330,330.8,322.595,328.13,391830
#2018-12-12#,335,341.09,330.32,330.69,376924
#2018-12-13#,332.42,338.209,317.262,319.72,444168
#2018-12-14#,313.63,323.93,312.03,316.19,348568
#2018-12-17#,312.57,312.57,295.405,298.77,758392
#2018-12-18#,305.11,306.75,299.14,304.8,552243
#2018-12-19#,305,314.66,290.45,296.14,647346
#2018-12-20#,296.14,303.21,275.485,284.28,896119
#2018-12-21#,283.79,294.04,283.31,290.29,1105363
#2018-12-24#,286.04,286.76,274.02,281.08,340737
#2018-12-25#,286.04,286.76,274.02,281.08,340737
#2018-12-26#,282,307.81,282,307.44,536619
#2018-12-27#,302.92,315.91,300.05,315.67,669197
#2018-12-28#,317.47,324.777,314,318.17,489051
#2018-12-31#,320.3,329.91,320.3,325.04,483727
#2019-01-01#,320.3,329.91,320.3,325.04,483727
