"Date","Open","High","Low","Close","Volume"
#2013-03-04#,51.74,53.23,51.73,53.12,9441436
#2013-03-05#,53.61,54.85,53.43,53.95,10804399
#2013-03-06#,54.29,54.595,53.95,54.31,6279888
#2013-03-07#,54.36,54.71,54.03,54.42,4861261
#2013-03-08#,54.8,54.84,53.59,54.2,4185707
#2013-03-11#,54.26,55.02,53.8401,54.98,3983941
#2013-03-12#,55,55.23,54.435,54.6,5322630
#2013-03-13#,54.615,55.12,54.53,54.63,3115636
#2013-03-14#,54.82,55.04,54.22,54.51,3736174
#2013-03-15#,54.66,55.26,54.37,55.19,8661165
#2013-03-18#,54.53,54.98,54.25,54.66,3220958
#2013-03-19#,54.94,54.94,53.17,53.64,6082938
#2013-03-20#,53.97,54.1,53.54,53.91,4944171
#2013-03-21#,53.48,54.07,53.48,53.71,3293231
#2013-03-22#,53.69,54.16,53.58,54.1,2431765
#2013-03-25#,54.4,54.71,53.9,54.59,4540030
#2013-03-26#,54.9,55.52,54.845,55.06,4867938
#2013-03-27#,54.65,55.21,54.57,54.82,2531188
#2013-03-28#,54.75,55,54.65,54.95,2647719
#2013-03-29#,54.75,55,54.65,54.95,2647719
#2013-04-01#,55.06,55.06,53.44,53.68,3321603
#2013-04-02#,53.85,54.68,53.85,54.63,4061450
#2013-04-03#,54.63,54.71,53.94,54.16,4133601
#2013-04-04#,54.15,55.13,54.084,55.07,4848690
#2013-04-05#,54.36,54.84,53.82,54.71,3680155
#2013-04-08#,54.53,55.47,54.32,55.41,2752491
#2013-04-09#,55.5,56.1591,55.4,55.81,4493097
#2013-04-10#,55.96,56.5,55.74,55.76,3652373
#2013-04-11#,55.77,55.82,54.79,54.82,4461502
#2013-04-12#,54.59,54.8,53.91,54.66,4026222
#2013-04-15#,54.36,54.39,53.06,53.1,5636714
#2013-04-16#,53.55,53.71,52.75,53.33,4770308
#2013-04-17#,52.83,53.12,52.445,52.76,5382081
#2013-04-18#,52.85,53.27,52.34,52.79,5486649
#2013-04-19#,54.97,56.49,54.4,56.17,13368724
#2013-04-22#,56.29,56.34,55.13,55.36,4603706
#2013-04-23#,56.03,56.58,55.49,56.34,5039641
#2013-04-24#,56.25,57.11,56.185,57.06,5587693
#2013-04-25#,57.05,57.55,56.78,57.03,4304015
#2013-04-26#,57.17,57.39,56.67,57.15,3425915
#2013-04-29#,57.3,57.57,57.2,57.51,4659205
#2013-04-30#,57.49,57.93,57.33,57.78,3219605
#2013-05-01#,57.78,57.85,57.16,57.35,2752248
#2013-05-02#,57.33,58.3162,57.05,58.18,3556868
#2013-05-03#,58.7,59.64,58.3975,58.52,4101515
#2013-05-06#,58.47,59.27,58.26,59.05,3410597
#2013-05-07#,59.1,59.395,58.89,59.08,3236156
#2013-05-08#,58.84,59.85,58.47,59.84,3885370
#2013-05-09#,59.69,59.69,58.84,59.15,2566927
#2013-05-10#,59.29,59.51,58.84,59.51,2723365
#2013-05-13#,59.38,59.52,58.5,58.81,2380612
#2013-05-14#,58.96,59.8,58.89,59.6,3261536
#2013-05-15#,59.59,60.28,59.33,60.11,3206947
#2013-05-16#,59.92,60,58.975,59.15,3576660
#2013-05-17#,59.51,60.95,59.38,60.83,4108234
#2013-05-20#,60.72,62.065,60.72,61.81,3618756
#2013-05-21#,61.86,62.41,61.59,62.11,3339320
#2013-05-22#,62.13,63.63,61.23,61.54,5850066
#2013-05-23#,60.98,61.66,60.5,61.24,3538875
#2013-05-24#,60.81,61.22,60.5,61.13,3902903
#2013-05-27#,60.81,61.22,60.5,61.13,3902903
#2013-05-28#,62,62.535,61.74,61.81,5252056
#2013-05-29#,61.32,62.02,61.07,61.6,3918277
#2013-05-30#,61.73,62.98,61.54,62.43,5352822
#2013-05-31#,62.07,62.12,60.93,60.93,5335561
#2013-06-03#,61.18,62,60.815,61.91,3295906
#2013-06-04#,61.88,62.26,61.11,61.26,2851611
#2013-06-05#,61.07,61.36,59.89,60.19,3487113
#2013-06-06#,60.13,60.79,59.6701,60.77,2940204
#2013-06-07#,61.31,62.39,61.25,62.33,3685484
#2013-06-10#,62.34,62.94,62.18,62.54,2270848
#2013-06-11#,61.9,62.17,61.2701,61.46,2624275
#2013-06-12#,61.86,62.11,61.12,61.38,2058126
#2013-06-13#,61.43,62.495,61.16,62.35,2415515
#2013-06-14#,62.2,62.215,60.58,61.01,3501742
#2013-06-17#,61.42,62.04,60.87,62,3936777
#2013-06-18#,61.93,62.28,61.79,62.1,3661806
#2013-06-19#,62.25,62.39,61.6175,61.81,3641471
#2013-06-20#,61.72,62.5,61.39,61.62,5222973
#2013-06-21#,62.09,62.16,60.71,61.36,4596052
#2013-06-24#,60.93,61,59.81,59.97,3147318
#2013-06-25#,60.51,61.42,60.42,61.11,2926151
#2013-06-26#,61.6,61.88,61.15,61.57,2749324
#2013-06-27#,62,63,61.84,62.69,2651521
#2013-06-28#,62.41,63.115,61.77,62.81,3695840
#2013-07-01#,63.17,63.99,63.09,63.59,2924243
#2013-07-02#,63.64,64.72,63.59,64.24,4960396
#2013-07-03#,63.82,64.135,63.33,63.92,1511571
#2013-07-04#,63.82,64.135,63.33,63.92,1511571
#2013-07-05#,64.53,65.66,64.29,65.66,2451124
#2013-07-08#,66.07,66.33,65.281,65.54,3291655
#2013-07-09#,65.93,66.14,65.375,65.53,2890835
#2013-07-10#,65.53,65.53,64.6,64.91,3135935
#2013-07-11#,65.71,65.93,65.1,65.81,2801059
#2013-07-12#,65.99,66.96,65.82,66.81,2192775
#2013-07-15#,67.63,67.7,66.165,66.85,2027474
#2013-07-16#,66.76,67.08,65.94,66.68,1974017
#2013-07-17#,66.77,67.06,65.97,66.9,3079987
#2013-07-18#,66.9,67.52,66.42,67.05,3842892
#2013-07-19#,69.06,70,68.22,69.14,5275751
#2013-07-22#,69.27,69.4,68.8,69.19,3198279
#2013-07-23#,69.24,69.38,68.74,69.01,2417666
#2013-07-24#,69.14,69.491,68.67,68.72,2190989
#2013-07-25#,68.06,68.76,67.25,68.72,3715325
#2013-07-26#,68.5,68.775,67.86,68.76,2549348
#2013-07-29#,68.42,68.54,68.18,68.45,1942139
#2013-07-30#,68.97,69.22,68.26,69.17,3325113
#2013-07-31#,69.13,69.515,68.5,69.02,5287866
#2013-08-01#,69.48,69.79,68.88,69.7,3170701
#2013-08-02#,69.46,69.72,69.35,69.59,2535170
#2013-08-05#,69.37,69.64,69.13,69.5,1998315
#2013-08-06#,69.44,69.53,68.84,69.29,2698093
#2013-08-07#,69.03,69.03,67.87,67.93,3996146
#2013-08-08#,68.48,68.81,68.165,68.42,2734222
#2013-08-09#,68.41,68.83,68.17,68.23,2402022
#2013-08-12#,68,68.5,67.74,68.42,1890158
#2013-08-13#,68.38,68.88,67.91,68.56,1386459
#2013-08-14#,68.45,68.76,68.3401,68.36,1487851
#2013-08-15#,68.08,68.25,66.82,67.01,2640113
#2013-08-16#,66.89,67.69,66.84,67.16,2403786
#2013-08-19#,66.87,67.22,65.89,65.91,2156433
#2013-08-20#,65.96,67.04,65.67,66.59,1990794
#2013-08-21#,66.38,66.82,65.85,66.16,1853427
#2013-08-22#,66.58,67.03,66.19,66.68,1462711
#2013-08-23#,67.06,67.06,66.097,66.67,1149142
#2013-08-26#,66.58,66.81,66,66,1352487
#2013-08-27#,65.39,65.63,64.15,64.31,2850243
#2013-08-28#,64.35,64.57,63.65,64.04,3039336
#2013-08-29#,63.91,64.84,63.69,64.38,1685494
#2013-08-30#,64.46,64.7,64.24,64.55,2026143
#2013-09-02#,64.46,64.7,64.24,64.55,2026143
#2013-09-03#,65.31,65.6,63.99,64.4,1833975
#2013-09-04#,64.34,65.2,64.21,65.03,1783282
#2013-09-05#,65,65.98,64.92,65.58,1814974
#2013-09-06#,65.64,65.73,64.34,65.38,1699711
#2013-09-09#,65.49,66.48,65.34,66.46,1885814
#2013-09-10#,67,68.0242,66.81,67.85,2572858
#2013-09-11#,67.89,68.1,67.33,67.62,2219247
#2013-09-12#,67.57,68.195,67.55,67.95,2912050
#2013-09-13#,67.96,68.18,67.32,67.49,1950389
#2013-09-16#,68.19,68.7,67.475,67.65,3060920
#2013-09-17#,67.91,69.24,67.84,69.12,3314720
#2013-09-18#,68.96,69.65,68.69,69.28,2644874
#2013-09-19#,69.55,69.76,68.85,69.04,1911665
#2013-09-20#,69.09,69.56,68.95,69.1,3309305
#2013-09-23#,68.75,68.84,67.97,68.45,2590813
#2013-09-24#,68.34,69.375,67.85,68.49,3254488
#2013-09-25#,68.72,69.6986,68.37,69.19,3167970
#2013-09-26#,69.07,69.84,68.88,69.12,1821780
#2013-09-27#,68.74,69.11,68.6,68.92,2166190
#2013-09-30#,68.48,69.05,68.07,68.74,2940505
#2013-10-01#,69.04,70,68.95,69.79,2769977
#2013-10-02#,69.44,69.55,68.875,69.55,2480779
#2013-10-03#,69.16,69.7,68.38,68.78,2289223
#2013-10-04#,68.88,70.4899,68.73,70.32,3046395
#2013-10-07#,69.63,69.65,68.815,68.88,2586962
#2013-10-08#,68.88,69.135,67.6,67.83,3565667
#2013-10-09#,67.9,68.38,67.36,68.1,2626331
#2013-10-10#,69.1,70.91,69.08,70.76,3158555
#2013-10-11#,70.75,71.94,70.62,71.91,2294942
#2013-10-14#,71.62,72.35,71.075,72.1,3674382
#2013-10-15#,71.93,72.17,71.29,71.59,4403047
#2013-10-16#,71.89,72.645,71.83,72.25,3932290
#2013-10-17#,72.1,72.54,71.631,72.15,4604586
#2013-10-18#,72.8,72.99,70.95,71.6,6242189
#2013-10-21#,71.8,71.95,71.16,71.27,3603299
#2013-10-22#,71.45,71.62,70.52,71,4767540
#2013-10-23#,70.86,70.86,70.15,70.54,3294024
#2013-10-24#,70.82,70.845,70.12,70.65,3095400
#2013-10-25#,70.59,70.815,70.07,70.38,3311958
#2013-10-28#,70.37,71.13,70.015,70.77,2322264
#2013-10-29#,70.87,71.38,70.84,70.93,2659136
#2013-10-30#,70.82,71,69.68,69.8,3201740
#2013-10-31#,69.58,69.67,68.67,68.67,4563348
#2013-11-01#,68.79,69.45,68.63,69.39,2470595
#2013-11-04#,69.52,69.69,69.16,69.61,2578598
#2013-11-05#,69.5,70.145,69.12,69.96,2748453
#2013-11-06#,70.48,70.48,68.92,69.29,3264665
#2013-11-07#,69.59,69.901,68.815,68.85,2946493
#2013-11-08#,68.9,70,68.85,69.59,3932290
#2013-11-11#,69.63,69.95,69.46,69.68,2086093
#2013-11-12#,69.66,69.88,69.32,69.51,2515281
#2013-11-13#,69.28,70.07,68.8,70.06,3378984
#2013-11-14#,70.13,70.88,70.11,70.69,2640987
#2013-11-15#,70.4,70.93,70.24,70.37,2738845
#2013-11-18#,70.44,70.58,69.32,69.42,3286812
#2013-11-19#,69.42,69.59,69.02,69.25,2335746
#2013-11-20#,69.89,69.91,68.74,68.8,2884729
#2013-11-21#,69.25,69.85,69.06,69.63,2755034
#2013-11-22#,69.96,69.96,69.04,69.61,3018442
#2013-11-25#,69.73,70.78,69.6,70.41,2474472
#2013-11-26#,70.54,71.12,70.39,70.81,2322660
#2013-11-27#,71.09,71.6,70.8385,71.51,1967343
#2013-11-28#,71.09,71.6,70.8385,71.51,1967343
#2013-11-29#,71.69,72.1765,71.32,71.63,1699734
#2013-12-02#,72.65,73,71.855,72.1,3869144
#2013-12-03#,71.92,72.15,71.345,71.63,4238745
#2013-12-04#,71.28,72.64,71.15,72.35,3459587
#2013-12-05#,72.25,72.42,71.6,71.94,3508490
#2013-12-06#,72.77,73.19,72.33,72.6,4134504
#2013-12-09#,73.02,73.335,72.8,73,2612361
#2013-12-10#,72.71,73.22,72.36,72.82,1858024
#2013-12-11#,73,73.22,71.69,71.86,3254589
#2013-12-12#,71.69,71.89,71.02,71.48,2558488
#2013-12-13#,71.69,71.81,71.09,71.47,1837791
#2013-12-16#,71.76,72.505,71.55,72.18,2232728
#2013-12-17#,72.72,72.95,71.47,71.79,2014410
#2013-12-18#,71.88,73.51,71.22,73.45,3311900
#2013-12-19#,73.36,73.78,72.7701,73.64,2984489
#2013-12-20#,73.94,74.81,73.61,74.73,4705197
#2013-12-23#,74.95,75.33,74.5,75.01,1910873
#2013-12-24#,75.07,75.47,74.975,75.38,666687
#2013-12-25#,75.07,75.47,74.975,75.38,666687
#2013-12-26#,75.62,76,75.4,75.88,1615343
#2013-12-27#,75.87,75.96,75.51,75.78,693491
#2013-12-30#,75.97,76.16,75.54,75.82,1429309
#2013-12-31#,76,76.71,75.85,76.61,1935417
#2014-01-01#,76,76.71,75.85,76.61,1935417
