"Date","Open","High","Low","Close","Volume"
#2014-07-09#,106.63,108.39,106.6,108.35,999484
#2014-07-10#,106.43,108.54,105.25,107.69,1022896
#2014-07-11#,107.34,107.85,106.16,107.39,704863
#2014-07-14#,108.45,109.6,108.02,109.5,1154759
#2014-07-15#,109.51,110,107.28,107.66,1495039
#2014-07-16#,108.6,108.86,107.3,108.23,1780412
#2014-07-17#,111.94,114.9497,109,110.06,3234778
#2014-07-18#,110.51,112.15,110.1,112.04,1554038
#2014-07-21#,111.0801,112.25,111.06,111.78,1040162
#2014-07-22#,112.1,113.96,112.02,113.33,917308
#2014-07-23#,113.94,114,112.56,112.77,815439
#2014-07-24#,113.07,113.84,112.33,112.63,830687
#2014-07-25#,112.34,113.18,112.11,112.69,750725
#2014-07-28#,112.95,112.95,110.67,111.18,961637
#2014-07-29#,111.43,112.38,110.28,110.46,949864
#2014-07-30#,111.63,111.7499,109.61,110.55,859750
#2014-07-31#,108.87,109.41,104.54,105.9,2120664
#2014-08-01#,104.64,107.06,103.6,105.87,1675651
#2014-08-04#,106.2,107.37,105.15,106.98,982870
#2014-08-05#,106.61,107.442,104.9,105.77,1085657
#2014-08-06#,105.5,106.48,104.67,105.44,1033602
#2014-08-07#,106.4299,108.3,104.8,105.23,1736964
#2014-08-08#,105.25,107.32,104.33,107.25,970597
#2014-08-11#,108.43,110.36,108.25,109.42,1192383
#2014-08-12#,109.24,110.1717,108.73,109.63,789393
#2014-08-13#,110.5,111.68,109.77,110.85,993806
#2014-08-14#,111.66,112.09,111.17,111.55,1085648
#2014-08-15#,112.15,112.47,109.5,111.71,1028157
#2014-08-18#,112.64,114.46,112.39,114.29,1063109
#2014-08-19#,114.9,116.63,114.6701,115.41,976057
#2014-08-20#,114.76,116.99,114.55,116.7,868975
#2014-08-21#,116.81,116.8567,115.24,116.27,863840
#2014-08-22#,116.27,117.9688,115.5004,117.23,716364
#2014-08-25#,118.41,119.175,117.42,117.98,871476
#2014-08-26#,118.29,118.7675,117.5,118.33,726550
#2014-08-27#,118.16,118.58,116.69,117.64,786679
#2014-08-28#,116.74,117.49,115.69,117.1,626871
#2014-08-29#,117.8,118.28,117.23,117.65,577907
#2014-09-01#,117.8,118.28,117.23,117.65,577907
#2014-09-02#,118.45,119.5,117.56,118.84,1071696
#2014-09-03#,119.44,119.83,117.625,118.22,912193
#2014-09-04#,118.45,119.79,117.9,118.3,758111
#2014-09-05#,118.17,118.9099,117.11,118.51,692363
#2014-09-08#,118.27,119.01,118.01,118.3,765323
#2014-09-09#,118.11,118.62,115.22,115.56,1250800
#2014-09-10#,115.77,116.2,113.29,115.2,1332719
#2014-09-11#,114.73,116.14,114.03,116.1,1100723
#2014-09-12#,116.42,116.91,115.63,116.6,1099312
#2014-09-15#,117.5,118.85,115.65,116.29,1631004
#2014-09-16#,115.68,118.04,115.5,117.71,1696208
#2014-09-17#,118,118.49,117.07,117.64,1025468
#2014-09-18#,118.5,118.95,117.21,118.7,1007019
#2014-09-19#,119.68,119.68,116.7,116.7,15985621
#2014-09-22#,116.97,117.16,114.57,114.85,2124670
#2014-09-23#,114,114.72,113,113.47,1073245
#2014-09-24#,113.23,114.22,112.35,114.14,1171329
#2014-09-25#,113.88,113.9799,110.77,110.98,1465097
#2014-09-26#,110.99,112.61,110.7401,112.5,1265526
#2014-09-29#,110.61,112.775,110.4805,112.52,1043237
#2014-09-30#,112.75,113.73,110.88,111.1,1528410
#2014-10-01#,110.92,110.98,103.43,104.43,3652856
#2014-10-02#,104.35,105.97,101.51,105.45,2468001
#2014-10-03#,106.13,111.11,106.08,109.16,2710476
#2014-10-06#,109.62,109.87,106.58,107.06,1483847
#2014-10-07#,104.14,104.14,99.18,99.27,4233975
#2014-10-08#,99.4,103.25,96.8717,103.12,3527470
#2014-10-09#,102.5,103.26,97.77,97.91,2709468
#2014-10-10#,97.79,97.86,93.47,93.74,3277315
#2014-10-13#,93.92,94.98,90.11,90.3,2795944
#2014-10-14#,91.02,94.6,90.87,92.45,2908113
#2014-10-15#,91.27,94.08,88.34,93.43,3109308
#2014-10-16#,93.55,100.895,89.43,99.64,6522412
#2014-10-17#,103.39,106.5,100.5,103.27,3487861
#2014-10-20#,102.5,104.26,101.79,104.01,2719747
#2014-10-21#,105.05,109.22,104.85,108.65,2713342
#2014-10-22#,109.03,109.1518,104.75,104.9,2030777
#2014-10-23#,107.01,108.55,106.4,107.41,1818061
#2014-10-24#,107.69,107.99,106.05,107.96,1027023
#2014-10-27#,107.33,107.3652,104.73,106.16,1420908
#2014-10-28#,106.68,108.87,106.41,108.74,1435462
#2014-10-29#,108.78,109.99,106.06,107.16,1493874
#2014-10-30#,106.68,107.63,105.21,106.12,1372032
#2014-10-31#,108.01,110.39,107.52,110.06,1770881
#2014-11-03#,109.92,113.61,109.9001,111.81,1662982
#2014-11-04#,111.04,111.29,107.63,109.6,1598782
#2014-11-05#,110.89,112.5,110.42,111.17,1276732
#2014-11-06#,111.41,114.02,111.11,113.76,1369812
#2014-11-07#,113.56,114.95,112.85,113.39,1358036
#2014-11-10#,113.71,114.94,113.31,113.7,957346
#2014-11-11#,114,115.225,112.67,113.98,975022
#2014-11-12#,113.32,115.08,112.94,114.43,999876
#2014-11-13#,114.03,114.71,112.62,113.55,1164409
#2014-11-14#,113.31,115.26,113.09,115.17,1113339
#2014-11-17#,114.32,114.675,112.29,113.01,1203884
#2014-11-18#,113.17,114.6,112.57,114.17,877314
#2014-11-19#,113.77,114.5,112.5,114.3,895843
#2014-11-20#,113.63,114.84,112.9,114.52,750686
#2014-11-21#,115.83,116.82,114.33,114.71,1163182
#2014-11-24#,115,116.53,113.751,115.74,1161235
#2014-11-25#,115.74,119.12,115.74,119.02,1791034
#2014-11-26#,118.61,119.3466,117.71,118.7,970559
#2014-11-27#,118.61,119.3466,117.71,118.7,970559
#2014-11-28#,118.5,118.5,111.3328,113.31,1554459
#2014-12-01#,111.82,112.25,103.85,106.37,3768041
#2014-12-02#,107.19,109.35,107.07,108.74,1997358
#2014-12-03#,109.57,113.21,108.91,112.51,1803347
#2014-12-04#,112.22,113.53,110.72,113.35,1539632
#2014-12-05#,115.17,116.29,112.96,114.54,1465802
#2014-12-08#,113.99,114.23,109.35,110.84,1493797
#2014-12-09#,108.91,109.38,106.37,109.31,2398127
#2014-12-10#,109.35,111.17,107.59,108.21,2047617
#2014-12-11#,108.39,110.34,106.25,106.53,1846192
#2014-12-12#,105.02,105.03,99.58,99.68,3365982
#2014-12-15#,101.01,102.64,98.81,99.46,2563425
#2014-12-16#,98.73,104.35,98.26,99.71,3450084
#2014-12-17#,99.75,100.24,97,99.19,4814590
#2014-12-18#,101.42,103.21,99.17,100.76,2703939
#2014-12-19#,101.04,101.86,99.67,101.33,3073701
#2014-12-22#,101.67,102.94,101.01,102.37,1359069
#2014-12-23#,102.73,105.44,102.59,104.68,1337624
#2014-12-24#,104.73,106.03,104.19,104.84,668325
#2014-12-25#,104.73,106.03,104.19,104.84,668325
#2014-12-26#,104.99,106.8,104.99,106.03,847430
#2014-12-29#,105.89,106.42,105.24,105.69,736531
#2014-12-30#,105.21,105.7683,103.55,104.12,1029784
#2014-12-31#,104.6,104.6,101.87,102.01,1361884
#2015-01-01#,104.6,104.6,101.87,102.01,1361884
