"Date","Open","High","Low","Close","Volume"
#2017-04-19#,88.57,89.89,88.53,88.82,1137291
#2017-04-20#,89.27,89.3,88.1,88.71,724283
#2017-04-21#,88.64,89.07,88.35,88.45,918267
#2017-04-24#,89.27,89.35,88.22,88.5,978449
#2017-04-25#,88.77,89.49,88.57,89.28,648514
#2017-04-26#,89.3,89.71,88.78,88.84,617787
#2017-04-27#,88.83,89.1,88.08,88.53,981234
#2017-04-28#,91,91.8,88.18,88.92,1581656
#2017-05-01#,89.2,89.98,88.8301,89.74,839367
#2017-05-02#,89.87,91.2,89.86,90.84,1049742
#2017-05-03#,90.81,90.81,90.0977,90.5,832003
#2017-05-04#,90.6,90.87,90.3,90.56,676117
#2017-05-05#,90.65,90.65,89.39,89.6,854439
#2017-05-08#,89.63,89.7,88.96,89.22,744989
#2017-05-09#,89.34,89.61,88.81,89,879723
#2017-05-10#,89.08,90.58,88.605,90.55,1390014
#2017-05-11#,90.15,90.4632,89.39,89.42,600827
#2017-05-12#,89.3,89.63,88.92,89.11,461641
#2017-05-15#,89.2,90.29,88.85,90.11,895984
#2017-05-16#,90.19,90.51,89.69,89.93,899475
#2017-05-17#,89,89.65,88.03,88.07,793518
#2017-05-18#,88.16,88.85,87.545,88.55,944512
#2017-05-19#,88.71,89.89,88.12,89.19,737773
#2017-05-22#,89.41,90.74,89.33,89.93,1102919
#2017-05-23#,89.94,90.17,89.01,89.05,399976
#2017-05-24#,89.39,90.44,89.14,90.1,405787
#2017-05-25#,90.39,90.89,89.93,90.67,684095
#2017-05-26#,90.57,90.67,89.8757,90.14,824217
#2017-05-29#,90.57,90.67,89.8757,90.14,824217
#2017-05-30#,90.15,90.81,89.92,90.64,939874
#2017-05-31#,90.79,90.79,89.9,90.16,892786
#2017-06-01#,90.55,92.29,90.39,92.28,850674
#2017-06-02#,92.24,92.77,91.8049,92.55,443163
#2017-06-05#,92.45,93,91.1332,92.52,375908
#2017-06-06#,92.23,92.72,92.04,92.07,797548
#2017-06-07#,92.23,92.85,91.94,92.26,719630
#2017-06-08#,92.48,93,91.73,92.95,453067
#2017-06-09#,93.28,93.78,91.46,92.33,797350
#2017-06-12#,91.84,92.185,90.84,91.11,1176080
#2017-06-13#,91.43,92.29,91.34,91.6,922894
#2017-06-14#,91.82,92.47,91.07,91.66,1258247
#2017-06-15#,91.08,92.19,90.49,92.19,465747
#2017-06-16#,92.31,92.69,91.73,92.46,843056
#2017-06-19#,92.99,93.92,92.92,93.65,477989
#2017-06-20#,93.68,93.68,92.54,92.65,474520
#2017-06-21#,92.9,93.41,92.52,93.23,476468
#2017-06-22#,93.17,94.23,92.71,93.52,663373
#2017-06-23#,93.63,94.26,93.39,93.96,617010
#2017-06-26#,94.17,94.93,93.52,93.56,522364
#2017-06-27#,93.53,94.31,92.73,92.8,405669
#2017-06-28#,93.16,93.83,92.54,93.77,476444
#2017-06-29#,93.73,93.73,92.13,93.51,1018114
#2017-06-30#,93.32,93.9,92.94,92.96,2204941
#2017-07-03#,93.5,94.23,92.905,93.9,520433
#2017-07-04#,93.5,94.23,92.905,93.9,520433
#2017-07-05#,94.05,95.76,94.05,94.44,1519934
#2017-07-06#,94.27,94.332,93.23,93.25,669614
#2017-07-07#,93.37,95.39,93.14,94.42,1693543
#2017-07-10#,94.48,96.16,94.31,95.29,1376089
#2017-07-11#,95.24,95.86,94.7,95.61,538575
#2017-07-12#,96.15,97.07,95.81,96.87,703868
#2017-07-13#,96.64,97.5,95.9,97.18,1344575
#2017-07-14#,97.31,97.36,96.85,96.92,788857
#2017-07-17#,96.99,98.075,96.78,98,650849
#2017-07-18#,97.94,98.51,97.345,98.43,490495
#2017-07-19#,98.68,98.98,98.09,98.61,800091
#2017-07-20#,98.87,99.11,98.55,98.84,531200
#2017-07-21#,98.51,99.47,98.5,98.95,501442
#2017-07-24#,98.87,100.28,98.87,99.96,487477
#2017-07-25#,99.96,101.68,99.49,100.98,889333
#2017-07-26#,101.32,101.85,100.68,101.82,581108
#2017-07-27#,102.34,102.73,100.96,101.95,877958
#2017-07-28#,103.37,103.79,101.35,102.5,957551
#2017-07-31#,102.64,102.77,101.11,101.17,1061197
#2017-08-01#,101,101.16,99.33,99.37,1100308
#2017-08-02#,99.3,100.39,98.96,99.41,923238
#2017-08-03#,99.42,100.45,99.03,100.05,546125
#2017-08-04#,100.38,100.38,99.05,99.31,588579
#2017-08-07#,99.25,99.719,99.01,99.32,453327
#2017-08-08#,99.28,99.51,98.36,98.73,634794
#2017-08-09#,98.42,99.86,98.01,99.77,773965
#2017-08-10#,99.29,99.65,97.52,97.74,890374
#2017-08-11#,97.75,98.21,97.15,97.95,466122
#2017-08-14#,98.69,99.27,98.4,98.85,363715
#2017-08-15#,99.16,99.16,97.99,98.57,516741
#2017-08-16#,98.74,99.75,98.63,99.23,474135
#2017-08-17#,98.84,99.44,97.91,97.93,466322
#2017-08-18#,97.79,98.77,97.381,98.2,490459
#2017-08-21#,98.11,99.23,97.96,98.96,539604
#2017-08-22#,99.03,100.51,98.95,100.24,644629
#2017-08-23#,99.84,101.15,99.84,101.02,533698
#2017-08-24#,101.12,101.65,100.3101,101.5,584455
#2017-08-25#,101.78,102.12,101.3,101.44,364992
#2017-08-28#,101.93,102.51,101.58,102.21,764386
#2017-08-29#,101.81,102.24,101.55,101.62,851062
#2017-08-30#,101.54,102.62,101.27,102.52,469680
#2017-08-31#,103,103.9101,102.2001,103.75,875773
#2017-09-01#,104.18,104.25,103.62,103.94,536030
#2017-09-04#,104.18,104.25,103.62,103.94,536030
#2017-09-05#,103.65,103.91,102.18,102.54,688349
#2017-09-06#,102.67,103.03,102.06,102.79,724535
#2017-09-07#,103.04,103.67,102.51,103.48,413400
#2017-09-08#,103.49,104.295,103.07,103.31,410098
#2017-09-11#,103.8,104.86,103.28,104.65,620314
#2017-09-12#,104.73,105,103.44,103.73,434421
#2017-09-13#,103.61,103.78,102.86,103.32,471763
#2017-09-14#,103.11,103.56,102.34,103.39,393114
#2017-09-15#,103.42,104.6,103.03,104.39,1536098
#2017-09-18#,104.69,105.2999,104.31,105.08,546012
#2017-09-19#,105.26,105.81,104.72,105.41,651406
#2017-09-20#,105.52,106.04,104.831,105.89,521005
#2017-09-21#,106,106.22,105.22,105.77,514475
#2017-09-22#,105.38,106.18,104.18,104.58,833952
#2017-09-25#,104.37,104.42,102.84,103.35,459991
#2017-09-26#,104.06,104.54,103.33,104.22,549879
#2017-09-27#,104.74,105.99,104.45,104.72,692584
#2017-09-28#,104.63,105.85,104.22,105.62,622954
#2017-09-29#,105.81,106.81,105.06,106.39,635082
#2017-10-02#,106.76,107.705,106.34,106.49,648777
#2017-10-03#,106.63,108.05,106.17,107.99,2352257
#2017-10-04#,107.71,108.88,107.37,108.57,575266
#2017-10-05#,108.76,108.92,107.98,108.92,504383
#2017-10-06#,108.97,109.97,108.56,109.92,778861
#2017-10-09#,110.06,110.82,109.52,109.77,1697805
#2017-10-10#,109.77,109.93,107.95,108.12,602008
#2017-10-11#,107.89,108.54,107.62,108.29,535982
#2017-10-12#,108.3,109.24,107.95,108,915210
#2017-10-13#,108.28,108.86,108.04,108.22,839810
#2017-10-16#,108.5,108.77,108.11,108.46,459229
#2017-10-17#,108.14,109.15,107.69,108.55,1064626
#2017-10-18#,108.8,109.69,108.46,109.26,631304
#2017-10-19#,109,109,107.38,108.19,748205
#2017-10-20#,108.91,109.65,108.6,108.94,702554
#2017-10-23#,109.08,109.28,107.7,107.96,521841
#2017-10-24#,108.36,109.08,107.87,108.89,434117
#2017-10-25#,108.74,109.13,107.73,107.75,989842
#2017-10-26#,108.47,109.385,108.3,109.2,853367
#2017-10-27#,107.63,109.32,106.4,109.07,1498640
#2017-10-30#,108.8,109.1,106.84,107.58,819050
#2017-10-31#,107.54,107.92,106.96,107.52,812498
#2017-11-01#,108.14,109.68,107.6,108.86,794625
#2017-11-02#,108.69,109.77,108.24,109.38,710257
#2017-11-03#,109.35,110.085,108,108.49,1011065
#2017-11-06#,108.53,109.95,108.25,109.85,605546
#2017-11-07#,109.69,109.94,108.8701,109.1,758141
#2017-11-08#,109.16,110.14,108.59,109.97,796800
#2017-11-09#,109.46,109.62,108.46,109.42,497915
#2017-11-10#,108.92,109.91,108.63,109.75,570169
#2017-11-13#,109.66,111.37,109.59,111.18,813306
#2017-11-14#,110.66,111.71,110.015,111.17,1408818
#2017-11-15#,110.7,111.18,109.5,110.42,559496
#2017-11-16#,110.46,113.62,110.46,112.97,801856
#2017-11-17#,112.8,114,112.6,113.75,2331851
#2017-11-20#,114.05,115.49,113.915,115.18,883120
#2017-11-21#,116.03,117.13,115.58,116.06,1169232
#2017-11-22#,116.14,116.58,115.6,115.77,725288
#2017-11-23#,116.14,116.58,115.6,115.77,725288
#2017-11-24#,116.2,117.5,115.8,117.24,314637
#2017-11-27#,117.25,117.78,116.64,117.09,864872
#2017-11-28#,117.63,118.28,116.7,117.01,911568
#2017-11-29#,117,117,113.97,114.74,1404753
#2017-11-30#,114.81,115.84,114.42,115.1,2695107
#2017-12-01#,115.36,115.76,112.99,114.96,826713
#2017-12-04#,115.36,115.5,112.31,112.56,820868
#2017-12-05#,112.36,113.67,111.73,112.44,829339
#2017-12-06#,112.05,113.21,111.61,112.4,698061
#2017-12-07#,112.11,113.71,112.11,112.82,1871231
#2017-12-08#,113.1,113.57,112.52,112.98,685884
#2017-12-11#,113.23,114.441,113.23,114.32,638444
#2017-12-12#,114.51,114.805,113.91,114.37,566072
#2017-12-13#,114.33,115.46,113.6,113.78,988512
#2017-12-14#,114.11,114.67,114,114.14,680665
#2017-12-15#,114.53,115.2,114.1,115.03,1251901
#2017-12-18#,115.9,117.13,115.4,116.1,699534
#2017-12-19#,116.14,116.36,114.54,115.55,928650
#2017-12-20#,116.09,116.19,114.83,116.01,495188
#2017-12-21#,116.11,116.5,114.04,114.19,974434
#2017-12-22#,114.37,114.37,113.1601,113.99,500636
#2017-12-25#,114.37,114.37,113.1601,113.99,500636
#2017-12-26#,113.35,114.22,112.51,113.91,704403
#2017-12-27#,113.9,114.51,113.69,114.38,439177
#2017-12-28#,114.65,115.6,114.37,115.5,424831
#2017-12-29#,115.76,116.43,114.38,114.44,504146
#2018-01-01#,115.76,116.43,114.38,114.44,504146
