"Date","Open","High","Low","Close","Volume"
#2017-05-29#,64.47,64.92,64.05,64.72,1292956
#2017-05-30#,64.65,64.87,63.4,63.54,1662251
#2017-05-31#,63.68,63.74,61.78,62.83,2504954
#2017-06-01#,63.16,64,62.18,63.93,2706592
#2017-06-02#,63.89,64.33,62.84,63.6,1773718
#2017-06-05#,63.48,63.49,61.83,62.59,2609616
#2017-06-06#,62.05,62.34,61.16,61.64,2573916
#2017-06-07#,61.98,63,61.17,62.47,2444498
#2017-06-08#,62.34,62.89,60.55,60.76,2785068
#2017-06-09#,60.58,60.835,59.12,59.61,3397694
#2017-06-12#,59.56,61.43,59.56,60.8,2595120
#2017-06-13#,60.65,61.65,59.23,61.63,2618644
#2017-06-14#,61.67,61.95,60.74,61.83,1552296
#2017-06-15#,61.36,61.7326,60.46,61.55,2221606
#2017-06-16#,61.37,61.37,59.8,60.69,3041649
#2017-06-19#,60.92,61.93,59.985,61.65,4013613
#2017-06-20#,61.46,61.585,59.14,59.26,5646292
#2017-06-21#,63.82,63.95,58.34,59.74,11719119
#2017-06-22#,59.82,63.05,59.64,62.5,6826870
#2017-06-23#,62.43,62.61,61.2,61.71,3205466
#2017-06-26#,62,63.59,61.852,63.38,3068388
#2017-06-27#,63.75,64.28,63,63.1,1818515
#2017-06-28#,63.05,63.61,61.65,62.09,2867181
#2017-06-29#,62.27,63.095,61.85,62.26,1473122
#2017-06-30#,62.46,63.455,62.25,63.06,2035525
#2017-07-03#,63.4,64.5,62.94,63.74,1320904
#2017-07-04#,63.4,64.5,62.94,63.74,1320904
#2017-07-05#,63.53,64.04,62.22,63.37,2196914
#2017-07-06#,63.34,64.23,62.961,63.51,2096649
#2017-07-07#,63.62,64.47,63.13,63.95,2068294
#2017-07-10#,63.51,64.32,63.25,64.2,1777320
#2017-07-11#,64.35,64.5,63.16,63.67,1618095
#2017-07-12#,64.15,65.3,63.72,64.2,1709469
#2017-07-13#,64.43,65.7,64.21,65.03,1660095
#2017-07-14#,65.02,65.285,64.08,64.42,1367884
#2017-07-17#,64.5,65.46,64.35,65.03,1155952
#2017-07-18#,64.77,65.19,64.09,64.74,1622787
#2017-07-19#,64.9,65.37,64.65,64.83,1201827
#2017-07-20#,64.83,65.18,63.85,64.38,1157513
#2017-07-21#,64.59,66.19,64.44,66.09,2720285
#2017-07-24#,65.78,66.22,65.19,65.7,1528416
#2017-07-25#,65.97,66.55,65.55,66.18,2211570
#2017-07-26#,66.3,66.99,65.82,66.73,1840934
#2017-07-27#,66.79,67.25,65.95,66.48,1294068
#2017-07-28#,66.38,66.88,65.75,66.79,1002473
#2017-07-31#,66.84,67.07,65.95,66.25,1185525
#2017-08-01#,66.16,66.7599,65.13,66.65,1323400
#2017-08-02#,65.5,66.45,65.38,65.72,1353097
#2017-08-03#,65.74,66.5,65.44,65.54,932019
#2017-08-04#,65.82,65.99,65.5,65.72,1077651
#2017-08-07#,65.61,66.315,65.29,65.83,1009129
#2017-08-08#,65.77,66.35,64.71,64.87,1019596
#2017-08-09#,64.51,65.25,64.09,65.23,1157452
#2017-08-10#,64.75,64.99,63.905,63.93,1567397
#2017-08-11#,63.74,64.94,63.71,64.42,944395
#2017-08-14#,64.98,65.54,64.6,64.92,916910
#2017-08-15#,64.82,65.78,63.9551,64.46,1351215
#2017-08-16#,64.71,65.65,64.71,64.82,1203212
#2017-08-17#,64.46,65.285,63.94,63.97,1146097
#2017-08-18#,63.82,64.72,63.67,63.97,1230378
#2017-08-21#,64.02,64.49,63.58,64.14,1309590
#2017-08-22#,64.27,64.4,63.44,63.85,1668439
#2017-08-23#,63.53,64.3399,63.28,64.05,1090167
#2017-08-24#,64.63,65.03,63.67,63.73,889234
#2017-08-25#,64.14,65,63.96,64.39,1551315
#2017-08-28#,64.3,64.4,63.12,63.48,1516683
#2017-08-29#,62.98,63.73,62.7442,63.56,1896776
#2017-08-30#,63.67,66.07,63.67,65.99,1741235
#2017-08-31#,66.13,67.47,66.13,67.15,2155802
#2017-09-01#,67.67,68.8,67.45,68.12,2307814
#2017-09-04#,67.67,68.8,67.45,68.12,2307814
#2017-09-05#,68.09,69.12,67.92,69.02,2160026
#2017-09-06#,69.3,69.39,68.45,69.08,1515075
#2017-09-07#,69.15,69.52,68.17,68.34,1589058
#2017-09-08#,68.52,68.86,67.58,68.47,1628202
#2017-09-11#,68.5,69.03,68.02,68.5,1181555
#2017-09-12#,68.76,68.88,67.76,68.35,1484439
#2017-09-13#,68.59,69.92,68.18,69.09,2463621
#2017-09-14#,68.96,69.77,68.88,69.46,1544611
#2017-09-15#,69.27,69.66,67.99,68.08,3229683
#2017-09-18#,68.25,69.01,68.09,68.34,2110187
#2017-09-19#,69.07,69.46,68.125,68.46,1873788
#2017-09-20#,68.9,69.13,68.529,68.67,1640740
#2017-09-21#,68.91,69.98,68.36,68.84,2714917
#2017-09-22#,71.4,74.6,70.33,74.19,8937488
#2017-09-25#,73.79,75.56,73.27,74.29,3214053
#2017-09-26#,73.6,74.48,72.88,73.59,3638392
#2017-09-27#,73.95,75.82,73.95,75.35,2866377
#2017-09-28#,75.24,75.95,74.84,75.93,1911188
#2017-09-29#,76.1,76.4,75.55,75.81,1402111
#2017-10-02#,76.03,76.59,75.52,76.59,1593218
#2017-10-03#,76.86,77.64,76.21,76.33,1730879
#2017-10-04#,76.17,76.86,75.83,76.45,1627088
#2017-10-05#,75.2,76.65,75.09,76.37,2142668
#2017-10-06#,76.25,76.97,76.25,76.81,1298360
#2017-10-09#,76.83,77.31,76.04,76.18,1045816
#2017-10-10#,76.18,76.91,75.91,76.23,1305279
#2017-10-11#,76.27,76.37,75.72,76.06,1313351
#2017-10-12#,76.24,76.32,75.45,75.7,1519546
#2017-10-13#,75.66,76,75.29,75.44,929439
#2017-10-16#,75.18,75.55,74.91,75.46,1470031
#2017-10-17#,75.25,75.765,75.19,75.37,1191691
#2017-10-18#,75.78,76.08,75.2,75.26,1057691
#2017-10-19#,74.82,75.07,74.36,74.84,1027351
#2017-10-20#,75.22,75.42,74.97,75.14,1144094
#2017-10-23#,75.03,75.5799,74.35,74.39,1096798
#2017-10-24#,74.56,75.21,74.49,74.78,1355552
#2017-10-25#,74.47,74.64,73.525,74.17,1487196
#2017-10-26#,74.26,74.91,73.891,74.86,1319743
#2017-10-27#,74.64,74.64,73.65,74.36,1128506
#2017-10-30#,74.16,75.14,74.16,74.95,847122
#2017-10-31#,75,76.04,74.82,75.1,1135762
#2017-11-01#,75.3,75.505,74.16,74.46,1035302
#2017-11-02#,74.78,76.88,74.69,75.98,1270781
#2017-11-03#,75.98,76.14,75.07,75.19,699156
#2017-11-06#,75.3,75.79,74.86,74.91,720078
#2017-11-07#,74.73,74.9,72.92,73.42,1600286
#2017-11-08#,73.11,73.8,72.82,73.44,1357853
#2017-11-09#,72.96,73.35,71.8,72.18,1453482
#2017-11-10#,72,73.27,71.93,72.68,1336660
#2017-11-13#,72.66,73.02,72.21,72.35,1337530
#2017-11-14#,71.73,72.41,70.79,70.94,2539484
#2017-11-15#,70.46,71.32,69.75,70.72,2152405
#2017-11-16#,70.81,71.285,70.32,70.55,1643182
#2017-11-17#,69.08,69.93,68.66,69.45,2627179
#2017-11-20#,69.55,69.75,69.37,69.62,2879429
#2017-11-21#,69.67,69.67,68.46,68.75,2362284
#2017-11-22#,68.68,69.32,67.59,67.99,4742335
#2017-11-23#,68.68,69.32,67.59,67.99,4742335
#2017-11-24#,68.24,68.7999,67.75,68.05,1226091
#2017-11-27#,68.24,68.57,67.68,67.87,1488120
#2017-11-28#,67.99,68.52,66.63,67.46,3213255
#2017-11-29#,67.75,69.86,67.625,68.5,3608535
#2017-11-30#,68.67,69.16,67.94,68.91,1992394
#2017-12-01#,69.02,69.05,67.285,68.38,1571289
#2017-12-04#,69.46,70.93,69.09,70.71,2748761
#2017-12-05#,70.73,70.95,67.7075,67.72,3143692
#2017-12-06#,67.24,67.37,65.55,66.55,2305896
#2017-12-07#,66.58,67.12,66.08,66.97,1828629
#2017-12-08#,67.07,67.6921,66.71,67.48,1635685
#2017-12-11#,68.01,68.2,67.53,67.97,1107674
#2017-12-12#,68,68.15,66.82,66.86,1379637
#2017-12-13#,66.91,67.79,66.135,67.47,1614619
#2017-12-14#,68.5,69.25,66.84,67.09,2388656
#2017-12-15#,67.55,68.34,67.26,67.73,2828879
#2017-12-18#,68.19,69.08,68.04,68.52,2270406
#2017-12-19#,68.52,68.64,67.34,67.85,3865981
#2017-12-20#,68.26,68.88,67.34,68.47,4614596
#2017-12-21#,67.54,67.56,64.81,66,6327698
#2017-12-22#,66.09,66.155,64.78,65.23,2431030
#2017-12-25#,66.09,66.155,64.78,65.23,2431030
#2017-12-26#,65.15,65.74,65.05,65.55,1882557
#2017-12-27#,65.62,65.66,64.83,64.91,1501418
#2017-12-28#,65.03,65.07,64.38,64.81,1339096
#2017-12-29#,65.14,65.34,64.13,64.13,1447283
#2018-01-01#,65.14,65.34,64.13,64.13,1447283
