"Date","Open","High","Low","Close","Volume"
#2017-04-24#,108.74,109.73,108.7,109.6,225697
#2017-04-25#,109.86,110.78,109.75,109.77,265720
#2017-04-26#,109.79,110.34,109.47,110,306678
#2017-04-27#,110.39,111.09,109.77,110.15,211815
#2017-04-28#,110.1,110.535,109.4,110.16,269356
#2017-05-01#,110.4,111.2,109.94,110.9,348191
#2017-05-02#,110.99,111.3,109.63,110.85,220861
#2017-05-03#,110.91,111.5,110.46,111,665643
#2017-05-04#,114.33,119.81,114,119.49,1374989
#2017-05-05#,119.36,121.38,118,121.2,650393
#2017-05-08#,120.96,122.77,120.63,121.13,471448
#2017-05-09#,121.32,122.2,121.13,121.29,328494
#2017-05-10#,121.29,121.73,120.33,120.54,915511
#2017-05-11#,120.2,120.52,119.11,119.89,412518
#2017-05-12#,119.71,120.34,119.42,119.9,361263
#2017-05-15#,120.29,120.99,119.9702,120.46,883097
#2017-05-16#,120.75,121.4,119.91,121.3,478179
#2017-05-17#,120.23,121.32,119.74,119.84,324457
#2017-05-18#,119.41,120.89,119.14,120.34,487600
#2017-05-19#,120.85,123.07,120.44,122.2,522097
#2017-05-22#,122.52,124.56,121.64,124.12,611609
#2017-05-23#,123.64,124.66,123.32,124.66,307535
#2017-05-24#,125.08,125.6573,123.88,124.01,1274210
#2017-05-25#,123.95,126.4,123.84,126.21,681387
#2017-05-26#,126.07,126.25,125.33,125.72,284264
#2017-05-29#,126.07,126.25,125.33,125.72,284264
#2017-05-30#,125.82,126.92,125.73,126.78,269927
#2017-05-31#,127,127.73,125.97,126.33,572538
#2017-06-01#,126.92,127.89,125.44,127.86,782230
#2017-06-02#,128.65,129.53,128.46,129.49,365226
#2017-06-05#,129.2,129.85,128.85,129.54,354268
#2017-06-06#,128.89,129.62,128.03,128.4,655276
#2017-06-07#,128.93,129.26,127.74,128.34,489142
#2017-06-08#,128.53,128.75,126,126.96,613502
#2017-06-09#,127.3,127.66,122.89,124.52,583548
#2017-06-12#,123.64,124.12,120,122.4,1121098
#2017-06-13#,122.69,122.725,121.01,122.47,692829
#2017-06-14#,122.66,124.24,121.69,122.74,825871
#2017-06-15#,121.56,121.9313,119.34,121.08,902703
#2017-06-16#,120.82,122,120.44,121.75,17613441
#2017-06-19#,122.76,124.37,122.13,122.65,868948
#2017-06-20#,122.22,124.54,120.3,120.93,852959
#2017-06-21#,121.11,122.84,120.94,122.41,987742
#2017-06-22#,122.54,123.28,121.53,122.65,446523
#2017-06-23#,122.5,123.46,122.19,122.52,2038029
#2017-06-26#,122.83,123.805,122.34,122.78,406206
#2017-06-27#,122.87,123.36,121.13,121.27,563228
#2017-06-28#,121.9,122.47,120.94,122.03,576761
#2017-06-29#,121.98,122.98,119.93,120.43,598421
#2017-06-30#,120.63,122.39,120.63,121.68,1323453
#2017-07-03#,122.52,123.99,120.34,120.47,402527
#2017-07-04#,122.52,123.99,120.34,120.47,402527
#2017-07-05#,120.58,121.24,119.75,120.87,656626
#2017-07-06#,120.15,121.43,119.85,120.94,382838
#2017-07-07#,121.31,123.04,121.24,122.39,278335
#2017-07-10#,122.49,123.38,121.8,122.24,426627
#2017-07-11#,122.39,123.17,121.92,122.86,309721
#2017-07-12#,123.66,124.94,123.36,124.59,334107
#2017-07-13#,124.87,125.17,123.53,124.51,360876
#2017-07-14#,124.42,124.69,123.53,124.59,325345
#2017-07-17#,124.41,125.14,123.83,124.67,385369
#2017-07-18#,124.9,125.13,124.0738,125.03,294938
#2017-07-19#,125.14,126.32,124.66,126.18,341681
#2017-07-20#,126.2,126.32,125.322,126.01,252410
#2017-07-21#,125.36,127.14,125.36,126.67,259224
#2017-07-24#,126.55,127.59,126.415,127.39,333012
#2017-07-25#,127.55,128.6,127.2501,127.91,241028
#2017-07-26#,128.26,128.56,127.39,127.88,241322
#2017-07-27#,128.23,128.57,126.95,127.58,409206
#2017-07-28#,127.25,128.99,126.75,128.43,262411
#2017-07-31#,128.8,129.85,128.49,129.55,465955
#2017-08-01#,129.65,131.63,129.025,130.23,688752
#2017-08-02#,130.45,130.45,126.72,127.48,679757
#2017-08-03#,123.84,126.1386,121.3722,123.39,1215951
#2017-08-04#,124.02,125.43,123.55,124.32,515010
#2017-08-07#,124.47,125.26,123.84,124.98,317231
#2017-08-08#,124.91,127.69,124.34,124.43,267163
#2017-08-09#,123.98,125.07,123.525,124.76,300363
#2017-08-10#,124.42,124.755,122.65,122.71,396767
#2017-08-11#,123.23,123.76,122.45,122.95,324084
#2017-08-14#,124.04,125.38,123.925,125.24,267277
#2017-08-15#,125.72,126.32,124.92,126.09,299340
#2017-08-16#,126.5,128.72,125.92,128.51,461894
#2017-08-17#,128.42,128.91,125.5,125.52,331029
#2017-08-18#,125.53,126.31,124.38,125.61,283979
#2017-08-21#,125.77,126.95,125.08,126.58,306366
#2017-08-22#,127,129.34,126.87,129,333148
#2017-08-23#,128.19,128.94,127.2,127.26,453443
#2017-08-24#,127.43,127.795,126.34,127.13,253709
#2017-08-25#,127.93,128.55,127.3,127.77,192424
#2017-08-28#,128.1,128.48,127.19,127.64,205857
#2017-08-29#,127.16,127.16,126.04,126.57,352295
#2017-08-30#,126.23,127.95,126.14,127.91,247399
#2017-08-31#,128.39,128.89,127.43,128.82,466412
#2017-09-01#,128.57,129.57,127.71,128.11,393272
#2017-09-04#,128.57,129.57,127.71,128.11,393272
#2017-09-05#,128,128.52,126.93,128.49,371529
#2017-09-06#,128.67,128.99,127.22,127.68,372333
#2017-09-07#,128.17,128.88,127.64,128.46,281017
#2017-09-08#,128.31,129.115,127.87,128.44,237385
#2017-09-11#,129.28,130.46,128.39,129.81,453313
#2017-09-12#,129.49,132.07,129.14,132.01,447892
#2017-09-13#,131.68,132.74,131.34,131.51,335883
#2017-09-14#,131.43,131.43,128.96,129.15,560428
#2017-09-15#,129.08,129.08,120.79,121.82,1769615
#2017-09-18#,121.78,123.83,121.37,123.59,636585
#2017-09-19#,123.3,123.84,122.31,123.44,820101
#2017-09-20#,123.5,124.37,122.52,122.99,743524
#2017-09-21#,123,123.21,120.33,120.82,673377
#2017-09-22#,120.3,122.26,120.08,122.05,511331
#2017-09-25#,121.82,122.13,119.49,120.74,523773
#2017-09-26#,121,121.15,119.2,120.67,411906
#2017-09-27#,121,121.45,119.78,120.94,574797
#2017-09-28#,120.38,121.95,120.38,121.63,578995
#2017-09-29#,121.67,122.83,121.3408,122.73,469322
#2017-10-02#,123.16,124.59,123.16,123.78,388681
#2017-10-03#,123.73,124.87,123.62,124.65,340582
#2017-10-04#,124.31,124.69,124,124.55,461477
#2017-10-05#,125.21,125.28,124.3,125.24,358845
#2017-10-06#,125.12,126.21,124.13,126.06,442758
#2017-10-09#,125.95,126.37,125.19,126.11,198879
#2017-10-10#,126.66,126.81,125.775,126.18,291400
#2017-10-11#,126.3,127.27,125.93,127.14,320738
#2017-10-12#,127.11,129.78,126.88,129.24,510544
#2017-10-13#,129.82,130.22,129.34,129.94,274019
#2017-10-16#,130.15,131.48,129.8,131.31,439031
#2017-10-17#,131.24,131.86,129.1,129.69,463035
#2017-10-18#,130.22,130.31,129.39,129.56,370741
#2017-10-19#,129.36,129.92,127.68,129.89,445384
#2017-10-20#,130.26,131.04,129.505,130.94,416154
#2017-10-23#,131.44,132.47,131.08,131.22,261563
#2017-10-24#,131.31,132.14,130.47,132.11,223440
#2017-10-25#,131.61,133.4,131.38,132.85,348402
#2017-10-26#,133.51,133.99,132.53,133.84,319403
#2017-10-27#,134.05,135.96,132.95,135.78,262671
#2017-10-30#,135.33,135.92,134.67,135.8,296194
#2017-10-31#,136.02,137.05,134.45,136.71,438009
#2017-11-01#,137.55,138.39,135.28,135.6,494834
#2017-11-02#,143.98,155.14,143.27,148.68,1511774
#2017-11-03#,148.93,150.68,147.7,149.1,747601
#2017-11-06#,149.3,152.22,147.39,151.2,745030
#2017-11-07#,150.72,152.4955,149.69,151.93,528899
#2017-11-08#,151.36,152.72,149.7,151.48,487800
#2017-11-09#,150.75,151.34,149,150.47,407197
#2017-11-10#,150.14,150.54,149.205,150.28,315743
#2017-11-13#,150,151.74,149.37,150.87,316750
#2017-11-14#,150.25,150.7,149.18,149.43,552394
#2017-11-15#,149.4,151.34,148.95,149.32,535993
#2017-11-16#,149.5,152.02,149.1,151.46,315255
#2017-11-17#,151.18,151.92,150.05,150.57,364922
#2017-11-20#,150.83,151.82,150.44,151.21,353708
#2017-11-21#,151.63,154.43,150.87,153.4,626976
#2017-11-22#,153.8,153.8,150.0701,150.48,746588
#2017-11-23#,153.8,153.8,150.0701,150.48,746588
#2017-11-24#,150.59,152.64,149.41,151.91,571787
#2017-11-27#,151.91,152.44,150.14,150.88,593706
#2017-11-28#,151.24,152.28,149.62,150.27,586046
#2017-11-29#,149.71,150.43,145.78,146.58,674219
#2017-11-30#,146.73,148.84,145.985,148.19,1243858
#2017-12-01#,148.45,148.81,143.94,146.54,631697
#2017-12-04#,147.68,147.89,141.91,142.01,526432
#2017-12-05#,143.515,144.48,141.93,143.44,378805
#2017-12-06#,143.6,144.8499,143.455,144.72,300317
#2017-12-07#,144.46,146.58,144.255,146.31,339810
#2017-12-08#,146.82,147.68,145.6,146.13,416882
#2017-12-11#,146.01,146.98,145.37,146.39,392728
#2017-12-12#,146.09,146.75,144.85,145.33,440058
#2017-12-13#,145.78,146.34,144.06,144.76,346309
#2017-12-14#,144.97,146.065,144.38,144.51,246795
#2017-12-15#,144.84,148.45,144.56,148.03,1109048
#2017-12-18#,148,148.92,146.875,147.59,475276
#2017-12-19#,147.81,148.3,146.82,147.63,260025
#2017-12-20#,147.57,148.07,145.655,147.35,408317
#2017-12-21#,147.91,148.26,146.9,147.23,359197
#2017-12-22#,147.23,147.23,145.03,146.66,193270
#2017-12-25#,147.23,147.23,145.03,146.66,193270
#2017-12-26#,146.26,146.66,145.14,146.39,251123
#2017-12-27#,146.59,147.15,145.81,146.66,199917
#2017-12-28#,146.84,147.92,146.12,147.65,259565
#2017-12-29#,147.9,149.18,147.52,147.59,372442
#2018-01-01#,147.9,149.18,147.52,147.59,372442
