"Date","Open","High","Low","Close","Volume"
#2010-03-08#,65.32,65.56,64.975,65.26,954723
#2010-03-09#,64.91,65.99,64.91,65.5,681495
#2010-03-10#,65.39,65.39,64.4,64.7,1266824
#2010-03-11#,65.27,65.27,63.89,65.25,1245463
#2010-03-12#,65.44,65.67,65.04,65.54,719379
#2010-03-15#,65.6,65.65,65.09,65.61,648558
#2010-03-16#,65.7,65.7,64.52,65.07,861468
#2010-03-17#,65.12,66.17,64.94,65.76,1222049
#2010-03-18#,65.68,66.1,65.28,65.28,1055877
#2010-03-19#,65.34,65.57,65.025,65.3,2041071
#2010-03-22#,65.11,66.15,64.84,65.76,1189282
#2010-03-23#,65.77,66.52,65.43,66.46,863383
#2010-03-24#,66.32,66.46,65.56,65.85,818109
#2010-03-25#,66.2,67.09,65.87,66.4,1722645
#2010-03-26#,66.64,67.16,66.5,66.84,887754
#2010-03-29#,67.13,67.39,66.84,67.01,550720
#2010-03-30#,67.04,67.41,66.94,66.97,818208
#2010-03-31#,66.8,68.03,66.63,67.68,1107534
#2010-04-01#,67.81,68.82,67.81,68.25,988251
#2010-04-02#,67.81,68.82,67.81,68.25,988251
#2010-04-05#,68.18,69.13,68.08,68.99,953793
#2010-04-06#,68.75,69.93,68.4,69.87,1132395
#2010-04-07#,69.78,70.24,69.24,69.85,1879293
#2010-04-08#,69.31,71.26,68.92,70.84,3189853
#2010-04-09#,70.91,71.32,70.2,71.21,1382222
#2010-04-12#,71.36,72.78,71.02,72.31,2499194
#2010-04-13#,71.96,72.38,71.79,72.33,2320609
#2010-04-14#,72.51,72.81,71.77,72.79,1394576
#2010-04-15#,72.64,73.65,72.38,73.49,1264100
#2010-04-16#,73.36,73.52,72.63,72.96,1705337
#2010-04-19#,72.35,73.18,72.14,73.17,1101123
#2010-04-20#,73.32,74.14,73.23,73.98,1391788
#2010-04-21#,73.73,74.685,73.73,74.31,1739630
#2010-04-22#,73.11,79.55,73.11,79.33,4325459
#2010-04-23#,78.03,79.65,77.84,79.54,2086602
#2010-04-26#,79.71,80.33,79.1,79.94,1202454
#2010-04-27#,79.06,80.21,78.41,79.41,2239216
#2010-04-28#,79.56,79.73,78.89,79.32,2145923
#2010-04-29#,79.79,79.86,78.86,79.15,1377790
#2010-04-30#,79.29,79.64,78.02,78.07,1456497
#2010-05-03#,78.18,80.22,77.78,80.01,1210009
#2010-05-04#,79.36,79.36,77.84,78.45,1163629
#2010-05-05#,77.78,78.39,76.66,77.05,1881384
#2010-05-06#,76.77,77.725,73.67,76.33,2297822
#2010-05-07#,76.25,78.02,75.48,75.95,3197862
#2010-05-10#,77.34,79.53,77.34,79.45,1466323
#2010-05-11#,78.52,80.49,78.41,79.48,995362
#2010-05-12#,79.81,80.53,79.78,80.42,1287127
#2010-05-13#,80.04,80.23,77.97,78.22,1272165
#2010-05-14#,77.88,78.45,77.07,77.74,1579198
#2010-05-17#,78.19,79.24,77.4,79.12,1848697
#2010-05-18#,79.59,79.67,77.77,78.08,1033133
#2010-05-19#,77.25,78.2,76.39,77.93,1847425
#2010-05-20#,76.55,76.84,75.04,75.4,2001874
#2010-05-21#,74.82,76.28,74,75.72,2450029
#2010-05-24#,74.05,77.05,74.03,75.88,1794820
#2010-05-25#,74.6,75.88,73.79,75.52,1770958
#2010-05-26#,76.41,76.91,74.78,75.06,2454561
#2010-05-27#,76.26,77.12,75.45,77.1,1398607
#2010-05-28#,76.98,77.24,75.99,76.63,1370353
#2010-05-31#,76.98,77.24,75.99,76.63,1370353
#2010-06-01#,76.01,78.23,76.01,76.4,1394818
#2010-06-02#,76.55,77.48,76.12,77.25,1539265
#2010-06-03#,77.37,77.79,76.32,76.88,855716
#2010-06-04#,75.83,76.1,74.67,74.91,1840875
#2010-06-07#,74.82,75.26,73.6,73.6,2361889
#2010-06-08#,73.56,73.97,72.78,73.87,2099026
#2010-06-09#,74.47,75.23,73.82,74.09,1243768
#2010-06-10#,75.07,76.3,74.7,76.17,1120036
#2010-06-11#,75.8,76.64,75.4,76.64,936008
#2010-06-14#,76.79,77.98,76.581,76.63,806263
#2010-06-15#,77.09,77.92,76.87,77.92,1183056
#2010-06-16#,77.69,78.4,76.85,77.24,905950
#2010-06-17#,77.62,77.65,76.01,76.6,979073
#2010-06-18#,76.89,77.09,75.98,76.18,2365427
#2010-06-21#,76.95,77.18,76.19,76.44,1253988
#2010-06-22#,76.59,76.78,74.64,74.76,1360001
#2010-06-23#,74.5,74.74,73,74.14,1565780
#2010-06-24#,73.65,73.76,71.62,71.65,1690618
#2010-06-25#,71.82,72.01,71.06,71.48,2020447
#2010-06-28#,71.5,72.03,71.06,71.08,1108010
#2010-06-29#,70.55,70.73,69.36,70.4,1956153
#2010-06-30#,70.06,71.09,69.06,69.19,1695837
#2010-07-01#,69.15,70.22,67.92,69.94,1825734
#2010-07-02#,69.94,70.35,68.98,69.43,837762
#2010-07-05#,69.94,70.35,68.98,69.43,837762
#2010-07-06#,69.96,70.31,69.08,69.82,1271896
#2010-07-07#,69.91,72.15,69.57,72.06,1217545
#2010-07-08#,72.35,73,71.85,72.62,1464718
#2010-07-09#,72.79,72.82,71.86,72.23,896323
#2010-07-12#,72.1,72.65,71.74,72.02,595695
#2010-07-13#,72.61,73.77,72.57,73.22,832887
#2010-07-14#,70.53,71.71,70.5,71.64,1658405
#2010-07-15#,71.73,71.84,70.16,71.07,1300484
#2010-07-16#,70.79,70.99,69.37,69.44,934364
#2010-07-19#,69.64,70.11,69.17,69.81,831852
#2010-07-20#,67.72,69.94,67.58,69.85,1679832
#2010-07-21#,70.43,70.43,69.16,69.56,1910693
#2010-07-22#,67.01,69.65,66.319,66.88,4006201
#2010-07-23#,67.22,70.1,67.08,68.99,1985306
#2010-07-26#,68.82,69.85,68.8,69.68,1294360
#2010-07-27#,70.27,70.27,69.34,69.5,1569371
#2010-07-28#,69.51,69.8,69.24,69.39,1418124
#2010-07-29#,69.85,70.19,67.6,68.59,1630436
#2010-07-30#,68.01,69.3,67.81,69.15,1094712
#2010-08-02#,69.58,71.15,69.15,70.93,1306099
#2010-08-03#,70.72,70.93,70,70.49,823145
#2010-08-04#,70.62,71.03,70.17,70.59,1538946
#2010-08-05#,70.48,70.69,69.79,69.93,975338
#2010-08-06#,69.5,69.69,68.66,69.69,907921
#2010-08-09#,69.77,70.08,69.63,69.86,956345
#2010-08-10#,69.45,69.85,68.705,69.54,1900072
#2010-08-11#,68.49,69.36,68.27,68.93,1470338
#2010-08-12#,68.21,69.65,67.93,69.4,1371570
#2010-08-13#,69.19,69.61,68.75,69.1,1210804
#2010-08-16#,68.71,68.8,67.89,68.27,1062752
#2010-08-17#,68.92,70.04,68.75,69.68,840399
#2010-08-18#,69.33,70.09,68.93,69.56,614704
#2010-08-19#,69.27,69.498,67.45,67.63,1356044
#2010-08-20#,67.24,68.72,67.24,68.34,986689
#2010-08-23#,68.36,69.16,67.55,67.64,721002
#2010-08-24#,67.03,67.39,66.13,67.15,1346100
#2010-08-25#,66.76,69.6,66.76,69.15,1783771
#2010-08-26#,69.42,70.02,68.86,68.99,1332785
#2010-08-27#,69.43,70.27,68.76,70.24,1022338
#2010-08-30#,70.18,70.7,69.24,69.24,602783
#2010-08-31#,68.95,70.51,68.46,70.38,1596278
#2010-09-01#,69.99,71.46,69.85,70.88,1575866
#2010-09-02#,71.24,72.7,71.22,72.48,992543
#2010-09-03#,73.04,73.24,72.08,72.32,838194
#2010-09-06#,73.04,73.24,72.08,72.32,838194
#2010-09-07#,71.9,72.59,71.485,71.86,648459
#2010-09-08#,72,72.58,71.9,72.31,644526
#2010-09-09#,73.05,73.24,71.89,72.03,556081
#2010-09-10#,72.06,72.69,71.85,72.27,607126
#2010-09-13#,72.81,73.45,72.5,72.94,762094
#2010-09-14#,72.66,72.86,72.07,72.46,910930
#2010-09-15#,71.89,72.43,71.19,72.1,869585
#2010-09-16#,71.74,72.56,71.31,72.41,940685
#2010-09-17#,72.42,72.92,71.64,72.47,1039162
#2010-09-20#,72.71,75.09,72.71,74.71,1243153
#2010-09-21#,74.9,76.06,74.34,75.36,1456913
#2010-09-22#,75.25,76.16,74.98,75.47,1251041
#2010-09-23#,75.14,75.6,74.3,74.43,724811
#2010-09-24#,75.06,75.35,74.51,75.26,926380
#2010-09-27#,75.41,75.91,74.85,75.34,633966
#2010-09-28#,75.59,76.92,74.68,76.59,920626
#2010-09-29#,76.1,76.15,74.88,75.9,776067
#2010-09-30#,75.73,76.16,74.77,75.14,881785
#2010-10-01#,75.12,75.79,73.89,74.04,1605491
#2010-10-04#,74,74.21,73.33,73.71,791773
#2010-10-05#,74.3,75.28,74.01,74.72,893646
#2010-10-06#,74.58,75.18,73.74,74,1036207
#2010-10-07#,74.1,74.22,73.01,73.67,908137
#2010-10-08#,73.76,73.97,73.39,73.48,653143
#2010-10-11#,72.76,72.9,71.12,72.04,1468063
#2010-10-12#,72,73.03,71.55,72.72,907644
#2010-10-13#,72.93,73.48,72.66,73.25,756513
#2010-10-14#,73.14,73.61,72.58,73.11,840237
#2010-10-15#,73.48,73.635,71.88,72,1320522
#2010-10-18#,71.72,72.45,71.31,72.17,725032
#2010-10-19#,71.44,73.87,71.37,72.74,1569930
#2010-10-20#,72.89,73.08,71.95,72.79,738661
#2010-10-21#,73.12,73.51,71.97,72.46,990070
#2010-10-22#,72.64,73.76,72.42,72.98,785805
#2010-10-25#,73.45,74.84,73.45,74.57,1612211
#2010-10-26#,70.7,72,69.56,71.95,4685529
#2010-10-27#,71.33,72.07,70.9,71.96,1461506
#2010-10-28#,72.22,72.45,71.41,71.75,986569
#2010-10-29#,71.45,73.05,71.05,72.97,1222438
#2010-11-01#,73.1,73.42,71.78,72.32,1083586
#2010-11-02#,72.62,73.04,72.29,72.38,760416
#2010-11-03#,72.56,72.72,71.25,72.15,792644
#2010-11-04#,72.69,72.85,71.68,72.84,1201719
#2010-11-05#,72.86,73.83,72.52,73.27,1067763
#2010-11-08#,72.94,73.51,72.87,73.15,592445
#2010-11-09#,73.4,74.14,72.96,73.15,1149989
#2010-11-10#,73.02,73.74,72.66,73.57,741074
#2010-11-11#,73.24,73.94,72.84,73.81,856979
#2010-11-12#,73.41,73.86,72.57,73.06,667996
#2010-11-15#,73.17,74.08,73.06,73.51,713547
#2010-11-16#,73.08,73.67,72.7,73.56,1028878
#2010-11-17#,73.18,73.33,72.42,72.8,757351
#2010-11-18#,73.28,73.62,72.66,72.73,834259
#2010-11-19#,72.71,73.49,72.4,73.38,582791
#2010-11-22#,73.02,74.96,72.83,74.74,938988
#2010-11-23#,74.27,74.65,73.82,74.09,643224
#2010-11-24#,74.55,75.28,74.29,75.1,644521
#2010-11-25#,74.55,75.28,74.29,75.1,644521
#2010-11-26#,74.63,75.05,74.5,74.74,180901
#2010-11-29#,74.38,74.45,73.26,74.22,523091
#2010-11-30#,73.62,74.86,73.38,74.17,642599
#2010-12-01#,74.99,76.14,74.98,75.99,732811
#2010-12-02#,75.73,76.89,75.55,76.21,818721
#2010-12-03#,75.94,77.26,75.81,77.03,779862
#2010-12-06#,76.97,77.12,76.56,76.97,385430
#2010-12-07#,77.54,77.91,76.6,76.75,409179
#2010-12-08#,76.73,77.53,76.56,77.24,692591
#2010-12-09#,77.56,77.71,76.71,77.5,507818
#2010-12-10#,77.22,78.09,77.22,77.76,400079
#2010-12-13#,78.02,78.88,77.76,78.18,935026
#2010-12-14#,78.28,79.5,78.28,79.38,1086148
#2010-12-15#,79.15,82.75,79.02,81,2291234
#2010-12-16#,80.75,82,80.75,81.97,1020899
#2010-12-17#,81.91,82.41,81.72,82.02,901781
#2010-12-20#,81.76,83.08,81.76,82.95,549509
#2010-12-21#,83.03,83.75,82.84,83.29,601218
#2010-12-22#,83.27,84.53,83.27,84.5,804246
#2010-12-23#,84.3,84.99,84,84.11,623863
#2010-12-24#,84.3,84.99,84,84.11,623863
#2010-12-27#,84.32,84.39,83.92,84.26,260294
#2010-12-28#,84.3,84.53,83.55,83.75,610708
#2010-12-29#,83.92,84.23,83.46,83.87,520090
#2010-12-30#,83.84,84.37,83.62,84.06,334904
#2010-12-31#,83.91,84.24,83.62,83.75,322083
