"Date","Open","High","Low","Close","Volume"
#2017-06-13#,12.33,12.48,11.67,11.96,87302253
#2017-06-14#,11.91,12.05,11.65,11.77,51909425
#2017-06-15#,11.34,11.58,11.21,11.5,61665981
#2017-06-16#,11.66,11.83,11.28,11.44,59779528
#2017-06-19#,11.63,12.12,11.62,11.93,61803552
#2017-06-20#,12.19,12.93,12.18,12.64,118001536
#2017-06-21#,13.36,14.01,13.13,13.98,188796125
#2017-06-22#,14.1,14.5,13.56,14.38,149594245
#2017-06-23#,14.15,14.67,13.9,14.17,200777337
#2017-06-26#,14.39,14.49,13.84,14.08,101012533
#2017-06-27#,13.76,14.04,13.37,13.4,89319697
#2017-06-28#,13.65,13.7,13.09,13.23,85266909
#2017-06-29#,13.06,13.15,12.45,12.6,87634359
#2017-06-30#,12.57,12.83,12.36,12.48,59267384
#2017-07-03#,12.57,12.73,12.13,12.15,39929101
#2017-07-04#,12.57,12.73,12.13,12.15,39929101
#2017-07-05#,12.36,13.21,12.32,13.19,99450235
#2017-07-06#,12.94,13.32,12.665,13.02,88927822
#2017-07-07#,13.27,13.745,13.18,13.36,88392137
#2017-07-10#,13.61,13.88,13.27,13.81,78320196
#2017-07-11#,13.77,14.099,13.62,13.89,71102292
#2017-07-12#,14.17,14.39,13.96,14.29,78508397
#2017-07-13#,14.33,14.49,13.43,13.53,111656888
#2017-07-14#,13.46,13.93,13.32,13.92,82084552
#2017-07-17#,14.03,14.12,13.51,13.8,71690790
#2017-07-18#,13.29,13.53,13.15,13.48,78366510
#2017-07-19#,13.62,13.74,13.41,13.55,51957812
#2017-07-20#,13.61,13.89,13.45,13.8,47707464
#2017-07-21#,13.7,14.05,13.62,13.88,51045674
#2017-07-24#,14,14.44,13.97,14.16,71014864
#2017-07-25#,14.2895,14.32,13.87,14.11,98047389
#2017-07-26#,15.13,15.65,14.4,14.76,236082958
#2017-07-27#,14.99,15.04,13.7,14.12,130303657
#2017-07-28#,13.845,14.1,13.68,13.95,66763754
#2017-07-31#,14.09,14.22,13.47,13.61,69108676
#2017-08-01#,13.72,13.86,13.45,13.71,49149861
#2017-08-02#,13.81,13.93,13.12,13.37,67502194
#2017-08-03#,13.42,13.52,13.08,13.24,52557354
#2017-08-04#,13.2,13.36,13.02,13.12,64254045
#2017-08-07#,13.33,13.57,13.27,13.43,57486768
#2017-08-08#,13.48,13.55,13.08,13.11,47338001
#2017-08-09#,12.76,12.89,12.54,12.83,58861491
#2017-08-10#,12.7,12.92,12.11,12.12,83113365
#2017-08-11#,12.04,12.39,11.88,12.23,63558840
#2017-08-14#,12.58,12.845,12.58,12.76,64426061
#2017-08-15#,13.01,13.14,12.75,13.02,57990255
#2017-08-16#,13.17,13.19,12.52,12.63,64639428
#2017-08-17#,12.46,12.65,12.32,12.34,47370978
#2017-08-18#,12.43,12.555,12.25,12.37,37521694
#2017-08-21#,12.42,12.42,11.86,12.05,58888505
#2017-08-22#,12.2,12.33,12.1,12.17,39033223
#2017-08-23#,12,12.535,11.95,12.48,44345380
#2017-08-24#,12.69,12.71,12.39,12.5,37269674
#2017-08-25#,12.51,12.57,12.25,12.43,29732049
#2017-08-28#,12.53,12.55,12.16,12.23,35969587
#2017-08-29#,12,12.18,11.93,12.15,33618112
#2017-08-30#,12.19,12.68,12.16,12.67,43932966
#2017-08-31#,12.82,13.16,12.79,13,51822102
#2017-09-01#,13.12,13.485,13.04,13.19,53158562
#2017-09-04#,13.12,13.485,13.04,13.19,53158562
#2017-09-05#,12.88,13.18,12.65,12.92,51578710
#2017-09-06#,13.02,13.08,12.75,12.86,34182430
#2017-09-07#,12.84,12.94,12.6,12.63,35816911
#2017-09-08#,12.5712,12.61,12.035,12.25,60886232
#2017-09-11#,12.46,12.74,12.4001,12.55,43346052
#2017-09-12#,12.66,12.68,12.213,12.3,54413148
#2017-09-13#,12.22,12.36,12.12,12.22,37210654
#2017-09-14#,12.15,12.46,12.11,12.26,37220155
#2017-09-15#,12.33,12.66,12.31,12.52,50337411
#2017-09-18#,12.77,13.3,12.74,13.08,83517385
#2017-09-19#,13.25,13.29,12.88,13.12,65455230
#2017-09-20#,13.07,13.8,12.8,13.74,102682437
#2017-09-21#,14,14.24,13.32,13.41,166821947
#2017-09-22#,13.2,13.4,13.12,13.3,50546957
#2017-09-25#,13.25,13.28,12.49,12.61,84172237
#2017-09-26#,12.85,12.93,12.43,12.45,68302025
#2017-09-27#,12.65,12.87,12.5,12.74,59947247
#2017-09-28#,12.76,12.84,12.55,12.74,35812311
#2017-09-29#,12.765,12.82,12.6,12.75,33926900
#2017-10-02#,12.8,12.85,12.62,12.71,34461080
#2017-10-03#,12.73,13.48,12.7,13.42,85174031
#2017-10-04#,13.31,13.5,13.15,13.31,42303159
#2017-10-05#,13.38,13.46,13.21,13.34,34758604
#2017-10-06#,13.22,13.39,13.18,13.23,28258656
#2017-10-09#,13.26,13.83,13.26,13.47,54032528
#2017-10-10#,13.72,13.79,13.44,13.7,43303955
#2017-10-11#,13.62,13.96,13.61,13.88,38746553
#2017-10-12#,13.85,14.37,13.81,14.2,69874095
#2017-10-13#,14.32,14.41,14.12,14.22,37515843
#2017-10-16#,14.25,14.35,14.12,14.26,34136783
#2017-10-17#,14.24,14.345,14.135,14.16,28995567
#2017-10-18#,14.2,14.279,13.76,14.07,39020286
#2017-10-19#,13.85,14.04,13.69,13.95,33795708
#2017-10-20#,14.03,14.09,13.8,13.81,32538937
#2017-10-23#,13.94,14.19,13.8999,14.1,49838009
#2017-10-24#,14.2,14.36,14.15,14.25,84891583
#2017-10-25#,12.95,13.13,12.29,12.33,166762120
#2017-10-26#,12.45,12.46,12,12.005,87625437
#2017-10-27#,12.17,12.19,11.35,11.84,115650373
#2017-10-30#,11.255,11.42,10.65,10.89,137785101
#2017-10-31#,10.76,11.31,10.69,10.985,78600023
#2017-11-01#,11.25,11.29,10.72,10.8,66875483
#2017-11-02#,10.87,10.99,10.66,10.85,47942464
#2017-11-03#,10.95,11.13,10.82,11.12,44264291
#2017-11-06#,12.04,12.09,11.64,11.93,96349758
#2017-11-07#,11.94,12.27,11.92,12.05,67900203
#2017-11-08#,11.94,11.95,11.51,11.71,59065041
#2017-11-09#,11.25,11.35,11.03,11.12,76821154
#2017-11-10#,11.22,11.43,11.115,11.26,50209909
#2017-11-13#,11.18,11.2,10.92,11.09,54068315
#2017-11-14#,11.03,11.26,11,11.12,37245039
#2017-11-15#,11.01,11.13,10.77,11.07,33524701
#2017-11-16#,11.13,11.32,11.13,11.25,31800408
#2017-11-17#,11.3,11.75,11.28,11.38,56775579
#2017-11-20#,11.47,11.505,11.19,11.34,35960204
#2017-11-21#,11.421,11.49,11.24,11.4,31881681
#2017-11-22#,11.41,11.49,11.3,11.37,23816482
#2017-11-23#,11.41,11.49,11.3,11.37,23816482
#2017-11-24#,11.38,11.42,11.3,11.38,11035758
#2017-11-27#,11.34,11.74,11.3358,11.55,41798250
#2017-11-28#,11.45,11.54,11,11.17,65325749
#2017-11-29#,11.08,11.17,10.73,10.83,63333806
#2017-11-30#,10.87,11.03,10.76,10.89,43205030
#2017-12-01#,10.81,10.97,10.53,10.73,42128778
#2017-12-04#,10.85,10.86,9.82,10.03,97328281
#2017-12-05#,9.89,10.34,9.7,9.91,67304144
#2017-12-06#,9.9,10.05,9.71,10,38952174
#2017-12-07#,10.0705,10.19,9.95,10.04,32665616
#2017-12-08#,10.15,10.2,9.92,9.94,34896958
#2017-12-11#,9.97,10.16,9.96,10.16,29956421
#2017-12-12#,10.13,10.14,9.88,9.9,36211043
#2017-12-13#,9.97,10.21,9.95,10.11,41494800
#2017-12-14#,10.1,10.17,9.96,10.13,29006846
#2017-12-15#,10.13,10.32,10.02,10.29,45462280
#2017-12-18#,10.6,11,10.51,10.98,63797732
#2017-12-19#,11,11.19,10.87,10.95,43852949
#2017-12-20#,11.1,11.18,10.8,10.98,31420328
#2017-12-21#,10.98,11.0793,10.87,10.89,21884331
#2017-12-22#,10.75,10.77,10.2,10.54,50744495
#2017-12-25#,10.75,10.77,10.2,10.54,50744495
#2017-12-26#,10.38,10.579,10.34,10.46,20437891
#2017-12-27#,10.45,10.74,10.4,10.53,22921775
#2017-12-28#,10.57,10.64,10.43,10.55,18609365
#2017-12-29#,10.57,10.58,10.27,10.28,26678928
#2018-01-01#,10.57,10.58,10.27,10.28,26678928
